schema_version,query_id,query_text,cluster,intent,source_types,first_seen_at,last_measured_at,latest_wordstat_measurement_id,latest_serp_measurement_id,latest_alice_measurement_id,evidence_observation_ids,wordstat_status,wordstat_broad_30d,wordstat_broad_30d_status,wordstat_phrase_30d,wordstat_phrase_30d_status,wordstat_exact_30d,wordstat_exact_30d_status,wordstat_mobile_30d,wordstat_mobile_30d_status,wordstat_desktop_30d,wordstat_desktop_30d_status,wordstat_region,wordstat_dynamics_status,wordstat_related_status,serp_status,serp_measured_at,serp_region,serp_device,serp_top10_status,serp_marketplace_presence,serp_independent_presence,serp_info_presence,serp_product_block,alice_status,alice_input,alice_observed_at,alice_answer_present,alice_answer_status,alice_source_domains,alice_source_urls,alice_fanout_observed,alice_fanout_inferred,webmaster_search_status,webmaster_search_impressions,webmaster_search_clicks,webmaster_search_ctr,webmaster_avg_position,webmaster_landing_url,webmaster_alice_status,webmaster_alice_presence,webmaster_alice_sov,webmaster_alice_source_page,customer_evidence_status,marketplace_evidence_status,human_demand_H,alice_importance_A,commercial_value_C,owned_asset_value_O,page_job,target_cta,commerce_status,direct_orders,direct_revenue,direct_margin,ozon_outbound_clicks,wb_outbound_clicks,attributed_marketplace_sales,decision_status,decision_reason,notes
1.1,q_a7bcbc7f088c,оберег печать велеса,product_core,commercial_research,SEED;WORDSTAT,2026-08-04,2026-08-10,m_wordstat_20260804_0ec6b952,,,,MEASURED,198,MEASURED,,,,,,,,,225,NOT_MEASURED,MEASURED,NOT_MEASURED,,,,,,,,,NOT_MEASURED,,,,,,,,,NOT_APPLICABLE,,,,,,NOT_APPLICABLE,,,,NOT_MEASURED,NOT_MEASURED,PROVISIONAL_MEDIUM,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,,NOT_APPLICABLE,,,,,,,PENDING_ROADMAP_05,GetTop confirms a real but narrower human-demand cluster around the exact root; R2 primary did not separately measure this wording.,Broad 30d totalCount=198; retained from validated legacy Wordstat evidence.
1.1,q_45793464bf62,подвеска печать велеса,product_core,commercial_research,SEED;WORDSTAT,2026-08-04,2026-08-10,m_wordstat_20260805_12d50a1c,,,,MEASURED,80,MEASURED,,,,,,,,,225,NOT_MEASURED,MEASURED,NOT_MEASURED,,,,,,,,,NOT_MEASURED,,,,,,,,,NOT_APPLICABLE,,,,,,NOT_APPLICABLE,,,,NOT_MEASURED,NOT_MEASURED,PROVISIONAL_LOW,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,,NOT_APPLICABLE,,,,,,,PENDING_ROADMAP_05,Narrow product-form demand exists; no separate R2 Search/Alice measurement for this wording.,Broad totalCount=80; commercial child buy=8 and silver qualifier=20 in legacy evidence.
1.1,q_b3389c7563b6,печать велеса медвежья лапа,product_variant,commercial_research,SEED;WORDSTAT,2026-08-04,2026-08-10,m_wordstat_20260805_946e9aeb,,,,MEASURED,343,MEASURED,,,,,,,,,225,NOT_MEASURED,MEASURED,NOT_MEASURED,,,,,,,,,NOT_MEASURED,,,,,,,,,NOT_APPLICABLE,,,,,,NOT_APPLICABLE,,,,NOT_MEASURED,NOT_MEASURED,PROVISIONAL_MEDIUM,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,,NOT_APPLICABLE,,,,,,,PENDING_ROADMAP_05,Meaning and purchase-oriented bear-paw subcluster exists; not separately measured in R2.,"Broad=343; meaning child=147, purchase child=23, silver+buy=17, tattoo=28."
1.1,q_31806ca53d61,печать велеса волчья лапа,product_variant,commercial_research,SEED;WORDSTAT,2026-08-04,2026-08-10,m_wordstat_20260805_8799de8a,,,,MEASURED,129,MEASURED,,,,,,,,,225,NOT_MEASURED,MEASURED,NOT_MEASURED,,,,,,,,,NOT_MEASURED,,,,,,,,,NOT_APPLICABLE,,,,,,NOT_APPLICABLE,,,,NOT_MEASURED,NOT_MEASURED,PROVISIONAL_LOW,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,,NOT_APPLICABLE,,,,,,,PENDING_ROADMAP_05,Narrow wolf-paw subcluster dominated by meaning-oriented children; not separately measured in R2.,"Broad=129; meaning child=58, male=30, female=12, tattoo=4."
1.1,q_4ab5a09494a0,печать велеса в машину,automotive,commercial_research,SEED;WORDSTAT,2026-08-04,2026-08-10,m_wordstat_20260805_5ea42d6a,,,,MEASURED,5,MEASURED,,,,,,,,,225,NOT_MEASURED,MEASURED,NOT_MEASURED,,,,,,,,,NOT_MEASURED,,,,,,,,,NOT_APPLICABLE,,,,,,NOT_APPLICABLE,,,,NOT_MEASURED,NOT_MEASURED,PROVISIONAL_LOW,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,,NOT_APPLICABLE,,,,,,,PENDING_ROADMAP_05,Very small exact symbol+car wording; broader automotive roots are materially larger.,Broad=5; final R1 also reports 5.
1.1,q_dec36683e8e1,славянский оберег в машину,automotive,commercial_research,SEED;WORDSTAT,2026-08-04,2026-08-10,m_wordstat_20260805_a164a34f,,,,MEASURED,72,MEASURED,,,,,,,,,225,NOT_MEASURED,MEASURED,NOT_MEASURED,,,,,,,,,NOT_MEASURED,,,,,,,,,NOT_APPLICABLE,,,,,,NOT_APPLICABLE,,,,NOT_MEASURED,NOT_MEASURED,PROVISIONAL_LOW,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,,NOT_APPLICABLE,,,,,,,PENDING_ROADMAP_05,Narrow but real Slavic automotive subcluster; broader automotive root is stronger.,Historical/broad signal=72; retained from validated Wordstat evidence.
1.1,q_f87efd71ce50,медвежья и волчья печать велеса отличие,comparison,commercial_research,SEED;WORDSTAT,2026-08-04,2026-08-10,m_wordstat_20260806_d82b2010,,,,MEASURED,1,MEASURED,,,,,,,,,225,NOT_MEASURED,NOT_AVAILABLE,NOT_MEASURED,,,,,,,,,NOT_MEASURED,,,,,,,,,NOT_APPLICABLE,,,,,,NOT_APPLICABLE,,,,NOT_MEASURED,NOT_MEASURED,PROVISIONAL_LOW,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,,NOT_APPLICABLE,,,,,,,PENDING_ROADMAP_05,Very small direct comparison root; no separate R2 measurement.,Broad=1; no child/association inference.
1.1,q_5b5d025fa1c6,какой оберег выбрать в машину,automotive_choice,commercial_research,SEED;WORDSTAT,2026-08-04,2026-08-10,m_wordstat_20260810_62413d0f,,,,MEASURED,12,MEASURED,,,,,,,,,225,NOT_MEASURED,MEASURED,NOT_MEASURED,,,,,,,,,NOT_MEASURED,,,,,,,,,NOT_APPLICABLE,,,,,,NOT_APPLICABLE,,,,NOT_MEASURED,NOT_MEASURED,PROVISIONAL_LOW,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,,,NOT_APPLICABLE,,,,,,,PENDING_ROADMAP_05,Small but direct automotive-choice signal; broader `оберег в машину` Alice already covers choice/use-case.,Broad=12; relevant child `обереги в машину какой лучше выбрать`=12.
1.1,q_806670c30a84,славянские обереги,slavic_category,commercial_research,WORDSTAT;SERP_QUERY;BROWSER_SERP;ALICE,2026-08-04,2026-08-26,,m_yandex_serp_20260826_a794a881,m_alice_20260826T0723Z_0358554a,,MEASURED,25737,MEASURED,2987,MEASURED,,NOT_MEASURED,22563,MEASURED,2869,MEASURED,225,NOT_MEASURED,NOT_MEASURED,MEASURED,2026-08-26,225,,MEASURED,YES,YES,YES,NOT_OBSERVED,MEASURED,славянские обереги,2026-08-26,YES,MEASURED,,,NOT_OBSERVED,NO,NOT_APPLICABLE,,,,,,NOT_APPLICABLE,,,,NOT_MEASURED,NOT_MEASURED,HIGH,HIGH,HIGH,HIGH,,,NOT_APPLICABLE,,,,,,,KEEP,"Stage 05: core Slavic category opportunity; high demand, strong specialist Search/touch competition and high Alice/source usefulness.","R1 final values are canonical; exact final Wordstat measurement_id not backfilled. Desktop: 3 top Promo. Touch/emulated-mobile: no top Promo; simvolroda.ru #1, Images, slavyanskieoberegi.ru #2; embedded Alice not observed."
1.1,q_e624da6cb26d,печать велеса,product_core,commercial_research,SEED;WORDSTAT;SERP_QUERY;BROWSER_SERP;ALICE,2026-08-04,2026-08-26,,m_yandex_serp_20260826_49ab5424,m_alice_20260826T0734Z_e624da6c,,MEASURED,3330,MEASURED,802,MEASURED,,NOT_MEASURED,,NOT_MEASURED,,NOT_MEASURED,225,NOT_MEASURED,NOT_MEASURED,MEASURED,2026-08-26,225,,MEASURED,YES,YES,YES,NOT_OBSERVED,MEASURED,печать велеса,2026-08-26,YES,MEASURED,,,OBSERVED,NO,NOT_APPLICABLE,,,,,,NOT_APPLICABLE,,,,NOT_MEASURED,NOT_MEASURED,HIGH,HIGH,HIGH,HIGH,,,NOT_APPLICABLE,,,,,,,KEEP,Stage 05: strongest hybrid named-symbol family; direct commercial base + repeatable meaning layer + specialist owned-asset leverage.,R1 final broad=3330 overrides older pilot 3350; exact final Wordstat measurement_id not backfilled. Browser has embedded Alice and People-search meaning branches.
