schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,observed_at,observed_at_precision,region,region_status,device,device_status,conversation_context,answer_present,answer_status,answer_snapshot,source_domain,source_url,source_page_type,source_order_displayed,fanout_text,fanout_status,raw_ref,source_ref,record_status,notes
1.1,m_alice_20260826_16798cf4_chat,o_alice_20260826_16798cf4_chat_answer_0001,ALICE_INPUT,OBSERVED,alice_answer,q_16798cf404fd,оберег в машину,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,STANDALONE_CONSUMER_CHAT,YES,MEASURED,"Hybrid choice/use-case + shopping answer: explains types of car talismans, placement/safety, selection advice, then injects 7 directly orderable marketplace products from Yandex Market, Ozon and Wildberries.",,,,,,NOT_OBSERVED,marketing/data/raw/alice/20260826__obereg_v_mashinu__consumer_chat.md,,VALID,Separate Alice chat because embedded Alice was not observed in supplied browser SERP capture. Product integration is part of the Alice answer itself.
1.1,m_alice_20260826_16798cf4_chat,o_alice_20260826_16798cf4_chat_source_0002,ALICE_SOURCE,OBSERVED,alice_source,q_16798cf404fd,оберег в машину,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,STANDALONE_CONSUMER_CHAT,,,,happywitch.ru,,independent_commerce_content,1,,NOT_OBSERVED,marketing/data/raw/alice/20260826__obereg_v_mashinu__consumer_chat.md,,VALID,Exact source URL not captured in screenshots; domain/title row observed directly.
1.1,m_alice_20260826_16798cf4_chat,o_alice_20260826_16798cf4_chat_source_0003,ALICE_SOURCE,OBSERVED,alice_source,q_16798cf404fd,оберег в машину,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,STANDALONE_CONSUMER_CHAT,,,,slavyarmarka.ru,,independent_commerce,2,,NOT_OBSERVED,marketing/data/raw/alice/20260826__obereg_v_mashinu__consumer_chat.md,,VALID,Exact source URL not captured in screenshots; domain/title row observed directly.
1.1,m_alice_20260826_16798cf4_chat,o_alice_20260826_16798cf4_chat_source_0004,ALICE_SOURCE,OBSERVED,alice_source,q_16798cf404fd,оберег в машину,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,STANDALONE_CONSUMER_CHAT,,,,vk.ru,,social,3,,NOT_OBSERVED,marketing/data/raw/alice/20260826__obereg_v_mashinu__consumer_chat.md,,VALID,Exact source URL not captured in screenshots; domain/title row observed directly.
1.1,m_alice_20260826_16798cf4_chat,o_alice_20260826_16798cf4_chat_source_0005,ALICE_SOURCE,OBSERVED,alice_source,q_16798cf404fd,оберег в машину,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,STANDALONE_CONSUMER_CHAT,,,,market.yandex.ru,,marketplace,4,,NOT_OBSERVED,marketing/data/raw/alice/20260826__obereg_v_mashinu__consumer_chat.md,,VALID,Exact source URL not captured in screenshots; domain/title row observed directly.
1.1,m_alice_20260826_16798cf4_chat,o_alice_20260826_16798cf4_chat_source_0006,ALICE_SOURCE,OBSERVED,alice_source,q_16798cf404fd,оберег в машину,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,STANDALONE_CONSUMER_CHAT,,,,wildberries.ru,,marketplace,5,,NOT_OBSERVED,marketing/data/raw/alice/20260826__obereg_v_mashinu__consumer_chat.md,,VALID,Exact source URL not captured in screenshots; domain/title row observed directly.
1.1,m_alice_20260826_16798cf4_chat,o_alice_20260826_16798cf4_chat_source_0007,ALICE_SOURCE,OBSERVED,alice_source,q_16798cf404fd,оберег в машину,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,STANDALONE_CONSUMER_CHAT,,,,aliexpress.ru,,marketplace,6,,NOT_OBSERVED,marketing/data/raw/alice/20260826__obereg_v_mashinu__consumer_chat.md,,VALID,Exact source URL not captured in screenshots; domain/title row observed directly.
1.1,m_alice_20260826_16798cf4_chat,o_alice_20260826_16798cf4_chat_source_0008,ALICE_SOURCE,OBSERVED,alice_source,q_16798cf404fd,оберег в машину,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,STANDALONE_CONSUMER_CHAT,,,,market.yandex.ru,,marketplace,7,,NOT_OBSERVED,marketing/data/raw/alice/20260826__obereg_v_mashinu__consumer_chat.md,,VALID,Exact source URL not captured in screenshots; domain/title row observed directly.
1.1,m_alice_20260826_16798cf4_chat,o_alice_20260826_16798cf4_chat_source_0009,ALICE_SOURCE,OBSERVED,alice_source,q_16798cf404fd,оберег в машину,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,STANDALONE_CONSUMER_CHAT,,,,market.yandex.ru,,marketplace,8,,NOT_OBSERVED,marketing/data/raw/alice/20260826__obereg_v_mashinu__consumer_chat.md,,VALID,Exact source URL not captured in screenshots; domain/title row observed directly.
1.1,m_alice_20260826_16798cf4_chat,o_alice_20260826_16798cf4_chat_source_0010,ALICE_SOURCE,OBSERVED,alice_source,q_16798cf404fd,оберег в машину,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,STANDALONE_CONSUMER_CHAT,,,,ozon.ru,,marketplace,9,,NOT_OBSERVED,marketing/data/raw/alice/20260826__obereg_v_mashinu__consumer_chat.md,,VALID,Exact source URL not captured in screenshots; domain/title row observed directly.
1.1,m_alice_20260826_16798cf4_chat,o_alice_20260826_16798cf4_chat_source_0011,ALICE_SOURCE,OBSERVED,alice_source,q_16798cf404fd,оберег в машину,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,STANDALONE_CONSUMER_CHAT,,,,гибддбрянск.рф,,public_information,10,,NOT_OBSERVED,marketing/data/raw/alice/20260826__obereg_v_mashinu__consumer_chat.md,,VALID,Exact source URL not captured in screenshots; domain/title row observed directly.
