schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,observed_at,observed_at_precision,region,region_status,device,device_status,conversation_context,answer_present,answer_status,answer_snapshot,source_domain,source_url,source_page_type,source_order_displayed,fanout_text,fanout_status,raw_ref,source_ref,record_status,notes
1.1,m_alice_20260826_cc67e8b8_chat,o_alice_20260826_cc67e8b8_chat_answer_0001,ALICE_INPUT,OBSERVED,alice_answer,q_cc67e8b8507f,подвеска на зеркало в машину,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,STANDALONE_CONSUMER_CHAT,YES,MEASURED,"Decor/form-factor selection + shopping answer: defines mirror pendants, explains types and safety/use, then injects 6 directly orderable products from Yandex Market and Ozon and names Ozon/Wildberries/Yandex Market/Livemaster as shopping destinations.",,,,,,NOT_OBSERVED,marketing/data/raw/alice/20260826__podveska_na_zerkalo_v_mashinu__consumer_chat.md,,VALID,Separate Alice chat because embedded Alice was not observed in supplied browser SERP capture. Product integration is part of the Alice answer itself.
1.1,m_alice_20260826_cc67e8b8_chat,o_alice_20260826_cc67e8b8_chat_source_0002,ALICE_SOURCE,OBSERVED,alice_source,q_cc67e8b8507f,подвеска на зеркало в машину,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,STANDALONE_CONSUMER_CHAT,,,,market.yandex.ru,,marketplace,1,,NOT_OBSERVED,marketing/data/raw/alice/20260826__podveska_na_zerkalo_v_mashinu__consumer_chat.md,,VALID,Exact source URL not captured in screenshots; domain/title row observed directly.
1.1,m_alice_20260826_cc67e8b8_chat,o_alice_20260826_cc67e8b8_chat_source_0003,ALICE_SOURCE,OBSERVED,alice_source,q_cc67e8b8507f,подвеска на зеркало в машину,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,STANDALONE_CONSUMER_CHAT,,,,avito.ru,,marketplace,2,,NOT_OBSERVED,marketing/data/raw/alice/20260826__podveska_na_zerkalo_v_mashinu__consumer_chat.md,,VALID,Exact source URL not captured in screenshots; domain/title row observed directly.
1.1,m_alice_20260826_cc67e8b8_chat,o_alice_20260826_cc67e8b8_chat_source_0004,ALICE_SOURCE,OBSERVED,alice_source,q_cc67e8b8507f,подвеска на зеркало в машину,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,STANDALONE_CONSUMER_CHAT,,,,sima-land.ru,,retailer,3,,NOT_OBSERVED,marketing/data/raw/alice/20260826__podveska_na_zerkalo_v_mashinu__consumer_chat.md,,VALID,Exact source URL not captured in screenshots; domain/title row observed directly.
1.1,m_alice_20260826_cc67e8b8_chat,o_alice_20260826_cc67e8b8_chat_source_0005,ALICE_SOURCE,OBSERVED,alice_source,q_cc67e8b8507f,подвеска на зеркало в машину,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,STANDALONE_CONSUMER_CHAT,,,,ozon.ru,,marketplace,4,,NOT_OBSERVED,marketing/data/raw/alice/20260826__podveska_na_zerkalo_v_mashinu__consumer_chat.md,,VALID,Exact source URL not captured in screenshots; domain/title row observed directly.
1.1,m_alice_20260826_cc67e8b8_chat,o_alice_20260826_cc67e8b8_chat_source_0006,ALICE_SOURCE,OBSERVED,alice_source,q_cc67e8b8507f,подвеска на зеркало в машину,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,STANDALONE_CONSUMER_CHAT,,,,livemaster.ru,,marketplace,5,,NOT_OBSERVED,marketing/data/raw/alice/20260826__podveska_na_zerkalo_v_mashinu__consumer_chat.md,,VALID,Exact source URL not captured in screenshots; domain/title row observed directly.
1.1,m_alice_20260826_cc67e8b8_chat,o_alice_20260826_cc67e8b8_chat_source_0007,ALICE_SOURCE,OBSERVED,alice_source,q_cc67e8b8507f,подвеска на зеркало в машину,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,STANDALONE_CONSUMER_CHAT,,,,aliexpress.ru,,marketplace,6,,NOT_OBSERVED,marketing/data/raw/alice/20260826__podveska_na_zerkalo_v_mashinu__consumer_chat.md,,VALID,Exact source URL not captured in screenshots; domain/title row observed directly.
1.1,m_alice_20260826_cc67e8b8_chat,o_alice_20260826_cc67e8b8_chat_source_0008,ALICE_SOURCE,OBSERVED,alice_source,q_cc67e8b8507f,подвеска на зеркало в машину,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,STANDALONE_CONSUMER_CHAT,,,,wildberries.ru,,marketplace,7,,NOT_OBSERVED,marketing/data/raw/alice/20260826__podveska_na_zerkalo_v_mashinu__consumer_chat.md,,VALID,Exact source URL not captured in screenshots; domain/title row observed directly.
1.1,m_alice_20260826_cc67e8b8_chat,o_alice_20260826_cc67e8b8_chat_source_0009,ALICE_SOURCE,OBSERVED,alice_source,q_cc67e8b8507f,подвеска на зеркало в машину,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,STANDALONE_CONSUMER_CHAT,,,,joom.ru,,marketplace,8,,NOT_OBSERVED,marketing/data/raw/alice/20260826__podveska_na_zerkalo_v_mashinu__consumer_chat.md,,VALID,Exact source URL not captured in screenshots; domain/title row observed directly.
1.1,m_alice_20260826_cc67e8b8_chat,o_alice_20260826_cc67e8b8_chat_source_0010,ALICE_SOURCE,OBSERVED,alice_source,q_cc67e8b8507f,подвеска на зеркало в машину,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,STANDALONE_CONSUMER_CHAT,,,,dzen.ru,,media_platform,9,,NOT_OBSERVED,marketing/data/raw/alice/20260826__podveska_na_zerkalo_v_mashinu__consumer_chat.md,,VALID,Exact source URL not captured in screenshots; domain/title row observed directly.
1.1,m_alice_20260826_cc67e8b8_chat,o_alice_20260826_cc67e8b8_chat_source_0011,ALICE_SOURCE,OBSERVED,alice_source,q_cc67e8b8507f,подвеска на зеркало в машину,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,STANDALONE_CONSUMER_CHAT,,,,avtoall.ru,,automotive_informational_commerce,10,,NOT_OBSERVED,marketing/data/raw/alice/20260826__podveska_na_zerkalo_v_mashinu__consumer_chat.md,,VALID,Exact source URL not captured in screenshots; domain/title row observed directly.
