schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,observed_at,observed_at_precision,region,region_status,device,device_status,conversation_context,answer_present,answer_status,answer_snapshot,source_domain,source_url,source_page_type,source_order_displayed,fanout_text,fanout_status,raw_ref,source_ref,record_status,notes
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_answer_0001,ALICE_INPUT,OBSERVED,alice_answer,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,YES,MEASURED,"Informational zodiac-selection guide with explicit non-scientific caveat; symbol + stones/colors examples, no direct product-card section.",,,,,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Full embedded answer captured in copied SERP; Alice explicitly displayed 30 sources and 3 fan-out prompts.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0001,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,alltime.ru,https://www.alltime.ru/blog/?page=post&blog=watchblog&post_id=talismany-po-znakam-zodiaka-kak-vybrat-svoy-obereg-po-date-rozhdeniya,retail_commerce_content,1,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0002,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,chronos.mg,https://chronos.mg/blog/talismany-znakov-zodiaka/,informational,2,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0003,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,v-kosmose.com,https://v-kosmose.com/znaki-zodiaka/talismanyi-znakov-zodiaka/,informational,3,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0004,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,dzen.ru,https://dzen.ru/a/Z1beYFxfh3LPclpQ,media_social,4,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0005,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,sunlight.net,https://sunlight.net/catalog/podveski-so-znakom-zodiaka.html,retail_commerce,5,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0006,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,horo.mail.ru,https://horo.mail.ru/prediction/taurus/today/,informational_media,6,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0007,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,horoscopes.rambler.ru,https://horoscopes.rambler.ru/taurus/,informational_media,7,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0008,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,dzen.ru,https://dzen.ru/a/XlEGYGmYBQboRJiZ,media_social,8,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0009,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,1001goroskop.ru,https://1001goroskop.ru/?znak=taurus&kn=week,informational,9,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
