current_stock_snapshot_present,ozon_product_id,sku,observed_name,product_family,ordered_units_90d
true,1082848375,1602711278,"Чётки - Талисман в машину ""RSOTM"".",warrior_talismans,0
true,1082848825,1602711870,"Чётки - Талисман в машину ""Soldier Of Fortune"".",warrior_talismans,0
true,1082852354,1602715556,"Чётки - Талисман в машину ""Бусидо - Путь Воина"".",warrior_talismans,19
true,1082855228,1602717077,"Чётки  ""Шлем ужаса - Эгисхьяльм"".",norse_runic,22
true,1082862005,1602722942,Вегвизир - Рунический компас,norse_runic,84
true,1092556350,1611643847,"Гунгнир (Gungner)"" - Копьё Одина.",norse_runic,15
true,1092558299,1611695246,"""Валькнут (Valknut)"" - Узел павших.",norse_runic,7
true,1106060257,1623753672,Древо Жизни,universal_symbols,19
true,1112665646,1629493686,Ом (санскр. ॐ) или Аум,universal_symbols,3
true,1112723580,1629553898,Инь и Ян,universal_symbols,5
true,1113280875,1630033296,"""Белобог""",slavic_symbols_oberegs,6
true,1113288401,1630040194,Чернобог,slavic_symbols_oberegs,12
true,1119957837,1636041142,"""Велес""",slavic_symbols_oberegs,48
true,1119965443,1636048691,Печать Велеса,slavic_symbols_oberegs,385
true,1124658338,1640251697,Алатырь (Крест Сварога),slavic_symbols_oberegs,84
true,1124673031,1640264403,Триглав,slavic_symbols_oberegs,17
true,1124691132,1640276582,Ратиборец,slavic_symbols_oberegs,10
true,1124725450,1640306007,Молвинец,slavic_symbols_oberegs,21
true,1124733734,1640326205,Колядник,slavic_symbols_oberegs,67
true,1124751825,1640326230,Знич,slavic_symbols_oberegs,3
true,1124755617,1640330072,Громовик,slavic_symbols_oberegs,29
true,1124761013,1640334195,Всеславец,slavic_symbols_oberegs,2
true,1124764995,1640337426,Боговник,slavic_symbols_oberegs,6
true,1217110817,1720124782,"Знак зодиака ""Стрелец""",zodiac_classic,13
true,1217117569,1720131759,"Знак зодиака ""Близнецы""",zodiac_classic,21
true,1217124642,1720137256,"Знак зодиака ""Весы""",zodiac_classic,13
true,1217129635,1720141903,"Знак зодиака ""Водолей""",zodiac_classic,14
true,1217132021,1720144370,"Знак зодиака ""Дева""",zodiac_classic,14
true,1217135724,1720147059,"Знак зодиака ""Козерог""",zodiac_classic,16
true,1217137863,1720148880,"Знак зодиака ""Овен""",zodiac_classic,32
true,1217141020,1720151850,"Знак зодиака ""Лев""",zodiac_classic,10
true,1217143121,1720153914,"Знак зодиака ""Рак""",zodiac_classic,15
true,1217145315,1720155616,"Знак зодиака ""Рыбы""",zodiac_classic,1
true,1217150153,1720160556,"Знак зодиака ""Скорпион""",zodiac_classic,16
true,1217152166,1720161841,"Знак зодиака ""Телец""",zodiac_classic,6
true,1366092977,1842444165,Оберег Родимич,slavic_symbols_oberegs,13
true,1498533114,1943215793,Молитва Иоанн Златоуст,orthodox_christian,6
true,1830964558,2183808182,Жива,slavic_symbols_oberegs,7
true,1831102037,2183921966,"""Сварог""",slavic_symbols_oberegs,34
true,1831181558,2183985513,"""Перун""",slavic_symbols_oberegs,20
true,1831327502,2184098058,"""Стрибог""",slavic_symbols_oberegs,4
true,1831377069,2184133137,"""Макошь""",slavic_symbols_oberegs,4
true,1831403746,2184153852,"""Семаргл""",slavic_symbols_oberegs,9
true,1831422362,2184168890,"""Хорс""",slavic_symbols_oberegs,2
true,1831464047,2184199958,"""Мара""",slavic_symbols_oberegs,28
true,1831506538,2184234912,"""Звезда Лады""",slavic_symbols_oberegs,30
true,1832435919,2184932293,"""Даждьбог""",slavic_symbols_oberegs,10
true,1834930939,2186766628,"Знак зодиака ""Телец"" (Античность)",zodiac_antique,5
true,1834968755,2186796339,"Знак зодиака ""Рак"" (Античность)",zodiac_antique,4
true,1834976037,2186802133,"Знак зодиака ""Весы"" (Античность)",zodiac_antique,5
true,1835021816,2186836116,"Знак зодиака ""Скорпион"" (Античность)",zodiac_antique,9
true,1835026306,2186839757,"Знак зодиака ""Стрелец"" (Античность)",zodiac_antique,7
true,1835030733,2186843798,"Знак зодиака ""Дева"" (Античность)",zodiac_antique,5
true,1835035733,2186846833,"Знак зодиака ""Водолей"" (Античность)",zodiac_antique,2
true,1835037959,2186848313,"Знак зодиака ""Рыбы"" (Античность)",zodiac_antique,6
true,1835042242,2186850644,"Знак зодиака ""Овен"" (Античность)",zodiac_antique,9
true,1835045239,2186852750,"Знак зодиака ""Козерог"" (Античность)",zodiac_antique,0
true,1835048645,2186856503,"Знак зодиака ""Близнецы"" (Античность)",zodiac_antique,4
true,1835050645,2186857668,"Знак зодиака ""Лев"" (Античность)",zodiac_antique,26
true,1835063317,2186865070,"Знак зодиака ""Дева"" (Античность 2)",zodiac_antique,1
true,1947980208,2271188511,"Знак зодиака ""Лев"" (Символы)",zodiac_symbols,13
true,1948032144,2271210394,"Знак зодиака ""Близнецы"" (Символы)",zodiac_symbols,30
true,1948039800,2271219774,"Знак зодиака ""Весы"" (Символы)",zodiac_symbols,6
true,1948064495,2271234726,"Знак зодиака ""Водолей"" (Символы)",zodiac_symbols,6
true,1948071647,2271240621,"Знак зодиака ""Дева"" (Символы)",zodiac_symbols,3
true,1948079096,2271246783,"Знак зодиака ""Козерог"" (Символы)",zodiac_symbols,2
true,1948085774,2271251938,"Знак зодиака ""Овен"" (Символы)",zodiac_symbols,4
true,1948098351,2271262133,"Знак зодиака ""Рак"" (Символы)",zodiac_symbols,11
true,1948107866,2271270261,"Знак зодиака ""Рыбы"" (Символы)",zodiac_symbols,12
true,1948116414,2271275793,"Знак зодиака ""Скорпион"" (Символы)",zodiac_symbols,5
true,1948128035,2271285786,"Знак зодиака ""Стрелец"" (Символы)",zodiac_symbols,4
true,1948138072,2271292556,"Знак зодиака ""Телец"" (Символы)",zodiac_symbols,6
true,2020661872,2326866320,Спаси и Сохрани,orthodox_christian,22
true,2324003802,2559437928,"""Чур""",slavic_symbols_oberegs,77
true,2324384021,2559748332,"""Герб России""",patriotic,33
true,2324467855,2559817779,"""Герб России"" (Логотип)",patriotic,0
false,,1602675090,"Чётки - Талисман в машину ""Wagner Group"".",warrior_talismans,0
false,,1602712132,"Подвеска на зеркало в машину ""Русская Община"". Талисман.",patriotic,0
false,,1640255491,"Славянский оберег - Подвеска на зеркало в машину ""Звезда Руси (Квадрат Сварога)""",slavic_symbols_oberegs,0
false,,1640280174,"Чётки - Славянский оберег в машину ""Родимич""",slavic_symbols_oberegs,0
false,,1680582086,"Подвеска на зеркало в машину ""Русская Община"". Талисман.",patriotic,0
false,,4301377069,"Подвеска на зеркало в машину ""Печать Велеса""",slavic_symbols_oberegs,0
