observed_date,ozon_product_id,sku,fresh_identity_status,historical_20260812_identity_match
2026-08-26,1082848375,1602711278,OBSERVED,EXACT
2026-08-26,1082848825,1602711870,OBSERVED,EXACT
2026-08-26,1082852354,1602715556,OBSERVED,EXACT
2026-08-26,1082855228,1602717077,OBSERVED,EXACT
2026-08-26,1082862005,1602722942,OBSERVED,EXACT
2026-08-26,1092556350,1611643847,OBSERVED,EXACT
2026-08-26,1092558299,1611695246,OBSERVED,EXACT
2026-08-26,1106060257,1623753672,OBSERVED,EXACT
2026-08-26,1112665646,1629493686,OBSERVED,EXACT
2026-08-26,1112723580,1629553898,OBSERVED,EXACT
2026-08-26,1113280875,1630033296,OBSERVED,EXACT
2026-08-26,1113288401,1630040194,OBSERVED,EXACT
2026-08-26,1119957837,1636041142,OBSERVED,EXACT
2026-08-26,1119965443,1636048691,OBSERVED,EXACT
2026-08-26,1124658338,1640251697,OBSERVED,EXACT
2026-08-26,1124673031,1640264403,OBSERVED,EXACT
2026-08-26,1124691132,1640276582,OBSERVED,EXACT
2026-08-26,1124725450,1640306007,OBSERVED,EXACT
2026-08-26,1124733734,1640326205,OBSERVED,EXACT
2026-08-26,1124751825,1640326230,OBSERVED,EXACT
2026-08-26,1124755617,1640330072,OBSERVED,EXACT
2026-08-26,1124761013,1640334195,OBSERVED,EXACT
2026-08-26,1124764995,1640337426,OBSERVED,EXACT
2026-08-26,1217110817,1720124782,OBSERVED,EXACT
2026-08-26,1217117569,1720131759,OBSERVED,EXACT
2026-08-26,1217124642,1720137256,OBSERVED,EXACT
2026-08-26,1217129635,1720141903,OBSERVED,EXACT
2026-08-26,1217132021,1720144370,OBSERVED,EXACT
2026-08-26,1217135724,1720147059,OBSERVED,EXACT
2026-08-26,1217137863,1720148880,OBSERVED,EXACT
2026-08-26,1217141020,1720151850,OBSERVED,EXACT
2026-08-26,1217143121,1720153914,OBSERVED,EXACT
2026-08-26,1217145315,1720155616,OBSERVED,EXACT
2026-08-26,1217150153,1720160556,OBSERVED,EXACT
2026-08-26,1217152166,1720161841,OBSERVED,EXACT
2026-08-26,1366092977,1842444165,OBSERVED,EXACT
2026-08-26,1498533114,1943215793,OBSERVED,EXACT
2026-08-26,1830964558,2183808182,OBSERVED,EXACT
2026-08-26,1831102037,2183921966,OBSERVED,EXACT
2026-08-26,1831181558,2183985513,OBSERVED,EXACT
2026-08-26,1831327502,2184098058,OBSERVED,EXACT
2026-08-26,1831377069,2184133137,OBSERVED,EXACT
2026-08-26,1831403746,2184153852,OBSERVED,EXACT
2026-08-26,1831422362,2184168890,OBSERVED,EXACT
2026-08-26,1831464047,2184199958,OBSERVED,EXACT
2026-08-26,1831506538,2184234912,OBSERVED,EXACT
2026-08-26,1832435919,2184932293,OBSERVED,EXACT
2026-08-26,1834930939,2186766628,OBSERVED,EXACT
2026-08-26,1834968755,2186796339,OBSERVED,EXACT
2026-08-26,1834976037,2186802133,OBSERVED,EXACT
2026-08-26,1835021816,2186836116,OBSERVED,EXACT
2026-08-26,1835026306,2186839757,OBSERVED,EXACT
2026-08-26,1835030733,2186843798,OBSERVED,EXACT
2026-08-26,1835035733,2186846833,OBSERVED,EXACT
2026-08-26,1835037959,2186848313,OBSERVED,EXACT
2026-08-26,1835042242,2186850644,OBSERVED,EXACT
2026-08-26,1835045239,2186852750,OBSERVED,EXACT
2026-08-26,1835048645,2186856503,OBSERVED,EXACT
2026-08-26,1835050645,2186857668,OBSERVED,EXACT
2026-08-26,1835063317,2186865070,OBSERVED,EXACT
2026-08-26,1947980208,2271188511,OBSERVED,EXACT
2026-08-26,1948032144,2271210394,OBSERVED,EXACT
2026-08-26,1948039800,2271219774,OBSERVED,EXACT
2026-08-26,1948064495,2271234726,OBSERVED,EXACT
2026-08-26,1948071647,2271240621,OBSERVED,EXACT
2026-08-26,1948079096,2271246783,OBSERVED,EXACT
2026-08-26,1948085774,2271251938,OBSERVED,EXACT
2026-08-26,1948098351,2271262133,OBSERVED,EXACT
2026-08-26,1948107866,2271270261,OBSERVED,EXACT
2026-08-26,1948116414,2271275793,OBSERVED,EXACT
2026-08-26,1948128035,2271285786,OBSERVED,EXACT
2026-08-26,1948138072,2271292556,OBSERVED,EXACT
2026-08-26,2020661872,2326866320,OBSERVED,EXACT
2026-08-26,2324003802,2559437928,OBSERVED,EXACT
2026-08-26,2324384021,2559748332,OBSERVED,EXACT
2026-08-26,2324467855,2559817779,OBSERVED,EXACT
