schema_version,marketplace,marketplace_product_id,marketplace_sku,seller_offer_id,listing_title,symbol_name,product_family,opportunity_ids,listing_status,price_rub,medallion_diameter_mm,material,bead_size_mm,bead_material,total_length_mm,weight_g,ordered_units_90d,revenue_90d_rub,cross_platform_candidate_key,identity_status,passport_completeness,customer_evidence_status,performance_status,notes
1.0,ozon,1082855228,1602717077,"Чётки ""Шлем ужаса - Эгисхьяльм"".","Амулет - Подвеска на зеркало в машину ""Шлем ужаса - Эгисхьяльм"".",Шлем ужаса / Эгисхьяльм,norse_runic,OU08|OU03|OU04,ACTIVE_SELLING,1700.0,45,wood,12,acrylic,360,200.0,22.0,37800.0,cand_aegishjalm,PROVISIONAL_STRONG_CROSS_PLATFORM_MATCH,DECISION_GRADE,CATEGORY_ANALOG_AVAILABLE;DIRECT_OZON_BUYER_TEXT_BLOCKED,OZON_90D_MEASURED,No stable cross-platform product_master_id assigned; candidate pairing is not a merge.
1.0,ozon,1082862005,1602722942,Вегвизир - Рунический компас,"Амулет - Подвеска на зеркало в машину ""Вегвизир - Рунический компас"".",Вегвизир,norse_runic,OU07|OU03|OU04,ACTIVE_SELLING,1700.0,45,wood,12,acrylic,360,200.0,84.0,142643.0,cand_vegvisir,PROVISIONAL_STRONG_CROSS_PLATFORM_MATCH,DECISION_GRADE,CATEGORY_ANALOG_AVAILABLE;DIRECT_OZON_BUYER_TEXT_BLOCKED,OZON_90D_MEASURED,No stable cross-platform product_master_id assigned; candidate pairing is not a merge.
1.0,ozon,1119957837,1636041142,"""Велес""","Славянский оберег - Подвеска на зеркало в машину ""Велес""",Велес,slavic_symbols_oberegs,OU01|OU06|OU03|OU04,ACTIVE_SELLING,1700.0,45,wood,12,acrylic,360,200.0,48.0,80317.0,cand_veles,PROVISIONAL_STRONG_CROSS_PLATFORM_MATCH,DECISION_GRADE,CATEGORY_ANALOG_AVAILABLE;DIRECT_OZON_BUYER_TEXT_BLOCKED,OZON_90D_MEASURED,No stable cross-platform product_master_id assigned; candidate pairing is not a merge.
1.0,ozon,1119965443,1636048691,Печать Велеса,"Славянский оберег - Подвеска на зеркало в машину ""Печать Велеса""",Печать Велеса,slavic_symbols_oberegs,OU01|OU02|OU03|OU04,ACTIVE_SELLING,1700.0,45,wood,12,acrylic,360,200.0,385.0,653271.0,cand_pechat_velesa,PROVISIONAL_STRONG_CROSS_PLATFORM_MATCH,DECISION_GRADE,CATEGORY_ANALOG_AVAILABLE;DIRECT_OZON_BUYER_TEXT_BLOCKED,OZON_90D_MEASURED,No stable cross-platform product_master_id assigned; candidate pairing is not a merge.
1.0,ozon,1124658338,1640251697,Алатырь (Крест Сварога),"Славянский оберег - Подвеска на зеркало в машину ""Алатырь (Крест Сварога)""",Алатырь,slavic_symbols_oberegs,OU01|OU05|OU03|OU04,ACTIVE_SELLING,1700.0,45,wood,12,acrylic,360,200.0,84.0,143243.0,cand_alatyr,PROVISIONAL_STRONG_CROSS_PLATFORM_MATCH,DECISION_GRADE,CATEGORY_ANALOG_AVAILABLE;DIRECT_OZON_BUYER_TEXT_BLOCKED,OZON_90D_MEASURED,No stable cross-platform product_master_id assigned; candidate pairing is not a merge.
1.0,ozon,1082852354,1602715556,"Чётки - Талисман в машину ""Бусидо - Путь Воина"".","Талисман - Подвеска на зеркало в машину ""Бусидо - Путь Воина"". Оберег.",Бусидо - Путь Воина,warrior_talismans,OU03|OU04,ACTIVE_SELLING,1700.0,45,wood,12,acrylic,360,200.0,19.0,32800.0,cand_busido,PROVISIONAL_STRONG_CROSS_PLATFORM_MATCH,DECISION_GRADE,CATEGORY_ANALOG_AVAILABLE;DIRECT_OZON_BUYER_TEXT_BLOCKED,OZON_90D_MEASURED,No stable cross-platform product_master_id assigned; candidate pairing is not a merge.
1.0,ozon,1217137863,1720148880,"Знак зодиака ""Овен""","Талисман - Подвеска на зеркало в машину. Знак зодиака ""Овен"". Оберег.",Овен,zodiac_classic,OU09|OU03|OU04,ACTIVE_SELLING,1700.0,45,wood,12,acrylic,360,300.0,32.0,54412.0,cand_zodiac_aries_classic,PROVISIONAL_STRONG_CROSS_PLATFORM_MATCH,DECISION_GRADE,CATEGORY_ANALOG_AVAILABLE;DIRECT_OZON_BUYER_TEXT_BLOCKED,OZON_90D_MEASURED,No stable cross-platform product_master_id assigned; candidate pairing is not a merge.
1.0,ozon,1835050645,2186857668,"Знак зодиака ""Лев"" (Античность)","Талисман - Подвеска на зеркало в машину. Знак зодиака ""Лев"". Оберег.",Лев,zodiac_antique,OU09|OU03|OU04,ACTIVE_SELLING,1700.0,45,wood,12,acrylic,360,300.0,26.0,44600.0,cand_zodiac_leo_antique,PROVISIONAL_STRONG_CROSS_PLATFORM_MATCH,DECISION_GRADE,CATEGORY_ANALOG_AVAILABLE;DIRECT_OZON_BUYER_TEXT_BLOCKED,OZON_90D_MEASURED,No stable cross-platform product_master_id assigned; candidate pairing is not a merge.
1.0,ozon,1948032144,2271210394,"Знак зодиака ""Близнецы"" (Символы)","Талисман - Подвеска на зеркало в машину. Знак зодиака ""Близнецы"". Оберег.",Близнецы,zodiac_symbols,OU09|OU03|OU04,ACTIVE_SELLING,1700.0,45,wood,12,acrylic,360,300.0,30.0,52000.0,cand_zodiac_gemini_symbols,PROVISIONAL_STRONG_CROSS_PLATFORM_MATCH,DECISION_GRADE,CATEGORY_ANALOG_AVAILABLE;DIRECT_OZON_BUYER_TEXT_BLOCKED,OZON_90D_MEASURED,No stable cross-platform product_master_id assigned; candidate pairing is not a merge.
1.0,wildberries,249560898,2040835489852,Шлем ужаса - Эгисхьяльм,"Амулет в машину ""Шлем ужаса - Эгисхьяльм"".",Шлем ужаса / Эгисхьяльм,norse_runic,OU08|OU03|OU04,RETURNED_CURRENT_CARDS_LIST,,45,wood,12,acrylic,360,,,,cand_aegishjalm,PROVISIONAL_STRONG_CROSS_PLATFORM_MATCH,DECISION_GRADE,CATEGORY_ANALOG_AVAILABLE;DIRECT_WB_BUYER_TEXT_NOT_MEASURED,WB_FULL_SALES_NOT_MEASURED,No stable cross-platform product_master_id assigned; candidate pairing is not a merge.
