schema_version,marketplace,marketplace_product_id,marketplace_sku,metric_name,metric_value,metric_unit,period_start,period_end,snapshot_at,metric_status,evidence_mode,raw_ref,notes
1.0,ozon,1119965443,1636048691,ordered_units,385,units,2026-05-13,2026-08-10,2026-08-11,MEASURED,OBSERVED,marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json,Печать Велеса
1.0,ozon,1119965443,1636048691,revenue,653271,RUB,2026-05-13,2026-08-10,2026-08-11,MEASURED,OBSERVED,marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json,Revenue is not margin/profit
1.0,ozon,1119957837,1636041142,ordered_units,48,units,2026-05-13,2026-08-10,2026-08-11,MEASURED,OBSERVED,marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json,Велес
1.0,ozon,1119957837,1636041142,revenue,80317,RUB,2026-05-13,2026-08-10,2026-08-11,MEASURED,OBSERVED,marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json,Revenue is not margin/profit
1.0,ozon,1124658338,1640251697,ordered_units,84,units,2026-05-13,2026-08-10,2026-08-11,MEASURED,OBSERVED,marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json,Алатырь
1.0,ozon,1124658338,1640251697,revenue,143243,RUB,2026-05-13,2026-08-10,2026-08-11,MEASURED,OBSERVED,marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json,Revenue is not margin/profit
1.0,ozon,1082862005,1602722942,ordered_units,84,units,2026-05-13,2026-08-10,2026-08-11,MEASURED,OBSERVED,marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json,Вегвизир
1.0,ozon,1082862005,1602722942,revenue,142643,RUB,2026-05-13,2026-08-10,2026-08-11,MEASURED,OBSERVED,marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json,Revenue is not margin/profit
1.0,ozon,1082855228,1602717077,ordered_units,22,units,2026-05-13,2026-08-10,2026-08-11,MEASURED,OBSERVED,marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json,Шлем ужаса / Эгисхьяльм
1.0,ozon,1082855228,1602717077,revenue,37800,RUB,2026-05-13,2026-08-10,2026-08-11,MEASURED,OBSERVED,marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json,Revenue is not margin/profit
1.0,ozon,1082852354,1602715556,ordered_units,19,units,2026-05-13,2026-08-10,2026-08-11,MEASURED,OBSERVED,marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json,Tier B automotive contrast: Бусидо
1.0,ozon,1082852354,1602715556,revenue,32800,RUB,2026-05-13,2026-08-10,2026-08-11,MEASURED,OBSERVED,marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json,Revenue is not margin/profit
1.0,ozon,1217137863,1720148880,ordered_units,32,units,2026-05-13,2026-08-10,2026-08-11,MEASURED,OBSERVED,marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json,Tier C zodiac classic representative: Овен
1.0,ozon,1217137863,1720148880,revenue,54412,RUB,2026-05-13,2026-08-10,2026-08-11,MEASURED,OBSERVED,marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json,Revenue is not margin/profit
1.0,ozon,1835050645,2186857668,ordered_units,26,units,2026-05-13,2026-08-10,2026-08-11,MEASURED,OBSERVED,marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json,Tier C zodiac antique representative: Лев
1.0,ozon,1835050645,2186857668,revenue,44600,RUB,2026-05-13,2026-08-10,2026-08-11,MEASURED,OBSERVED,marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json,Revenue is not margin/profit
1.0,ozon,1948032144,2271210394,ordered_units,30,units,2026-05-13,2026-08-10,2026-08-11,MEASURED,OBSERVED,marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json,Tier C zodiac symbols representative: Близнецы
1.0,ozon,1948032144,2271210394,revenue,52000,RUB,2026-05-13,2026-08-10,2026-08-11,MEASURED,OBSERVED,marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json,Revenue is not margin/profit
