snapshot_date,platform,platform_product_id,platform_sku,offer_id,listing_name,ordered_units_90d,revenue_90d,primary_opportunity_id,secondary_opportunity_ids,mapping_status,mapping_basis,raw_stock_ref,raw_analytics_ref,notes
2026-08-11,ozon,1119965443,1636048691,Печать Велеса,"Славянский оберег - Подвеска на зеркало в машину ""Печать Велеса""",385,653271,OU02,"OU01;OU03;OU04",PROVISIONAL_HIGH,"exact named symbol + automotive pendant listing","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","OU03 remains buyer-job provisional until own buyer evidence is joined"
2026-08-11,ozon,1082862005,1602722942,Вегвизир - Рунический компас,"Амулет - Подвеска на зеркало в машину ""Вегвизир - Рунический компас"".",84,142643,OU07,OU04,PROVISIONAL_HIGH,"exact Vegvisir + automotive pendant form","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","Do not infer historical claims from listing title"
2026-08-11,ozon,1124658338,1640251697,Алатырь (Крест Сварога),"Славянский оберег - Подвеска на зеркало в машину ""Алатырь (Крест Сварога)""",84,143243,OU05,"OU01;OU03;OU04",PROVISIONAL_HIGH,"exact Alatyr + Slavic + automotive pendant listing","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","OU03 requires buyer-use confirmation"
2026-08-11,ozon,2324003802,2559437928,Чур,"Славянский оберег - Подвеска на зеркало в машину ""Чур""",77,131588,OU01,"OU03;OU04",PROVISIONAL_MEDIUM,"Slavic symbol + automotive pendant listing","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","No separate measured named-symbol opportunity"
2026-08-11,ozon,1124733734,1640326205,Колядник,"Славянский оберег - Подвеска на зеркало в машину ""Колядник""",67,114943,OU01,"OU03;OU04",PROVISIONAL_MEDIUM,"Slavic symbol + automotive pendant listing","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","No separate measured named-symbol opportunity"
2026-08-11,ozon,1119957837,1636041142,Велес,"Славянский оберег - Подвеска на зеркало в машину ""Велес""",48,80317,OU06,"OU01;OU03;OU04",PROVISIONAL_HIGH,"exact broader Veles symbol + automotive pendant listing","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","Important evidence that OU06 is not only OU02 naming"
2026-08-11,ozon,1831102037,2183921966,Сварог,"Славянский оберег - Подвеска на зеркало в машину ""Сварог""",34,57443,OU01,"OU03;OU04",PROVISIONAL_MEDIUM,"Slavic symbol + automotive pendant listing","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","No separate measured named-symbol opportunity"
2026-08-11,ozon,2324384021,2559748332,Герб России,"Талисман - Подвеска на зеркало в машину ""Герб России"".",33,55900,OU04,,PROVISIONAL_HIGH,"automotive mirror-pendant form only","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","Outside named-symbol opportunity set"
2026-08-11,ozon,1217137863,1720148880,"Знак зодиака ""Овен""","Талисман - Подвеска на зеркало в машину. Знак зодиака ""Овен"". Оберег.",32,54412,OU04,OU09_REOPEN_EVIDENCE,PROVISIONAL_HIGH,"automotive pendant + zodiac family evidence","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","OU09 remains REJECT_AS_PRIMARY pending buyer/product analysis"
2026-08-11,ozon,1831506538,2184234912,Звезда Лады,"Славянский оберег - Подвеска на зеркало в машину ""Звезда Лады""",30,50600,OU01,"OU03;OU04",PROVISIONAL_MEDIUM,"Slavic symbol + automotive pendant listing","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","No separate measured named-symbol opportunity"
2026-08-11,ozon,1948032144,2271210394,"Знак зодиака ""Близнецы"" (Символы)","Талисман - Подвеска на зеркало в машину. Знак зодиака ""Близнецы"". Оберег.",30,52000,OU04,OU09_REOPEN_EVIDENCE,PROVISIONAL_HIGH,"automotive pendant + zodiac variant-family evidence","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","Distinct Symbols variant proves family depth but not search fit"
2026-08-11,ozon,1124755617,1640330072,Громовик,"Славянский оберег - Подвеска на зеркало в машину ""Громовик""",29,48488,OU01,"OU03;OU04",PROVISIONAL_MEDIUM,"Slavic symbol + automotive pendant listing","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","No separate measured named-symbol opportunity"
2026-08-11,ozon,1831464047,2184199958,Мара,"Славянский оберег - Подвеска на зеркало в машину ""Мара""",28,47400,OU01,"OU03;OU04",PROVISIONAL_MEDIUM,"Slavic symbol + automotive pendant listing","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","No separate measured named-symbol opportunity"
2026-08-11,ozon,1835050645,2186857668,"Знак зодиака ""Лев"" (Античность)","Талисман - Подвеска на зеркало в машину. Знак зодиака ""Лев"". Оберег.",26,44600,OU04,OU09_REOPEN_EVIDENCE,PROVISIONAL_HIGH,"automotive pendant + zodiac Antique variant-family evidence","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","OU09 remains REJECT_AS_PRIMARY"
2026-08-11,ozon,1082855228,1602717077,"Шлем ужаса - Эгисхьяльм","Амулет - Подвеска на зеркало в машину ""Шлем ужаса - Эгисхьяльм"".",22,37800,OU08,OU04,PROVISIONAL_HIGH,"exact Ægishjálmur + automotive pendant form","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","Confirms current sellable-stock family evidence at snapshot date"
2026-08-11,ozon,2020661872,2326866320,Спаси и Сохрани,"Православный Оберег в машину. ""Спаси и Сохрани""",22,36588,OU03,OU04,PROVISIONAL_MEDIUM,"explicit protective automotive positioning","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","Outside Slavic/Norse named-symbol opportunities"
2026-08-11,ozon,1124725450,1640306007,Молвинец,"Славянский оберег - Подвеска на зеркало в машину ""Молвинец""",21,35500,OU01,"OU03;OU04",PROVISIONAL_MEDIUM,"Slavic symbol + automotive pendant listing","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","No separate measured named-symbol opportunity"
2026-08-11,ozon,1831181558,2183985513,Перун,"Славянский оберег - Подвеска на зеркало в машину ""Перун""",20,34900,OU01,"OU03;OU04",PROVISIONAL_MEDIUM,"Slavic symbol + automotive pendant listing","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","No separate measured named-symbol opportunity"
2026-08-11,ozon,1082852354,1602715556,"Бусидо - Путь Воина","Талисман - Подвеска на зеркало в машину ""Бусидо - Путь Воина"". Оберег.",19,32800,OU04,,PROVISIONAL_HIGH,"automotive pendant form only","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","Outside measured named-symbol opportunity set"
2026-08-11,ozon,1106060257,1623753672,Древо Жизни,"Амулет - Подвеска на зеркало в машину ""Древо Жизни""",19,32100,OU04,,PROVISIONAL_HIGH,"automotive pendant form only","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","Symbol topic outside current measured opportunity set"
2026-08-11,ozon,1124673031,1640264403,Триглав,"Славянский оберег - Подвеска на зеркало в машину ""Триглав""",17,28886,OU01,"OU03;OU04",PROVISIONAL_MEDIUM,"Slavic symbol + automotive pendant listing","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","No separate measured named-symbol opportunity"
2026-08-11,ozon,1092556350,1611643847,"Гунгнир (Gungner) - Копьё Одина","Амулет - Подвеска на зеркало в машину ""Гунгнир (Gungner)"" - Копьё Одина.",15,25700,OU04,,PROVISIONAL_HIGH,"automotive pendant form; Norse symbol outside current OU07/OU08 scope","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","Do not create broad Norse opportunity from SKU existence alone"
2026-08-11,ozon,1124691132,1640276582,Ратиборец,"Славянский оберег - Подвеска на зеркало в машину ""Ратиборец""",10,16086,OU01,"OU03;OU04",PROVISIONAL_MEDIUM,"Slavic symbol + automotive pendant listing","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","No separate measured named-symbol opportunity"
2026-08-11,ozon,1092558299,1611695246,"Валькнут (Valknut) - Узел павших","Амулет - Подвеска на зеркало в машину ""Валькнут (Valknut)"" - Узел павших.",7,11874,OU04,,PROVISIONAL_HIGH,"automotive pendant form; Norse symbol outside current OU07/OU08 scope","marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json","marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json","Do not create broad Norse opportunity from SKU existence alone"
