schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260804_0ec6b952,o_wordstat_20260804_0ec6b952_summary_0001,WORDSTAT,OBSERVED,wordstat_summary,q_a7bcbc7f088c,оберег печать велеса,q_a7bcbc7f088c,оберег печать велеса,2026-08-04,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260804__wordstat__gettop__obereg-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=e8663431-b1ae-4f2d-a7a9-2983c65bb7a6,VALID,getTop,198,MEASURED,,NOT_APPLICABLE,SUMMARY,,GetTop totalCount; child counts overlap and are not summed.
1.1,m_wordstat_20260804_0ec6b952,o_wordstat_20260804_0ec6b952_phrase_0002,WORDSTAT,OBSERVED,wordstat_phrase,q_a7bcbc7f088c,оберег печать велеса,q_a7bcbc7f088c,оберег печать велеса,2026-08-04,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260804__wordstat__gettop__obereg-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=e8663431-b1ae-4f2d-a7a9-2983c65bb7a6,VALID,getTop,,NOT_APPLICABLE,198,MEASURED,RESULT,1,
1.1,m_wordstat_20260804_0ec6b952,o_wordstat_20260804_0ec6b952_phrase_0003,WORDSTAT,OBSERVED,wordstat_phrase,q_a7bcbc7f088c,оберег печать велеса,q_7523fc448046,оберег печать велеса значение,2026-08-04,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260804__wordstat__gettop__obereg-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=e8663431-b1ae-4f2d-a7a9-2983c65bb7a6,VALID,getTop,,NOT_APPLICABLE,44,MEASURED,RESULT,2,
1.1,m_wordstat_20260804_0ec6b952,o_wordstat_20260804_0ec6b952_phrase_0004,WORDSTAT,OBSERVED,wordstat_phrase,q_a7bcbc7f088c,оберег печать велеса,q_7b51a9730f08,славянский оберег печать велеса,2026-08-04,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260804__wordstat__gettop__obereg-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=e8663431-b1ae-4f2d-a7a9-2983c65bb7a6,VALID,getTop,,NOT_APPLICABLE,42,MEASURED,RESULT,3,
1.1,m_wordstat_20260804_0ec6b952,o_wordstat_20260804_0ec6b952_phrase_0005,WORDSTAT,OBSERVED,wordstat_phrase,q_a7bcbc7f088c,оберег печать велеса,q_87581bea5f2a,оберег печать велеса медвежья,2026-08-04,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260804__wordstat__gettop__obereg-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=e8663431-b1ae-4f2d-a7a9-2983c65bb7a6,VALID,getTop,,NOT_APPLICABLE,16,MEASURED,RESULT,4,
1.1,m_wordstat_20260804_0ec6b952,o_wordstat_20260804_0ec6b952_phrase_0006,WORDSTAT,OBSERVED,wordstat_phrase,q_a7bcbc7f088c,оберег печать велеса,q_0170a725c9c7,оберег печать велеса медвежья лапа,2026-08-04,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260804__wordstat__gettop__obereg-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=e8663431-b1ae-4f2d-a7a9-2983c65bb7a6,VALID,getTop,,NOT_APPLICABLE,16,MEASURED,RESULT,5,
1.1,m_wordstat_20260804_0ec6b952,o_wordstat_20260804_0ec6b952_phrase_0007,WORDSTAT,OBSERVED,wordstat_phrase,q_a7bcbc7f088c,оберег печать велеса,q_a04b940c0d9a,славянский оберег печать велеса значение,2026-08-04,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260804__wordstat__gettop__obereg-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=e8663431-b1ae-4f2d-a7a9-2983c65bb7a6,VALID,getTop,,NOT_APPLICABLE,16,MEASURED,RESULT,6,
1.1,m_wordstat_20260804_0ec6b952,o_wordstat_20260804_0ec6b952_phrase_0008,WORDSTAT,OBSERVED,wordstat_phrase,q_a7bcbc7f088c,оберег печать велеса,q_26260b28732e,оберег печать велеса значение для мужчины,2026-08-04,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260804__wordstat__gettop__obereg-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=e8663431-b1ae-4f2d-a7a9-2983c65bb7a6,VALID,getTop,,NOT_APPLICABLE,13,MEASURED,RESULT,7,
1.1,m_wordstat_20260804_0ec6b952,o_wordstat_20260804_0ec6b952_phrase_0009,WORDSTAT,OBSERVED,wordstat_phrase,q_a7bcbc7f088c,оберег печать велеса,q_4e3df186efb3,печать велеса что означает оберег,2026-08-04,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260804__wordstat__gettop__obereg-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=e8663431-b1ae-4f2d-a7a9-2983c65bb7a6,VALID,getTop,,NOT_APPLICABLE,12,MEASURED,RESULT,8,
1.1,m_wordstat_20260804_0ec6b952,o_wordstat_20260804_0ec6b952_phrase_0010,WORDSTAT,OBSERVED,wordstat_phrase,q_a7bcbc7f088c,оберег печать велеса,q_8931b3a01695,оберег печать велеса большой размер на стену,2026-08-04,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260804__wordstat__gettop__obereg-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=e8663431-b1ae-4f2d-a7a9-2983c65bb7a6,VALID,getTop,,NOT_APPLICABLE,6,MEASURED,RESULT,9,
1.1,m_wordstat_20260804_0ec6b952,o_wordstat_20260804_0ec6b952_phrase_0011,WORDSTAT,OBSERVED,wordstat_phrase,q_a7bcbc7f088c,оберег печать велеса,q_7c264e8e3d27,славянский оберег для мужчин печать велеса,2026-08-04,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260804__wordstat__gettop__obereg-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=e8663431-b1ae-4f2d-a7a9-2983c65bb7a6,VALID,getTop,,NOT_APPLICABLE,6,MEASURED,RESULT,10,
1.1,m_wordstat_20260804_0ec6b952,o_wordstat_20260804_0ec6b952_phrase_0012,WORDSTAT,OBSERVED,wordstat_phrase,q_a7bcbc7f088c,оберег печать велеса,q_46e48a753944,подвеска оберег печать велеса,2026-08-04,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260804__wordstat__gettop__obereg-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=e8663431-b1ae-4f2d-a7a9-2983c65bb7a6,VALID,getTop,,NOT_APPLICABLE,5,MEASURED,RESULT,11,
1.1,m_wordstat_20260804_0ec6b952,o_wordstat_20260804_0ec6b952_phrase_0013,WORDSTAT,OBSERVED,wordstat_phrase,q_a7bcbc7f088c,оберег печать велеса,q_b6303a780bd0,оберег печать велеса медвежья лапа ярмарка мастеров,2026-08-04,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260804__wordstat__gettop__obereg-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=e8663431-b1ae-4f2d-a7a9-2983c65bb7a6,VALID,getTop,,NOT_APPLICABLE,5,MEASURED,RESULT,12,
1.1,m_wordstat_20260804_0ec6b952,o_wordstat_20260804_0ec6b952_phrase_0014,WORDSTAT,OBSERVED,wordstat_phrase,q_a7bcbc7f088c,оберег печать велеса,q_6f53fba37c3e,заговор на оберег печать велеса,2026-08-04,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260804__wordstat__gettop__obereg-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=e8663431-b1ae-4f2d-a7a9-2983c65bb7a6,VALID,getTop,,NOT_APPLICABLE,5,MEASURED,RESULT,13,
1.1,m_wordstat_20260804_0ec6b952,o_wordstat_20260804_0ec6b952_phrase_0015,WORDSTAT,OBSERVED,wordstat_phrase,q_a7bcbc7f088c,оберег печать велеса,q_628e8ea7df26,чери амулет 2007,2026-08-04,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260804__wordstat__gettop__obereg-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=e8663431-b1ae-4f2d-a7a9-2983c65bb7a6,VALID,getTop,,NOT_APPLICABLE,1557,MEASURED,ASSOCIATION,1,"Association is lexical/similarity evidence, not a child result and not automatically relevant."
1.1,m_wordstat_20260804_0ec6b952,o_wordstat_20260804_0ec6b952_phrase_0016,WORDSTAT,OBSERVED,wordstat_phrase,q_a7bcbc7f088c,оберег печать велеса,q_7fd12edc782e,амулет мары,2026-08-04,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260804__wordstat__gettop__obereg-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=e8663431-b1ae-4f2d-a7a9-2983c65bb7a6,VALID,getTop,,NOT_APPLICABLE,1035,MEASURED,ASSOCIATION,2,"Association is lexical/similarity evidence, not a child result and not automatically relevant."
