schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260805_60f98dd1,o_wordstat_20260805_60f98dd1_summary_0001,WORDSTAT,OBSERVED,wordstat_summary,q_16798cf404fd,оберег в машину,q_16798cf404fd,оберег в машину,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__obereg-v-mashinu__225__all.json,wordstat-manual-bridge request_id=84cfa539-de89-414b-8c2b-bc4542b2605d,VALID,getTop,1388,MEASURED,,NOT_APPLICABLE,SUMMARY,,GetTop totalCount; child counts overlap and are not summed.
1.1,m_wordstat_20260805_60f98dd1,o_wordstat_20260805_60f98dd1_phrase_0002,WORDSTAT,OBSERVED,wordstat_phrase,q_16798cf404fd,оберег в машину,q_16798cf404fd,оберег в машину,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__obereg-v-mashinu__225__all.json,wordstat-manual-bridge request_id=84cfa539-de89-414b-8c2b-bc4542b2605d,VALID,getTop,,NOT_APPLICABLE,1388,MEASURED,RESULT,1,
1.1,m_wordstat_20260805_60f98dd1,o_wordstat_20260805_60f98dd1_phrase_0003,WORDSTAT,OBSERVED,wordstat_phrase,q_16798cf404fd,оберег в машину,q_300c83f25c2b,оберег от сглаза в машину,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__obereg-v-mashinu__225__all.json,wordstat-manual-bridge request_id=84cfa539-de89-414b-8c2b-bc4542b2605d,VALID,getTop,,NOT_APPLICABLE,122,MEASURED,RESULT,2,
1.1,m_wordstat_20260805_60f98dd1,o_wordstat_20260805_60f98dd1_phrase_0004,WORDSTAT,OBSERVED,wordstat_phrase,q_16798cf404fd,оберег в машину,q_f1d7230670aa,обереги в машину купить,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__obereg-v-mashinu__225__all.json,wordstat-manual-bridge request_id=84cfa539-de89-414b-8c2b-bc4542b2605d,VALID,getTop,,NOT_APPLICABLE,121,MEASURED,RESULT,3,
1.1,m_wordstat_20260805_60f98dd1,o_wordstat_20260805_60f98dd1_phrase_0005,WORDSTAT,OBSERVED,wordstat_phrase,q_16798cf404fd,оберег в машину,q_8594505688ca,мусульманский оберег в машину,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__obereg-v-mashinu__225__all.json,wordstat-manual-bridge request_id=84cfa539-de89-414b-8c2b-bc4542b2605d,VALID,getTop,,NOT_APPLICABLE,82,MEASURED,RESULT,4,
1.1,m_wordstat_20260805_60f98dd1,o_wordstat_20260805_60f98dd1_phrase_0006,WORDSTAT,OBSERVED,wordstat_phrase,q_16798cf404fd,оберег в машину,q_f2180b885c3a,оберег в дорогу на машине,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__obereg-v-mashinu__225__all.json,wordstat-manual-bridge request_id=84cfa539-de89-414b-8c2b-bc4542b2605d,VALID,getTop,,NOT_APPLICABLE,73,MEASURED,RESULT,5,
1.1,m_wordstat_20260805_60f98dd1,o_wordstat_20260805_60f98dd1_phrase_0007,WORDSTAT,OBSERVED,wordstat_phrase,q_16798cf404fd,оберег в машину,q_dec36683e8e1,славянский оберег в машину,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__obereg-v-mashinu__225__all.json,wordstat-manual-bridge request_id=84cfa539-de89-414b-8c2b-bc4542b2605d,VALID,getTop,,NOT_APPLICABLE,72,MEASURED,RESULT,6,
1.1,m_wordstat_20260805_60f98dd1,o_wordstat_20260805_60f98dd1_phrase_0008,WORDSTAT,OBSERVED,wordstat_phrase,q_16798cf404fd,оберег в машину,q_c85f12067fe5,оберег в машину от аварий,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__obereg-v-mashinu__225__all.json,wordstat-manual-bridge request_id=84cfa539-de89-414b-8c2b-bc4542b2605d,VALID,getTop,,NOT_APPLICABLE,69,MEASURED,RESULT,7,
1.1,m_wordstat_20260805_60f98dd1,o_wordstat_20260805_60f98dd1_phrase_0009,WORDSTAT,OBSERVED,wordstat_phrase,q_16798cf404fd,оберег в машину,q_28c44f7a8024,молитва оберег в машину,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__obereg-v-mashinu__225__all.json,wordstat-manual-bridge request_id=84cfa539-de89-414b-8c2b-bc4542b2605d,VALID,getTop,,NOT_APPLICABLE,69,MEASURED,RESULT,8,
1.1,m_wordstat_20260805_60f98dd1,o_wordstat_20260805_60f98dd1_phrase_0010,WORDSTAT,OBSERVED,wordstat_phrase,q_16798cf404fd,оберег в машину,q_f06350a1c24a,подвеска оберег в машину,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__obereg-v-mashinu__225__all.json,wordstat-manual-bridge request_id=84cfa539-de89-414b-8c2b-bc4542b2605d,VALID,getTop,,NOT_APPLICABLE,65,MEASURED,RESULT,9,
