schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260805_946e9aeb,o_wordstat_20260805_946e9aeb_summary_0001,WORDSTAT,OBSERVED,wordstat_summary,q_b3389c7563b6,печать велеса медвежья лапа,q_b3389c7563b6,печать велеса медвежья лапа,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-medvezhya-lapa__225__all.json,wordstat-manual-bridge request_id=4b0675b0-af79-4c4e-9b95-14673f69c05e,VALID,getTop,343,MEASURED,,NOT_APPLICABLE,SUMMARY,,GetTop totalCount; child counts overlap and are not summed.
1.1,m_wordstat_20260805_946e9aeb,o_wordstat_20260805_946e9aeb_phrase_0002,WORDSTAT,OBSERVED,wordstat_phrase,q_b3389c7563b6,печать велеса медвежья лапа,q_b3389c7563b6,печать велеса медвежья лапа,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-medvezhya-lapa__225__all.json,wordstat-manual-bridge request_id=4b0675b0-af79-4c4e-9b95-14673f69c05e,VALID,getTop,,NOT_APPLICABLE,343,MEASURED,RESULT,1,
1.1,m_wordstat_20260805_946e9aeb,o_wordstat_20260805_946e9aeb_phrase_0003,WORDSTAT,OBSERVED,wordstat_phrase,q_b3389c7563b6,печать велеса медвежья лапа,q_a0f7d82b1e60,печать велеса медвежья лапа значение,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-medvezhya-lapa__225__all.json,wordstat-manual-bridge request_id=4b0675b0-af79-4c4e-9b95-14673f69c05e,VALID,getTop,,NOT_APPLICABLE,147,MEASURED,RESULT,2,
1.1,m_wordstat_20260805_946e9aeb,o_wordstat_20260805_946e9aeb_phrase_0004,WORDSTAT,OBSERVED,wordstat_phrase,q_b3389c7563b6,печать велеса медвежья лапа,q_a75aaae4c5e4,печать велеса медвежья лапа значение для мужчин,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-medvezhya-lapa__225__all.json,wordstat-manual-bridge request_id=4b0675b0-af79-4c4e-9b95-14673f69c05e,VALID,getTop,,NOT_APPLICABLE,34,MEASURED,RESULT,3,
1.1,m_wordstat_20260805_946e9aeb,o_wordstat_20260805_946e9aeb_phrase_0005,WORDSTAT,OBSERVED,wordstat_phrase,q_b3389c7563b6,печать велеса медвежья лапа,q_6adbf5d96d8b,тату печать велеса медвежья лапа,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-medvezhya-lapa__225__all.json,wordstat-manual-bridge request_id=4b0675b0-af79-4c4e-9b95-14673f69c05e,VALID,getTop,,NOT_APPLICABLE,28,MEASURED,RESULT,4,
1.1,m_wordstat_20260805_946e9aeb,o_wordstat_20260805_946e9aeb_phrase_0006,WORDSTAT,OBSERVED,wordstat_phrase,q_b3389c7563b6,печать велеса медвежья лапа,q_bc48b85cded0,печать велеса медвежья лапа купить,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-medvezhya-lapa__225__all.json,wordstat-manual-bridge request_id=4b0675b0-af79-4c4e-9b95-14673f69c05e,VALID,getTop,,NOT_APPLICABLE,23,MEASURED,RESULT,5,
1.1,m_wordstat_20260805_946e9aeb,o_wordstat_20260805_946e9aeb_phrase_0007,WORDSTAT,OBSERVED,wordstat_phrase,q_b3389c7563b6,печать велеса медвежья лапа,q_00dd0a98ca03,печать велеса медвежья лапа серебро купить,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-medvezhya-lapa__225__all.json,wordstat-manual-bridge request_id=4b0675b0-af79-4c4e-9b95-14673f69c05e,VALID,getTop,,NOT_APPLICABLE,17,MEASURED,RESULT,6,
1.1,m_wordstat_20260805_946e9aeb,o_wordstat_20260805_946e9aeb_phrase_0008,WORDSTAT,OBSERVED,wordstat_phrase,q_b3389c7563b6,печать велеса медвежья лапа,q_0170a725c9c7,оберег печать велеса медвежья лапа,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-medvezhya-lapa__225__all.json,wordstat-manual-bridge request_id=4b0675b0-af79-4c4e-9b95-14673f69c05e,VALID,getTop,,NOT_APPLICABLE,16,MEASURED,RESULT,7,
1.1,m_wordstat_20260805_946e9aeb,o_wordstat_20260805_946e9aeb_phrase_0009,WORDSTAT,OBSERVED,wordstat_phrase,q_b3389c7563b6,печать велеса медвежья лапа,q_8f57800ad971,печать велеса медвежья лапа что означает,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-medvezhya-lapa__225__all.json,wordstat-manual-bridge request_id=4b0675b0-af79-4c4e-9b95-14673f69c05e,VALID,getTop,,NOT_APPLICABLE,9,MEASURED,RESULT,8,
1.1,m_wordstat_20260805_946e9aeb,o_wordstat_20260805_946e9aeb_phrase_0010,WORDSTAT,OBSERVED,wordstat_phrase,q_b3389c7563b6,печать велеса медвежья лапа,q_e05f459d879b,печать велеса медвежья лапа тату эскиз,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-medvezhya-lapa__225__all.json,wordstat-manual-bridge request_id=4b0675b0-af79-4c4e-9b95-14673f69c05e,VALID,getTop,,NOT_APPLICABLE,8,MEASURED,RESULT,9,
1.1,m_wordstat_20260805_946e9aeb,o_wordstat_20260805_946e9aeb_phrase_0011,WORDSTAT,OBSERVED,wordstat_phrase,q_b3389c7563b6,печать велеса медвежья лапа,q_b6303a780bd0,оберег печать велеса медвежья лапа ярмарка мастеров,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-medvezhya-lapa__225__all.json,wordstat-manual-bridge request_id=4b0675b0-af79-4c4e-9b95-14673f69c05e,VALID,getTop,,NOT_APPLICABLE,5,MEASURED,RESULT,10,
1.1,m_wordstat_20260805_946e9aeb,o_wordstat_20260805_946e9aeb_phrase_0012,WORDSTAT,OBSERVED,wordstat_phrase,q_b3389c7563b6,печать велеса медвежья лапа,q_cc1934a20c1a,договор купли продажи прицепа 2026 бланк распечатать,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-medvezhya-lapa__225__all.json,wordstat-manual-bridge request_id=4b0675b0-af79-4c4e-9b95-14673f69c05e,VALID,getTop,,NOT_APPLICABLE,605,MEASURED,ASSOCIATION,1,"Association is lexical/similarity evidence, not a child result and not automatically relevant."
1.1,m_wordstat_20260805_946e9aeb,o_wordstat_20260805_946e9aeb_phrase_0013,WORDSTAT,OBSERVED,wordstat_phrase,q_b3389c7563b6,печать велеса медвежья лапа,q_4c0a6664ca74,неистовый зверь мой повелитель текст,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-medvezhya-lapa__225__all.json,wordstat-manual-bridge request_id=4b0675b0-af79-4c4e-9b95-14673f69c05e,VALID,getTop,,NOT_APPLICABLE,214,MEASURED,ASSOCIATION,2,"Association is lexical/similarity evidence, not a child result and not automatically relevant."
1.1,m_wordstat_20260805_946e9aeb,o_wordstat_20260805_946e9aeb_phrase_0014,WORDSTAT,OBSERVED,wordstat_phrase,q_b3389c7563b6,печать велеса медвежья лапа,q_55fb42399754,мила гейм аватар ворлд новые секреты,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-medvezhya-lapa__225__all.json,wordstat-manual-bridge request_id=4b0675b0-af79-4c4e-9b95-14673f69c05e,VALID,getTop,,NOT_APPLICABLE,2084,MEASURED,ASSOCIATION,3,"Association is lexical/similarity evidence, not a child result and not automatically relevant."
1.1,m_wordstat_20260805_946e9aeb,o_wordstat_20260805_946e9aeb_phrase_0015,WORDSTAT,OBSERVED,wordstat_phrase,q_b3389c7563b6,печать велеса медвежья лапа,q_0550d82ea47b,стардью валли имбирный остров,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-medvezhya-lapa__225__all.json,wordstat-manual-bridge request_id=4b0675b0-af79-4c4e-9b95-14673f69c05e,VALID,getTop,,NOT_APPLICABLE,1947,MEASURED,ASSOCIATION,4,"Association is lexical/similarity evidence, not a child result and not automatically relevant."
1.1,m_wordstat_20260805_946e9aeb,o_wordstat_20260805_946e9aeb_phrase_0016,WORDSTAT,OBSERVED,wordstat_phrase,q_b3389c7563b6,печать велеса медвежья лапа,q_cc146f24891d,узор гусиные лапки,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-medvezhya-lapa__225__all.json,wordstat-manual-bridge request_id=4b0675b0-af79-4c4e-9b95-14673f69c05e,VALID,getTop,,NOT_APPLICABLE,1090,MEASURED,ASSOCIATION,5,"Association is lexical/similarity evidence, not a child result and not automatically relevant."
1.1,m_wordstat_20260805_946e9aeb,o_wordstat_20260805_946e9aeb_phrase_0017,WORDSTAT,OBSERVED,wordstat_phrase,q_b3389c7563b6,печать велеса медвежья лапа,q_050313053322,салат гнездо глухаря рецепт от ивлева константина,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-medvezhya-lapa__225__all.json,wordstat-manual-bridge request_id=4b0675b0-af79-4c4e-9b95-14673f69c05e,VALID,getTop,,NOT_APPLICABLE,98,MEASURED,ASSOCIATION,6,"Association is lexical/similarity evidence, not a child result and not automatically relevant."
1.1,m_wordstat_20260805_946e9aeb,o_wordstat_20260805_946e9aeb_phrase_0018,WORDSTAT,OBSERVED,wordstat_phrase,q_b3389c7563b6,печать велеса медвежья лапа,q_e9d9802e344c,мила гейм новые серии в аватар ворлд,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-medvezhya-lapa__225__all.json,wordstat-manual-bridge request_id=4b0675b0-af79-4c4e-9b95-14673f69c05e,VALID,getTop,,NOT_APPLICABLE,682,MEASURED,ASSOCIATION,7,"Association is lexical/similarity evidence, not a child result and not automatically relevant."
