schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260805_8799de8a,o_wordstat_20260805_8799de8a_summary_0001,WORDSTAT,OBSERVED,wordstat_summary,q_31806ca53d61,печать велеса волчья лапа,q_31806ca53d61,печать велеса волчья лапа,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-volchya-lapa__225__all.json,wordstat-manual-bridge request_id=4497f53b-b7f2-42a8-a2bc-49cd14e7486d,VALID,getTop,129,MEASURED,,NOT_APPLICABLE,SUMMARY,,GetTop totalCount; child counts overlap and are not summed.
1.1,m_wordstat_20260805_8799de8a,o_wordstat_20260805_8799de8a_phrase_0002,WORDSTAT,OBSERVED,wordstat_phrase,q_31806ca53d61,печать велеса волчья лапа,q_31806ca53d61,печать велеса волчья лапа,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-volchya-lapa__225__all.json,wordstat-manual-bridge request_id=4497f53b-b7f2-42a8-a2bc-49cd14e7486d,VALID,getTop,,NOT_APPLICABLE,129,MEASURED,RESULT,1,
1.1,m_wordstat_20260805_8799de8a,o_wordstat_20260805_8799de8a_phrase_0003,WORDSTAT,OBSERVED,wordstat_phrase,q_31806ca53d61,печать велеса волчья лапа,q_6c4fa52bc301,печать велеса волчья лапа значение,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-volchya-lapa__225__all.json,wordstat-manual-bridge request_id=4497f53b-b7f2-42a8-a2bc-49cd14e7486d,VALID,getTop,,NOT_APPLICABLE,58,MEASURED,RESULT,2,
1.1,m_wordstat_20260805_8799de8a,o_wordstat_20260805_8799de8a_phrase_0004,WORDSTAT,OBSERVED,wordstat_phrase,q_31806ca53d61,печать велеса волчья лапа,q_9b2e1235befe,печать велеса волчья лапа значение для мужчин,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-volchya-lapa__225__all.json,wordstat-manual-bridge request_id=4497f53b-b7f2-42a8-a2bc-49cd14e7486d,VALID,getTop,,NOT_APPLICABLE,30,MEASURED,RESULT,3,
1.1,m_wordstat_20260805_8799de8a,o_wordstat_20260805_8799de8a_phrase_0005,WORDSTAT,OBSERVED,wordstat_phrase,q_31806ca53d61,печать велеса волчья лапа,q_ad764d72adf0,печать велеса волчья лапа значение для женщин,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-volchya-lapa__225__all.json,wordstat-manual-bridge request_id=4497f53b-b7f2-42a8-a2bc-49cd14e7486d,VALID,getTop,,NOT_APPLICABLE,12,MEASURED,RESULT,4,
1.1,m_wordstat_20260805_8799de8a,o_wordstat_20260805_8799de8a_phrase_0006,WORDSTAT,OBSERVED,wordstat_phrase,q_31806ca53d61,печать велеса волчья лапа,q_2b197fa5080b,печать велеса волчья лапа тату,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-volchya-lapa__225__all.json,wordstat-manual-bridge request_id=4497f53b-b7f2-42a8-a2bc-49cd14e7486d,VALID,getTop,,NOT_APPLICABLE,4,MEASURED,RESULT,5,
1.1,m_wordstat_20260805_8799de8a,o_wordstat_20260805_8799de8a_phrase_0007,WORDSTAT,OBSERVED,wordstat_phrase,q_31806ca53d61,печать велеса волчья лапа,q_f61db0f04b92,повелитель зверей эволюция наоборот,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-volchya-lapa__225__all.json,wordstat-manual-bridge request_id=4497f53b-b7f2-42a8-a2bc-49cd14e7486d,VALID,getTop,,NOT_APPLICABLE,2660,MEASURED,ASSOCIATION,1,Association is lexical/similarity evidence and not automatically relevant demand.
1.1,m_wordstat_20260805_8799de8a,o_wordstat_20260805_8799de8a_phrase_0008,WORDSTAT,OBSERVED,wordstat_phrase,q_31806ca53d61,печать велеса волчья лапа,q_cc1934a20c1a,договор купли продажи прицепа 2026 бланк распечатать,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-volchya-lapa__225__all.json,wordstat-manual-bridge request_id=4497f53b-b7f2-42a8-a2bc-49cd14e7486d,VALID,getTop,,NOT_APPLICABLE,605,MEASURED,ASSOCIATION,2,Association is lexical/similarity evidence and not automatically relevant demand.
1.1,m_wordstat_20260805_8799de8a,o_wordstat_20260805_8799de8a_phrase_0009,WORDSTAT,OBSERVED,wordstat_phrase,q_31806ca53d61,печать велеса волчья лапа,q_d96e529d6a3f,самсон раздирающий пасть льва,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-volchya-lapa__225__all.json,wordstat-manual-bridge request_id=4497f53b-b7f2-42a8-a2bc-49cd14e7486d,VALID,getTop,,NOT_APPLICABLE,799,MEASURED,ASSOCIATION,3,Association is lexical/similarity evidence and not automatically relevant demand.
1.1,m_wordstat_20260805_8799de8a,o_wordstat_20260805_8799de8a_phrase_0010,WORDSTAT,OBSERVED,wordstat_phrase,q_31806ca53d61,печать велеса волчья лапа,q_3fb1c9a04476,кангал против волка,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-volchya-lapa__225__all.json,wordstat-manual-bridge request_id=4497f53b-b7f2-42a8-a2bc-49cd14e7486d,VALID,getTop,,NOT_APPLICABLE,273,MEASURED,ASSOCIATION,4,Association is lexical/similarity evidence and not automatically relevant demand.
