schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260805_6660bfb5,o_wordstat_20260805_6660bfb5_summary_0001,WORDSTAT,OBSERVED,wordstat_summary,q_ddc00bf51857,печать велеса значение,q_ddc00bf51857,печать велеса значение,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-znachenie__225__all.json,wordstat-manual-bridge request_id=5b73676c-555e-44f0-bced-961e694d0596,VALID,getTop,617,MEASURED,,NOT_APPLICABLE,SUMMARY,,GetTop totalCount; child counts overlap and are not summed.
1.1,m_wordstat_20260805_6660bfb5,o_wordstat_20260805_6660bfb5_phrase_0002,WORDSTAT,OBSERVED,wordstat_phrase,q_ddc00bf51857,печать велеса значение,q_ddc00bf51857,печать велеса значение,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-znachenie__225__all.json,wordstat-manual-bridge request_id=5b73676c-555e-44f0-bced-961e694d0596,VALID,getTop,,NOT_APPLICABLE,617,MEASURED,RESULT,1,
1.1,m_wordstat_20260805_6660bfb5,o_wordstat_20260805_6660bfb5_phrase_0003,WORDSTAT,OBSERVED,wordstat_phrase,q_ddc00bf51857,печать велеса значение,q_776755161109,печать велеса лапа значение,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-znachenie__225__all.json,wordstat-manual-bridge request_id=5b73676c-555e-44f0-bced-961e694d0596,VALID,getTop,,NOT_APPLICABLE,219,MEASURED,RESULT,2,
1.1,m_wordstat_20260805_6660bfb5,o_wordstat_20260805_6660bfb5_phrase_0004,WORDSTAT,OBSERVED,wordstat_phrase,q_ddc00bf51857,печать велеса значение,q_760611300dd8,печать велеса медвежья значение,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-znachenie__225__all.json,wordstat-manual-bridge request_id=5b73676c-555e-44f0-bced-961e694d0596,VALID,getTop,,NOT_APPLICABLE,156,MEASURED,RESULT,3,
1.1,m_wordstat_20260805_6660bfb5,o_wordstat_20260805_6660bfb5_phrase_0005,WORDSTAT,OBSERVED,wordstat_phrase,q_ddc00bf51857,печать велеса значение,q_9aefdb5995fc,печать велеса медвежья лапа значение,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-znachenie__225__all.json,wordstat-manual-bridge request_id=5b73676c-555e-44f0-bced-961e694d0596,VALID,getTop,,NOT_APPLICABLE,147,MEASURED,RESULT,4,
1.1,m_wordstat_20260805_6660bfb5,o_wordstat_20260805_6660bfb5_phrase_0006,WORDSTAT,OBSERVED,wordstat_phrase,q_ddc00bf51857,печать велеса значение,q_f43577306127,печать велеса значение для мужчин,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-znachenie__225__all.json,wordstat-manual-bridge request_id=5b73676c-555e-44f0-bced-961e694d0596,VALID,getTop,,NOT_APPLICABLE,137,MEASURED,RESULT,5,
1.1,m_wordstat_20260805_6660bfb5,o_wordstat_20260805_6660bfb5_phrase_0007,WORDSTAT,OBSERVED,wordstat_phrase,q_ddc00bf51857,печать велеса значение,q_82439391ae1c,печать велеса волчья значение,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-znachenie__225__all.json,wordstat-manual-bridge request_id=5b73676c-555e-44f0-bced-961e694d0596,VALID,getTop,,NOT_APPLICABLE,58,MEASURED,RESULT,6,
1.1,m_wordstat_20260805_6660bfb5,o_wordstat_20260805_6660bfb5_phrase_0008,WORDSTAT,OBSERVED,wordstat_phrase,q_ddc00bf51857,печать велеса значение,q_e7032e690e72,печать велеса волчья лапа значение,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-znachenie__225__all.json,wordstat-manual-bridge request_id=5b73676c-555e-44f0-bced-961e694d0596,VALID,getTop,,NOT_APPLICABLE,58,MEASURED,RESULT,7,
1.1,m_wordstat_20260805_6660bfb5,o_wordstat_20260805_6660bfb5_phrase_0009,WORDSTAT,OBSERVED,wordstat_phrase,q_ddc00bf51857,печать велеса значение,q_863da9abdb08,печать велеса для женщин значение,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-znachenie__225__all.json,wordstat-manual-bridge request_id=5b73676c-555e-44f0-bced-961e694d0596,VALID,getTop,,NOT_APPLICABLE,57,MEASURED,RESULT,8,
1.1,m_wordstat_20260805_6660bfb5,o_wordstat_20260805_6660bfb5_phrase_0010,WORDSTAT,OBSERVED,wordstat_phrase,q_ddc00bf51857,печать велеса значение,q_948044a74e9c,оберег печать велеса значение,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-znachenie__225__all.json,wordstat-manual-bridge request_id=5b73676c-555e-44f0-bced-961e694d0596,VALID,getTop,,NOT_APPLICABLE,44,MEASURED,RESULT,9,
1.1,m_wordstat_20260805_6660bfb5,o_wordstat_20260805_6660bfb5_phrase_0011,WORDSTAT,OBSERVED,wordstat_phrase,q_ddc00bf51857,печать велеса значение,q_44db96e61d47,печать велеса медвежья значение для мужчин,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-znachenie__225__all.json,wordstat-manual-bridge request_id=5b73676c-555e-44f0-bced-961e694d0596,VALID,getTop,,NOT_APPLICABLE,42,MEASURED,RESULT,10,
1.1,m_wordstat_20260805_6660bfb5,o_wordstat_20260805_6660bfb5_phrase_0012,WORDSTAT,OBSERVED,wordstat_phrase,q_ddc00bf51857,печать велеса значение,q_53c3916c324a,печать велеса медвежья лапа значение для мужчин,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-znachenie__225__all.json,wordstat-manual-bridge request_id=5b73676c-555e-44f0-bced-961e694d0596,VALID,getTop,,NOT_APPLICABLE,34,MEASURED,RESULT,11,
1.1,m_wordstat_20260805_6660bfb5,o_wordstat_20260805_6660bfb5_phrase_0013,WORDSTAT,OBSERVED,wordstat_phrase,q_ddc00bf51857,печать велеса значение,q_680188db4534,печать велеса волчья лапа значение для мужчин,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-znachenie__225__all.json,wordstat-manual-bridge request_id=5b73676c-555e-44f0-bced-961e694d0596,VALID,getTop,,NOT_APPLICABLE,30,MEASURED,RESULT,12,
1.1,m_wordstat_20260805_6660bfb5,o_wordstat_20260805_6660bfb5_phrase_0014,WORDSTAT,OBSERVED,wordstat_phrase,q_ddc00bf51857,печать велеса значение,q_358df55cfb0b,печать велеса тату значение,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__pechat-velesa-znachenie__225__all.json,wordstat-manual-bridge request_id=5b73676c-555e-44f0-bced-961e694d0596,VALID,getTop,,NOT_APPLICABLE,22,MEASURED,RESULT,13,
