schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260805_fce8e6bb,o_wordstat_20260805_fce8e6bb_summary_0001,WORDSTAT,OBSERVED,wordstat_summary,q_cc67e8b8507f,подвеска на зеркало в машину,q_cc67e8b8507f,подвеска на зеркало в машину,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-na-zerkalo-v-mashinu__225__all.json,wordstat-manual-bridge request_id=867c50e6-a8a3-4940-bc66-0d4e3b00d873,VALID,getTop,973,MEASURED,,NOT_APPLICABLE,SUMMARY,,GetTop totalCount; child counts overlap and are not summed. Bridge envelope reports version 1.1.1 despite extension package 1.1.5; raw preserved exactly and metadata defect tracked separately.
1.1,m_wordstat_20260805_fce8e6bb,o_wordstat_20260805_fce8e6bb_phrase_0002,WORDSTAT,OBSERVED,wordstat_phrase,q_cc67e8b8507f,подвеска на зеркало в машину,q_cc67e8b8507f,подвеска на зеркало в машину,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-na-zerkalo-v-mashinu__225__all.json,wordstat-manual-bridge request_id=867c50e6-a8a3-4940-bc66-0d4e3b00d873,VALID,getTop,,NOT_APPLICABLE,973,MEASURED,RESULT,1,
1.1,m_wordstat_20260805_fce8e6bb,o_wordstat_20260805_fce8e6bb_phrase_0003,WORDSTAT,OBSERVED,wordstat_phrase,q_cc67e8b8507f,подвеска на зеркало в машину,q_4e9f6f5b0138,подвеска в машину на зеркало заднего,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-na-zerkalo-v-mashinu__225__all.json,wordstat-manual-bridge request_id=867c50e6-a8a3-4940-bc66-0d4e3b00d873,VALID,getTop,,NOT_APPLICABLE,127,MEASURED,RESULT,2,
1.1,m_wordstat_20260805_fce8e6bb,o_wordstat_20260805_fce8e6bb_phrase_0004,WORDSTAT,OBSERVED,wordstat_phrase,q_cc67e8b8507f,подвеска на зеркало в машину,q_707e54821bd3,подвеска в машину на зеркало заднего вида,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-na-zerkalo-v-mashinu__225__all.json,wordstat-manual-bridge request_id=867c50e6-a8a3-4940-bc66-0d4e3b00d873,VALID,getTop,,NOT_APPLICABLE,127,MEASURED,RESULT,3,
1.1,m_wordstat_20260805_fce8e6bb,o_wordstat_20260805_fce8e6bb_phrase_0005,WORDSTAT,OBSERVED,wordstat_phrase,q_cc67e8b8507f,подвеска на зеркало в машину,q_12e15e2d3d7f,купить подвеску в машину на зеркало,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-na-zerkalo-v-mashinu__225__all.json,wordstat-manual-bridge request_id=867c50e6-a8a3-4940-bc66-0d4e3b00d873,VALID,getTop,,NOT_APPLICABLE,65,MEASURED,RESULT,4,
1.1,m_wordstat_20260805_fce8e6bb,o_wordstat_20260805_fce8e6bb_phrase_0006,WORDSTAT,OBSERVED,wordstat_phrase,q_cc67e8b8507f,подвеска на зеркало в машину,q_421774e9fb96,подвеска на зеркало в машину своими руками,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-na-zerkalo-v-mashinu__225__all.json,wordstat-manual-bridge request_id=867c50e6-a8a3-4940-bc66-0d4e3b00d873,VALID,getTop,,NOT_APPLICABLE,33,MEASURED,RESULT,5,
1.1,m_wordstat_20260805_fce8e6bb,o_wordstat_20260805_fce8e6bb_phrase_0007,WORDSTAT,OBSERVED,wordstat_phrase,q_cc67e8b8507f,подвеска на зеркало в машину,q_de315b675115,подвеска в машину на зеркало рак,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-na-zerkalo-v-mashinu__225__all.json,wordstat-manual-bridge request_id=867c50e6-a8a3-4940-bc66-0d4e3b00d873,VALID,getTop,,NOT_APPLICABLE,16,MEASURED,RESULT,6,
1.1,m_wordstat_20260805_fce8e6bb,o_wordstat_20260805_fce8e6bb_phrase_0008,WORDSTAT,OBSERVED,wordstat_phrase,q_cc67e8b8507f,подвеска на зеркало в машину,q_8a5bc8e869a4,подвеска в машину на зеркало с гравировкой,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-na-zerkalo-v-mashinu__225__all.json,wordstat-manual-bridge request_id=867c50e6-a8a3-4940-bc66-0d4e3b00d873,VALID,getTop,,NOT_APPLICABLE,15,MEASURED,RESULT,7,
1.1,m_wordstat_20260805_fce8e6bb,o_wordstat_20260805_fce8e6bb_phrase_0009,WORDSTAT,OBSERVED,wordstat_phrase,q_cc67e8b8507f,подвеска на зеркало в машину,q_8b8b657d74ac,подвеска на зеркало в машину кадильница,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-na-zerkalo-v-mashinu__225__all.json,wordstat-manual-bridge request_id=867c50e6-a8a3-4940-bc66-0d4e3b00d873,VALID,getTop,,NOT_APPLICABLE,13,MEASURED,RESULT,8,
1.1,m_wordstat_20260805_fce8e6bb,o_wordstat_20260805_fce8e6bb_phrase_0010,WORDSTAT,OBSERVED,wordstat_phrase,q_cc67e8b8507f,подвеска на зеркало в машину,q_f3563a6140ca,подвеска в машину на зеркало вдв,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-na-zerkalo-v-mashinu__225__all.json,wordstat-manual-bridge request_id=867c50e6-a8a3-4940-bc66-0d4e3b00d873,VALID,getTop,,NOT_APPLICABLE,11,MEASURED,RESULT,9,
