schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260805_12d50a1c,o_wordstat_20260805_12d50a1c_summary_0001,WORDSTAT,OBSERVED,wordstat_summary,q_45793464bf62,подвеска печать велеса,q_45793464bf62,подвеска печать велеса,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=9a27334c-4b36-4dd3-bb1b-ec4e290d3680,VALID,getTop,80,MEASURED,,NOT_APPLICABLE,SUMMARY,,GetTop totalCount; child counts overlap and are not summed.
1.1,m_wordstat_20260805_12d50a1c,o_wordstat_20260805_12d50a1c_phrase_0002,WORDSTAT,OBSERVED,wordstat_phrase,q_45793464bf62,подвеска печать велеса,q_45793464bf62,подвеска печать велеса,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=9a27334c-4b36-4dd3-bb1b-ec4e290d3680,VALID,getTop,,NOT_APPLICABLE,80,MEASURED,RESULT,1,
1.1,m_wordstat_20260805_12d50a1c,o_wordstat_20260805_12d50a1c_phrase_0003,WORDSTAT,OBSERVED,wordstat_phrase,q_45793464bf62,подвеска печать велеса,q_4ffbbe39a1fc,серебряная подвеска печать велеса,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=9a27334c-4b36-4dd3-bb1b-ec4e290d3680,VALID,getTop,,NOT_APPLICABLE,20,MEASURED,RESULT,2,
1.1,m_wordstat_20260805_12d50a1c,o_wordstat_20260805_12d50a1c_phrase_0004,WORDSTAT,OBSERVED,wordstat_phrase,q_45793464bf62,подвеска печать велеса,q_b8dc91de2f5f,купить подвеску печать велеса,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=9a27334c-4b36-4dd3-bb1b-ec4e290d3680,VALID,getTop,,NOT_APPLICABLE,8,MEASURED,RESULT,3,
1.1,m_wordstat_20260805_12d50a1c,o_wordstat_20260805_12d50a1c_phrase_0005,WORDSTAT,OBSERVED,wordstat_phrase,q_45793464bf62,подвеска печать велеса,q_46e48a753944,подвеска оберег печать велеса,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=9a27334c-4b36-4dd3-bb1b-ec4e290d3680,VALID,getTop,,NOT_APPLICABLE,5,MEASURED,RESULT,4,
1.1,m_wordstat_20260805_12d50a1c,o_wordstat_20260805_12d50a1c_phrase_0006,WORDSTAT,OBSERVED,wordstat_phrase,q_45793464bf62,подвеска печать велеса,q_20e6a9c7c021,серебряная подвеска печать велеса кузнеца мастеров,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=9a27334c-4b36-4dd3-bb1b-ec4e290d3680,VALID,getTop,,NOT_APPLICABLE,5,MEASURED,RESULT,5,
1.1,m_wordstat_20260805_12d50a1c,o_wordstat_20260805_12d50a1c_phrase_0007,WORDSTAT,OBSERVED,wordstat_phrase,q_45793464bf62,подвеска печать велеса,q_81bcacd4a410,продажа печать велеса подвеска золотая,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=9a27334c-4b36-4dd3-bb1b-ec4e290d3680,VALID,getTop,,NOT_APPLICABLE,5,MEASURED,RESULT,6,
1.1,m_wordstat_20260805_12d50a1c,o_wordstat_20260805_12d50a1c_phrase_0008,WORDSTAT,OBSERVED,wordstat_phrase,q_45793464bf62,подвеска печать велеса,q_a0ff619f1138,каким шрифтом печатаются официальные документы в ворде,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=9a27334c-4b36-4dd3-bb1b-ec4e290d3680,VALID,getTop,,NOT_APPLICABLE,152,MEASURED,ASSOCIATION,1,"Association is lexical/similarity evidence, not a child result and not automatically relevant."
1.1,m_wordstat_20260805_12d50a1c,o_wordstat_20260805_12d50a1c_phrase_0009,WORDSTAT,OBSERVED,wordstat_phrase,q_45793464bf62,подвеска печать велеса,q_f8ef68d7eefc,заслонили шар земной крылья летучей мыши,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=9a27334c-4b36-4dd3-bb1b-ec4e290d3680,VALID,getTop,,NOT_APPLICABLE,637,MEASURED,ASSOCIATION,2,"Association is lexical/similarity evidence, not a child result and not automatically relevant."
1.1,m_wordstat_20260805_12d50a1c,o_wordstat_20260805_12d50a1c_phrase_0010,WORDSTAT,OBSERVED,wordstat_phrase,q_45793464bf62,подвеска печать велеса,q_b994691b7e7b,фантастический лазерный пистолет кроссворд,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=9a27334c-4b36-4dd3-bb1b-ec4e290d3680,VALID,getTop,,NOT_APPLICABLE,555,MEASURED,ASSOCIATION,3,"Association is lexical/similarity evidence, not a child result and not automatically relevant."
1.1,m_wordstat_20260805_12d50a1c,o_wordstat_20260805_12d50a1c_phrase_0011,WORDSTAT,OBSERVED,wordstat_phrase,q_45793464bf62,подвеска печать велеса,q_65be491c421b,прямая палочка символ,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=9a27334c-4b36-4dd3-bb1b-ec4e290d3680,VALID,getTop,,NOT_APPLICABLE,218,MEASURED,ASSOCIATION,4,"Association is lexical/similarity evidence, not a child result and not automatically relevant."
1.1,m_wordstat_20260805_12d50a1c,o_wordstat_20260805_12d50a1c_phrase_0012,WORDSTAT,OBSERVED,wordstat_phrase,q_45793464bf62,подвеска печать велеса,q_9f3befbc5ec4,амулет с огненным скорпионом,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=9a27334c-4b36-4dd3-bb1b-ec4e290d3680,VALID,getTop,,NOT_APPLICABLE,197,MEASURED,ASSOCIATION,5,"Association is lexical/similarity evidence, not a child result and not automatically relevant."
1.1,m_wordstat_20260805_12d50a1c,o_wordstat_20260805_12d50a1c_phrase_0013,WORDSTAT,OBSERVED,wordstat_phrase,q_45793464bf62,подвеска печать велеса,q_74d2da743a9c,амулет с волшебным скорпионом,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=9a27334c-4b36-4dd3-bb1b-ec4e290d3680,VALID,getTop,,NOT_APPLICABLE,250,MEASURED,ASSOCIATION,6,"Association is lexical/similarity evidence, not a child result and not automatically relevant."
1.1,m_wordstat_20260805_12d50a1c,o_wordstat_20260805_12d50a1c_phrase_0014,WORDSTAT,OBSERVED,wordstat_phrase,q_45793464bf62,подвеска печать велеса,q_b5b4077c3a5e,символ веры у католиков,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=9a27334c-4b36-4dd3-bb1b-ec4e290d3680,VALID,getTop,,NOT_APPLICABLE,275,MEASURED,ASSOCIATION,7,"Association is lexical/similarity evidence, not a child result and not automatically relevant."
1.1,m_wordstat_20260805_12d50a1c,o_wordstat_20260805_12d50a1c_phrase_0015,WORDSTAT,OBSERVED,wordstat_phrase,q_45793464bf62,подвеска печать велеса,q_34864d8e894c,красивые знаки и символы для ников,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=9a27334c-4b36-4dd3-bb1b-ec4e290d3680,VALID,getTop,,NOT_APPLICABLE,91,MEASURED,ASSOCIATION,8,"Association is lexical/similarity evidence, not a child result and not automatically relevant."
1.1,m_wordstat_20260805_12d50a1c,o_wordstat_20260805_12d50a1c_phrase_0016,WORDSTAT,OBSERVED,wordstat_phrase,q_45793464bf62,подвеска печать велеса,q_fca79f51e120,холщовый талисман стаи,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=9a27334c-4b36-4dd3-bb1b-ec4e290d3680,VALID,getTop,,NOT_APPLICABLE,136,MEASURED,ASSOCIATION,9,"Association is lexical/similarity evidence, not a child result and not automatically relevant."
1.1,m_wordstat_20260805_12d50a1c,o_wordstat_20260805_12d50a1c_phrase_0017,WORDSTAT,OBSERVED,wordstat_phrase,q_45793464bf62,подвеска печать велеса,q_c5359c7c130a,пневмоподвеска ваз 2107,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=9a27334c-4b36-4dd3-bb1b-ec4e290d3680,VALID,getTop,,NOT_APPLICABLE,387,MEASURED,ASSOCIATION,10,"Association is lexical/similarity evidence, not a child result and not automatically relevant."
1.1,m_wordstat_20260805_12d50a1c,o_wordstat_20260805_12d50a1c_phrase_0018,WORDSTAT,OBSERVED,wordstat_phrase,q_45793464bf62,подвеска печать велеса,q_ce0cbe145d28,заслонили шар земной крылья летучей,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__podveska-pechat-velesa__225__all.json,wordstat-manual-bridge request_id=9a27334c-4b36-4dd3-bb1b-ec4e290d3680,VALID,getTop,,NOT_APPLICABLE,737,MEASURED,ASSOCIATION,11,"Association is lexical/similarity evidence, not a child result and not automatically relevant."
