schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260805_a164a34f,o_wordstat_20260805_a164a34f_summary_0001,WORDSTAT,OBSERVED,wordstat_summary,q_dec36683e8e1,славянский оберег в машину,q_dec36683e8e1,славянский оберег в машину,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__slavyanskiy-obereg-v-mashinu__225__all.json,wordstat-manual-bridge request_id=f02d7482-be9a-4d93-a8d8-cbc37be05931,VALID,getTop,72,MEASURED,,NOT_APPLICABLE,SUMMARY,,GetTop totalCount; child counts overlap and are not summed.
1.1,m_wordstat_20260805_a164a34f,o_wordstat_20260805_a164a34f_phrase_0002,WORDSTAT,OBSERVED,wordstat_phrase,q_dec36683e8e1,славянский оберег в машину,q_dec36683e8e1,славянский оберег в машину,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__slavyanskiy-obereg-v-mashinu__225__all.json,wordstat-manual-bridge request_id=f02d7482-be9a-4d93-a8d8-cbc37be05931,VALID,getTop,,NOT_APPLICABLE,72,MEASURED,RESULT,1,
1.1,m_wordstat_20260805_a164a34f,o_wordstat_20260805_a164a34f_phrase_0003,WORDSTAT,OBSERVED,wordstat_phrase,q_dec36683e8e1,славянский оберег в машину,q_a7fd2e39f0ea,славянский оберег в машину чур,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__slavyanskiy-obereg-v-mashinu__225__all.json,wordstat-manual-bridge request_id=f02d7482-be9a-4d93-a8d8-cbc37be05931,VALID,getTop,,NOT_APPLICABLE,7,MEASURED,RESULT,2,
1.1,m_wordstat_20260805_a164a34f,o_wordstat_20260805_a164a34f_phrase_0004,WORDSTAT,OBSERVED,wordstat_phrase,q_dec36683e8e1,славянский оберег в машину,q_c75f56d33e49,славянский оберег в машину для семьи,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__slavyanskiy-obereg-v-mashinu__225__all.json,wordstat-manual-bridge request_id=f02d7482-be9a-4d93-a8d8-cbc37be05931,VALID,getTop,,NOT_APPLICABLE,5,MEASURED,RESULT,3,
1.1,m_wordstat_20260805_a164a34f,o_wordstat_20260805_a164a34f_phrase_0005,WORDSTAT,OBSERVED,wordstat_phrase,q_dec36683e8e1,славянский оберег в машину,q_a1c4bbb78f1e,древние славяне,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__slavyanskiy-obereg-v-mashinu__225__all.json,wordstat-manual-bridge request_id=f02d7482-be9a-4d93-a8d8-cbc37be05931,VALID,getTop,,NOT_APPLICABLE,31652,MEASURED,ASSOCIATION,1,Association is lexical/similarity evidence and not automatically relevant demand.
1.1,m_wordstat_20260805_a164a34f,o_wordstat_20260805_a164a34f_phrase_0006,WORDSTAT,OBSERVED,wordstat_phrase,q_dec36683e8e1,славянский оберег в машину,q_aeea01e2219d,амулет анха,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__slavyanskiy-obereg-v-mashinu__225__all.json,wordstat-manual-bridge request_id=f02d7482-be9a-4d93-a8d8-cbc37be05931,VALID,getTop,,NOT_APPLICABLE,1464,MEASURED,ASSOCIATION,2,Association is lexical/similarity evidence and not automatically relevant demand.
1.1,m_wordstat_20260805_a164a34f,o_wordstat_20260805_a164a34f_phrase_0007,WORDSTAT,OBSERVED,wordstat_phrase,q_dec36683e8e1,славянский оберег в машину,q_dfe427149f31,главный бог славян,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__slavyanskiy-obereg-v-mashinu__225__all.json,wordstat-manual-bridge request_id=f02d7482-be9a-4d93-a8d8-cbc37be05931,VALID,getTop,,NOT_APPLICABLE,495,MEASURED,ASSOCIATION,3,Association is lexical/similarity evidence and not automatically relevant demand.
1.1,m_wordstat_20260805_a164a34f,o_wordstat_20260805_a164a34f_phrase_0008,WORDSTAT,OBSERVED,wordstat_phrase,q_dec36683e8e1,славянский оберег в машину,q_0ff5854d15bb,назар амулет,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__slavyanskiy-obereg-v-mashinu__225__all.json,wordstat-manual-bridge request_id=f02d7482-be9a-4d93-a8d8-cbc37be05931,VALID,getTop,,NOT_APPLICABLE,618,MEASURED,ASSOCIATION,4,Association is lexical/similarity evidence and not automatically relevant demand.
1.1,m_wordstat_20260805_a164a34f,o_wordstat_20260805_a164a34f_phrase_0009,WORDSTAT,OBSERVED,wordstat_phrase,q_dec36683e8e1,славянский оберег в машину,q_ab426f91d54c,чери амулет 2007,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__slavyanskiy-obereg-v-mashinu__225__all.json,wordstat-manual-bridge request_id=f02d7482-be9a-4d93-a8d8-cbc37be05931,VALID,getTop,,NOT_APPLICABLE,1557,MEASURED,ASSOCIATION,5,Association is lexical/similarity evidence and not automatically relevant demand.
1.1,m_wordstat_20260805_a164a34f,o_wordstat_20260805_a164a34f_phrase_0010,WORDSTAT,OBSERVED,wordstat_phrase,q_dec36683e8e1,славянский оберег в машину,q_47369cd7803e,мифология славян,2026-08-05,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260805__wordstat__gettop__slavyanskiy-obereg-v-mashinu__225__all.json,wordstat-manual-bridge request_id=f02d7482-be9a-4d93-a8d8-cbc37be05931,VALID,getTop,,NOT_APPLICABLE,2244,MEASURED,ASSOCIATION,6,Association is lexical/similarity evidence and not automatically relevant demand.
