schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260810_62413d0f,o_wordstat_20260810_62413d0f_summary_0001,WORDSTAT,OBSERVED,wordstat_summary,q_5b5d025fa1c6,какой оберег выбрать в машину,q_5b5d025fa1c6,какой оберег выбрать в машину,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__kakoy-obereg-vybrat-v-mashinu__225__all.json,wordstat-manual-bridge request_id=cdf23a53-9478-4166-9d48-85793c515423,VALID,getTop,12,MEASURED,,NOT_APPLICABLE,SUMMARY,,GetTop totalCount; child counts overlap and are not summed.
1.1,m_wordstat_20260810_62413d0f,o_wordstat_20260810_62413d0f_phrase_0002,WORDSTAT,OBSERVED,wordstat_phrase,q_5b5d025fa1c6,какой оберег выбрать в машину,q_7f371a2f6af4,обереги в машину какой лучше выбрать,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__kakoy-obereg-vybrat-v-mashinu__225__all.json,wordstat-manual-bridge request_id=cdf23a53-9478-4166-9d48-85793c515423,VALID,getTop,,NOT_APPLICABLE,12,MEASURED,RESULT,1,
1.1,m_wordstat_20260810_62413d0f,o_wordstat_20260810_62413d0f_phrase_0003,WORDSTAT,OBSERVED,wordstat_phrase,q_5b5d025fa1c6,какой оберег выбрать в машину,q_d41223eb2275,подбор ру,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__kakoy-obereg-vybrat-v-mashinu__225__all.json,wordstat-manual-bridge request_id=cdf23a53-9478-4166-9d48-85793c515423,VALID,getTop,,NOT_APPLICABLE,17769,MEASURED,ASSOCIATION,2,
1.1,m_wordstat_20260810_62413d0f,o_wordstat_20260810_62413d0f_phrase_0004,WORDSTAT,OBSERVED,wordstat_phrase,q_5b5d025fa1c6,какой оберег выбрать в машину,q_965b46cfc1be,авто мое,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__kakoy-obereg-vybrat-v-mashinu__225__all.json,wordstat-manual-bridge request_id=cdf23a53-9478-4166-9d48-85793c515423,VALID,getTop,,NOT_APPLICABLE,24037,MEASURED,ASSOCIATION,3,
1.1,m_wordstat_20260810_62413d0f,o_wordstat_20260810_62413d0f_phrase_0005,WORDSTAT,OBSERVED,wordstat_phrase,q_5b5d025fa1c6,какой оберег выбрать в машину,q_836b5c9daa78,выбор это,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__kakoy-obereg-vybrat-v-mashinu__225__all.json,wordstat-manual-bridge request_id=cdf23a53-9478-4166-9d48-85793c515423,VALID,getTop,,NOT_APPLICABLE,103866,MEASURED,ASSOCIATION,4,
1.1,m_wordstat_20260810_62413d0f,o_wordstat_20260810_62413d0f_phrase_0006,WORDSTAT,OBSERVED,wordstat_phrase,q_5b5d025fa1c6,какой оберег выбрать в машину,q_cfac4ec4f207,автофакт автоподбор,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__kakoy-obereg-vybrat-v-mashinu__225__all.json,wordstat-manual-bridge request_id=cdf23a53-9478-4166-9d48-85793c515423,VALID,getTop,,NOT_APPLICABLE,919,MEASURED,ASSOCIATION,5,
1.1,m_wordstat_20260810_62413d0f,o_wordstat_20260810_62413d0f_phrase_0007,WORDSTAT,OBSERVED,wordstat_phrase,q_5b5d025fa1c6,какой оберег выбрать в машину,q_5f7cd9713dfc,автофакт подбор,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__kakoy-obereg-vybrat-v-mashinu__225__all.json,wordstat-manual-bridge request_id=cdf23a53-9478-4166-9d48-85793c515423,VALID,getTop,,NOT_APPLICABLE,701,MEASURED,ASSOCIATION,6,
1.1,m_wordstat_20260810_62413d0f,o_wordstat_20260810_62413d0f_phrase_0008,WORDSTAT,OBSERVED,wordstat_phrase,q_5b5d025fa1c6,какой оберег выбрать в машину,q_3d785100bd80,что должно быть в автомобиле,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__kakoy-obereg-vybrat-v-mashinu__225__all.json,wordstat-manual-bridge request_id=cdf23a53-9478-4166-9d48-85793c515423,VALID,getTop,,NOT_APPLICABLE,3181,MEASURED,ASSOCIATION,7,
1.1,m_wordstat_20260810_62413d0f,o_wordstat_20260810_62413d0f_phrase_0009,WORDSTAT,OBSERVED,wordstat_phrase,q_5b5d025fa1c6,какой оберег выбрать в машину,q_b93e038ad52d,авто подбор рф,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__kakoy-obereg-vybrat-v-mashinu__225__all.json,wordstat-manual-bridge request_id=cdf23a53-9478-4166-9d48-85793c515423,VALID,getTop,,NOT_APPLICABLE,752,MEASURED,ASSOCIATION,8,
1.1,m_wordstat_20260810_62413d0f,o_wordstat_20260810_62413d0f_phrase_0010,WORDSTAT,OBSERVED,wordstat_phrase,q_5b5d025fa1c6,какой оберег выбрать в машину,q_d0ff94483021,самые надежные автомобили,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__kakoy-obereg-vybrat-v-mashinu__225__all.json,wordstat-manual-bridge request_id=cdf23a53-9478-4166-9d48-85793c515423,VALID,getTop,,NOT_APPLICABLE,14342,MEASURED,ASSOCIATION,9,
1.1,m_wordstat_20260810_62413d0f,o_wordstat_20260810_62413d0f_phrase_0011,WORDSTAT,OBSERVED,wordstat_phrase,q_5b5d025fa1c6,какой оберег выбрать в машину,q_d2724c421da3,автофакт подбор авто,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__kakoy-obereg-vybrat-v-mashinu__225__all.json,wordstat-manual-bridge request_id=cdf23a53-9478-4166-9d48-85793c515423,VALID,getTop,,NOT_APPLICABLE,359,MEASURED,ASSOCIATION,10,
1.1,m_wordstat_20260810_62413d0f,o_wordstat_20260810_62413d0f_phrase_0012,WORDSTAT,OBSERVED,wordstat_phrase,q_5b5d025fa1c6,какой оберег выбрать в машину,q_0b650d2d1861,подбор лампочек по марке автомобиля,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__kakoy-obereg-vybrat-v-mashinu__225__all.json,wordstat-manual-bridge request_id=cdf23a53-9478-4166-9d48-85793c515423,VALID,getTop,,NOT_APPLICABLE,245,MEASURED,ASSOCIATION,11,
1.1,m_wordstat_20260810_62413d0f,o_wordstat_20260810_62413d0f_phrase_0013,WORDSTAT,OBSERVED,wordstat_phrase,q_5b5d025fa1c6,какой оберег выбрать в машину,q_0c9fee89a244,подбор щеток по автомобилю марке автомобиля,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__kakoy-obereg-vybrat-v-mashinu__225__all.json,wordstat-manual-bridge request_id=cdf23a53-9478-4166-9d48-85793c515423,VALID,getTop,,NOT_APPLICABLE,581,MEASURED,ASSOCIATION,12,
1.1,m_wordstat_20260810_62413d0f,o_wordstat_20260810_62413d0f_phrase_0014,WORDSTAT,OBSERVED,wordstat_phrase,q_5b5d025fa1c6,какой оберег выбрать в машину,q_ee75bca06b62,подбор ламп по марке автомобиля,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__kakoy-obereg-vybrat-v-mashinu__225__all.json,wordstat-manual-bridge request_id=cdf23a53-9478-4166-9d48-85793c515423,VALID,getTop,,NOT_APPLICABLE,532,MEASURED,ASSOCIATION,13,
1.1,m_wordstat_20260810_62413d0f,o_wordstat_20260810_62413d0f_phrase_0015,WORDSTAT,OBSERVED,wordstat_phrase,q_5b5d025fa1c6,какой оберег выбрать в машину,q_1f61ff4b2808,рейтинг надежности автомобилей,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__kakoy-obereg-vybrat-v-mashinu__225__all.json,wordstat-manual-bridge request_id=cdf23a53-9478-4166-9d48-85793c515423,VALID,getTop,,NOT_APPLICABLE,4831,MEASURED,ASSOCIATION,14,
1.1,m_wordstat_20260810_62413d0f,o_wordstat_20260810_62413d0f_phrase_0016,WORDSTAT,OBSERVED,wordstat_phrase,q_5b5d025fa1c6,какой оберег выбрать в машину,q_3d6c51755a36,подбор ламп по автомобилю,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__kakoy-obereg-vybrat-v-mashinu__225__all.json,wordstat-manual-bridge request_id=cdf23a53-9478-4166-9d48-85793c515423,VALID,getTop,,NOT_APPLICABLE,836,MEASURED,ASSOCIATION,15,
1.1,m_wordstat_20260810_62413d0f,o_wordstat_20260810_62413d0f_phrase_0017,WORDSTAT,OBSERVED,wordstat_phrase,q_5b5d025fa1c6,какой оберег выбрать в машину,q_8f3ffe9ef8b1,подбор автомобиля,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__kakoy-obereg-vybrat-v-mashinu__225__all.json,wordstat-manual-bridge request_id=cdf23a53-9478-4166-9d48-85793c515423,VALID,getTop,,NOT_APPLICABLE,84101,MEASURED,ASSOCIATION,16,
