schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260810_81b917e1,o_wordstat_20260810_81b917e1_summary_0001,WORDSTAT,OBSERVED,wordstat_summary,q_c2f45c10ecf5,подарок автомобилисту,q_c2f45c10ecf5,подарок автомобилисту,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__podarok-avtomobilistu__225__all.json,wordstat-manual-bridge request_id=526c687d-8b9a-4fd2-a9e8-42f81345f4c7,VALID,getTop,1192,MEASURED,,NOT_APPLICABLE,SUMMARY,,GetTop totalCount; child counts overlap and are not summed.
1.1,m_wordstat_20260810_81b917e1,o_wordstat_20260810_81b917e1_phrase_0002,WORDSTAT,OBSERVED,wordstat_phrase,q_c2f45c10ecf5,подарок автомобилисту,q_c2f45c10ecf5,подарок автомобилисту,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__podarok-avtomobilistu__225__all.json,wordstat-manual-bridge request_id=526c687d-8b9a-4fd2-a9e8-42f81345f4c7,VALID,getTop,,NOT_APPLICABLE,1192,MEASURED,RESULT,1,
1.1,m_wordstat_20260810_81b917e1,o_wordstat_20260810_81b917e1_phrase_0003,WORDSTAT,OBSERVED,wordstat_phrase,q_c2f45c10ecf5,подарок автомобилисту,q_129c683fe8a4,подарок автомобилисту мужчине,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__podarok-avtomobilistu__225__all.json,wordstat-manual-bridge request_id=526c687d-8b9a-4fd2-a9e8-42f81345f4c7,VALID,getTop,,NOT_APPLICABLE,429,MEASURED,RESULT,2,
1.1,m_wordstat_20260810_81b917e1,o_wordstat_20260810_81b917e1_phrase_0004,WORDSTAT,OBSERVED,wordstat_phrase,q_c2f45c10ecf5,подарок автомобилисту,q_bedc858e1165,подарок день автомобилиста,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__podarok-avtomobilistu__225__all.json,wordstat-manual-bridge request_id=526c687d-8b9a-4fd2-a9e8-42f81345f4c7,VALID,getTop,,NOT_APPLICABLE,257,MEASURED,RESULT,3,
1.1,m_wordstat_20260810_81b917e1,o_wordstat_20260810_81b917e1_phrase_0005,WORDSTAT,OBSERVED,wordstat_phrase,q_c2f45c10ecf5,подарок автомобилисту,q_13e4bcf7d2f0,подарок автомобилисту на день рождения,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__podarok-avtomobilistu__225__all.json,wordstat-manual-bridge request_id=526c687d-8b9a-4fd2-a9e8-42f81345f4c7,VALID,getTop,,NOT_APPLICABLE,240,MEASURED,RESULT,4,
1.1,m_wordstat_20260810_81b917e1,o_wordstat_20260810_81b917e1_phrase_0006,WORDSTAT,OBSERVED,wordstat_phrase,q_c2f45c10ecf5,подарок автомобилисту,q_0f3c35b2617b,подарок автомобилисту мужчине на день рождения,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__podarok-avtomobilistu__225__all.json,wordstat-manual-bridge request_id=526c687d-8b9a-4fd2-a9e8-42f81345f4c7,VALID,getTop,,NOT_APPLICABLE,187,MEASURED,RESULT,5,
1.1,m_wordstat_20260810_81b917e1,o_wordstat_20260810_81b917e1_phrase_0007,WORDSTAT,OBSERVED,wordstat_phrase,q_c2f45c10ecf5,подарок автомобилисту,q_654feb7ad954,подарок для автомобилиста мужчине на день,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__podarok-avtomobilistu__225__all.json,wordstat-manual-bridge request_id=526c687d-8b9a-4fd2-a9e8-42f81345f4c7,VALID,getTop,,NOT_APPLICABLE,78,MEASURED,RESULT,6,
1.1,m_wordstat_20260810_81b917e1,o_wordstat_20260810_81b917e1_phrase_0008,WORDSTAT,OBSERVED,wordstat_phrase,q_c2f45c10ecf5,подарок автомобилисту,q_548ac4c97a6a,подарок автомобилисту женщине,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__podarok-avtomobilistu__225__all.json,wordstat-manual-bridge request_id=526c687d-8b9a-4fd2-a9e8-42f81345f4c7,VALID,getTop,,NOT_APPLICABLE,51,MEASURED,RESULT,7,
1.1,m_wordstat_20260810_81b917e1,o_wordstat_20260810_81b917e1_phrase_0009,WORDSTAT,OBSERVED,wordstat_phrase,q_c2f45c10ecf5,подарок автомобилисту,q_e7c6da9e61f1,идеи подарков автомобилисту,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__podarok-avtomobilistu__225__all.json,wordstat-manual-bridge request_id=526c687d-8b9a-4fd2-a9e8-42f81345f4c7,VALID,getTop,,NOT_APPLICABLE,44,MEASURED,RESULT,8,
1.1,m_wordstat_20260810_81b917e1,o_wordstat_20260810_81b917e1_phrase_0010,WORDSTAT,OBSERVED,wordstat_phrase,q_c2f45c10ecf5,подарок автомобилисту,q_514daf68b801,подарки для автомобилистов в машину,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__podarok-avtomobilistu__225__all.json,wordstat-manual-bridge request_id=526c687d-8b9a-4fd2-a9e8-42f81345f4c7,VALID,getTop,,NOT_APPLICABLE,41,MEASURED,RESULT,9,
1.1,m_wordstat_20260810_81b917e1,o_wordstat_20260810_81b917e1_phrase_0011,WORDSTAT,OBSERVED,wordstat_phrase,q_c2f45c10ecf5,подарок автомобилисту,q_6eeff1e2b886,подарки для автомобилистов в машину мужчине,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__podarok-avtomobilistu__225__all.json,wordstat-manual-bridge request_id=526c687d-8b9a-4fd2-a9e8-42f81345f4c7,VALID,getTop,,NOT_APPLICABLE,31,MEASURED,RESULT,10,
1.1,m_wordstat_20260810_81b917e1,o_wordstat_20260810_81b917e1_phrase_0012,WORDSTAT,OBSERVED,wordstat_phrase,q_c2f45c10ecf5,подарок автомобилисту,q_e052b8fbdb5d,лучшие подарки автомобилисту,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__podarok-avtomobilistu__225__all.json,wordstat-manual-bridge request_id=526c687d-8b9a-4fd2-a9e8-42f81345f4c7,VALID,getTop,,NOT_APPLICABLE,30,MEASURED,RESULT,11,
1.1,m_wordstat_20260810_81b917e1,o_wordstat_20260810_81b917e1_phrase_0013,WORDSTAT,OBSERVED,wordstat_phrase,q_c2f45c10ecf5,подарок автомобилисту,q_fea4b6d33127,что купить автомобилисту в подарок,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__podarok-avtomobilistu__225__all.json,wordstat-manual-bridge request_id=526c687d-8b9a-4fd2-a9e8-42f81345f4c7,VALID,getTop,,NOT_APPLICABLE,25,MEASURED,RESULT,12,
1.1,m_wordstat_20260810_81b917e1,o_wordstat_20260810_81b917e1_phrase_0014,WORDSTAT,OBSERVED,wordstat_phrase,q_c2f45c10ecf5,подарок автомобилисту,q_a693089c7d13,подарок мужу автомобилисту,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__podarok-avtomobilistu__225__all.json,wordstat-manual-bridge request_id=526c687d-8b9a-4fd2-a9e8-42f81345f4c7,VALID,getTop,,NOT_APPLICABLE,20,MEASURED,RESULT,13,
1.1,m_wordstat_20260810_81b917e1,o_wordstat_20260810_81b917e1_phrase_0015,WORDSTAT,OBSERVED,wordstat_phrase,q_c2f45c10ecf5,подарок автомобилисту,q_d15985b5378e,подарок другу автомобилисту,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__podarok-avtomobilistu__225__all.json,wordstat-manual-bridge request_id=526c687d-8b9a-4fd2-a9e8-42f81345f4c7,VALID,getTop,,NOT_APPLICABLE,20,MEASURED,RESULT,14,
1.1,m_wordstat_20260810_81b917e1,o_wordstat_20260810_81b917e1_phrase_0016,WORDSTAT,OBSERVED,wordstat_phrase,q_c2f45c10ecf5,подарок автомобилисту,q_fb26fe871bfc,подарок на др автомобилисту,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__podarok-avtomobilistu__225__all.json,wordstat-manual-bridge request_id=526c687d-8b9a-4fd2-a9e8-42f81345f4c7,VALID,getTop,,NOT_APPLICABLE,16,MEASURED,RESULT,15,
1.1,m_wordstat_20260810_81b917e1,o_wordstat_20260810_81b917e1_phrase_0017,WORDSTAT,OBSERVED,wordstat_phrase,q_c2f45c10ecf5,подарок автомобилисту,q_d1ce7db9b22c,набор для автомобилиста в подарок,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__podarok-avtomobilistu__225__all.json,wordstat-manual-bridge request_id=526c687d-8b9a-4fd2-a9e8-42f81345f4c7,VALID,getTop,,NOT_APPLICABLE,16,MEASURED,RESULT,16,
1.1,m_wordstat_20260810_81b917e1,o_wordstat_20260810_81b917e1_phrase_0018,WORDSTAT,OBSERVED,wordstat_phrase,q_c2f45c10ecf5,подарок автомобилисту,q_0aa6155c8418,подарок автомобилисту девушке,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__podarok-avtomobilistu__225__all.json,wordstat-manual-bridge request_id=526c687d-8b9a-4fd2-a9e8-42f81345f4c7,VALID,getTop,,NOT_APPLICABLE,13,MEASURED,RESULT,17,
1.1,m_wordstat_20260810_81b917e1,o_wordstat_20260810_81b917e1_phrase_0019,WORDSTAT,OBSERVED,wordstat_phrase,q_c2f45c10ecf5,подарок автомобилисту,q_0f450afcb1ec,подарок женщине автомобилисту на день рождения,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__podarok-avtomobilistu__225__all.json,wordstat-manual-bridge request_id=526c687d-8b9a-4fd2-a9e8-42f81345f4c7,VALID,getTop,,NOT_APPLICABLE,13,MEASURED,RESULT,18,
1.1,m_wordstat_20260810_81b917e1,o_wordstat_20260810_81b917e1_phrase_0020,WORDSTAT,OBSERVED,wordstat_phrase,q_c2f45c10ecf5,подарок автомобилисту,q_03875abf2bc0,топ подарков для автомобилиста,2026-08-10,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260810__wordstat__gettop__podarok-avtomobilistu__225__all.json,wordstat-manual-bridge request_id=526c687d-8b9a-4fd2-a9e8-42f81345f4c7,VALID,getTop,,NOT_APPLICABLE,11,MEASURED,RESULT,19,
