schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260812_cda2e556,o_wordstat_20260812_cda2e556_0001,WORDSTAT,OBSERVED,wordstat_dynamics,q_73a89b930447,оберег в машину,q_73a89b930447,оберег в машину,2025-08-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__obereg-v-mashinu__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=97d39aef-fc79-455d-8d3e-16e282f1e3b2,VALID,getDynamics,,NOT_APPLICABLE,835,MEASURED,DYNAMICS,1,PERIOD_MONTHLY; share=0.000008711754198333972; requested range 2025-08-01..2026-07-31.
1.1,m_wordstat_20260812_cda2e556,o_wordstat_20260812_cda2e556_0002,WORDSTAT,OBSERVED,wordstat_dynamics,q_73a89b930447,оберег в машину,q_73a89b930447,оберег в машину,2025-09-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__obereg-v-mashinu__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=97d39aef-fc79-455d-8d3e-16e282f1e3b2,VALID,getDynamics,,NOT_APPLICABLE,769,MEASURED,DYNAMICS,2,PERIOD_MONTHLY; share=0.000007480700534125725.
1.1,m_wordstat_20260812_cda2e556,o_wordstat_20260812_cda2e556_0003,WORDSTAT,OBSERVED,wordstat_dynamics,q_73a89b930447,оберег в машину,q_73a89b930447,оберег в машину,2025-10-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__obereg-v-mashinu__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=97d39aef-fc79-455d-8d3e-16e282f1e3b2,VALID,getDynamics,,NOT_APPLICABLE,893,MEASURED,DYNAMICS,3,PERIOD_MONTHLY; share=0.000008036773811751958.
1.1,m_wordstat_20260812_cda2e556,o_wordstat_20260812_cda2e556_0004,WORDSTAT,OBSERVED,wordstat_dynamics,q_73a89b930447,оберег в машину,q_73a89b930447,оберег в машину,2025-11-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__obereg-v-mashinu__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=97d39aef-fc79-455d-8d3e-16e282f1e3b2,VALID,getDynamics,,NOT_APPLICABLE,812,MEASURED,DYNAMICS,4,PERIOD_MONTHLY; share=0.000007438185900049385.
1.1,m_wordstat_20260812_cda2e556,o_wordstat_20260812_cda2e556_0005,WORDSTAT,OBSERVED,wordstat_dynamics,q_73a89b930447,оберег в машину,q_73a89b930447,оберег в машину,2025-12-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__obereg-v-mashinu__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=97d39aef-fc79-455d-8d3e-16e282f1e3b2,VALID,getDynamics,,NOT_APPLICABLE,732,MEASURED,DYNAMICS,5,PERIOD_MONTHLY; share=0.000006810392400156589.
1.1,m_wordstat_20260812_cda2e556,o_wordstat_20260812_cda2e556_0006,WORDSTAT,OBSERVED,wordstat_dynamics,q_73a89b930447,оберег в машину,q_73a89b930447,оберег в машину,2026-01-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__obereg-v-mashinu__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=97d39aef-fc79-455d-8d3e-16e282f1e3b2,VALID,getDynamics,,NOT_APPLICABLE,675,MEASURED,DYNAMICS,6,PERIOD_MONTHLY; share=0.00000689189865919827.
1.1,m_wordstat_20260812_cda2e556,o_wordstat_20260812_cda2e556_0007,WORDSTAT,OBSERVED,wordstat_dynamics,q_73a89b930447,оберег в машину,q_73a89b930447,оберег в машину,2026-02-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__obereg-v-mashinu__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=97d39aef-fc79-455d-8d3e-16e282f1e3b2,VALID,getDynamics,,NOT_APPLICABLE,868,MEASURED,DYNAMICS,7,PERIOD_MONTHLY; share=0.000009700649108608605.
1.1,m_wordstat_20260812_cda2e556,o_wordstat_20260812_cda2e556_0008,WORDSTAT,OBSERVED,wordstat_dynamics,q_73a89b930447,оберег в машину,q_73a89b930447,оберег в машину,2026-03-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__obereg-v-mashinu__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=97d39aef-fc79-455d-8d3e-16e282f1e3b2,VALID,getDynamics,,NOT_APPLICABLE,772,MEASURED,DYNAMICS,8,PERIOD_MONTHLY; share=0.00000743223399277357.
1.1,m_wordstat_20260812_cda2e556,o_wordstat_20260812_cda2e556_0009,WORDSTAT,OBSERVED,wordstat_dynamics,q_73a89b930447,оберег в машину,q_73a89b930447,оберег в машину,2026-04-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__obereg-v-mashinu__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=97d39aef-fc79-455d-8d3e-16e282f1e3b2,VALID,getDynamics,,NOT_APPLICABLE,779,MEASURED,DYNAMICS,9,PERIOD_MONTHLY; share=0.000007320951586662563.
1.1,m_wordstat_20260812_cda2e556,o_wordstat_20260812_cda2e556_0010,WORDSTAT,OBSERVED,wordstat_dynamics,q_73a89b930447,оберег в машину,q_73a89b930447,оберег в машину,2026-05-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__obereg-v-mashinu__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=97d39aef-fc79-455d-8d3e-16e282f1e3b2,VALID,getDynamics,,NOT_APPLICABLE,851,MEASURED,DYNAMICS,10,PERIOD_MONTHLY; share=0.000008575339167355773.
1.1,m_wordstat_20260812_cda2e556,o_wordstat_20260812_cda2e556_0011,WORDSTAT,OBSERVED,wordstat_dynamics,q_73a89b930447,оберег в машину,q_73a89b930447,оберег в машину,2026-06-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__obereg-v-mashinu__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=97d39aef-fc79-455d-8d3e-16e282f1e3b2,VALID,getDynamics,,NOT_APPLICABLE,910,MEASURED,DYNAMICS,11,PERIOD_MONTHLY; share=0.000009264600719178477.
1.1,m_wordstat_20260812_cda2e556,o_wordstat_20260812_cda2e556_0012,WORDSTAT,OBSERVED,wordstat_dynamics,q_73a89b930447,оберег в машину,q_73a89b930447,оберег в машину,2026-07-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__obereg-v-mashinu__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=97d39aef-fc79-455d-8d3e-16e282f1e3b2,VALID,getDynamics,,NOT_APPLICABLE,1293,MEASURED,DYNAMICS,12,PERIOD_MONTHLY; share=0.000012233189720952683.
