schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260812_slavicoberegi_dynamics,o_wordstat_20260812_slavicoberegi_dynamics_0001,WORDSTAT,OBSERVED,wordstat_dynamics,q_slavic_oberegi_dynamics,славянские обереги,q_slavic_oberegi_dynamics,славянские обереги,2025-08-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__slavyanskie-oberegi__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=abe68fd3-766c-4456-b286-19344565ec57,VALID,getDynamics,,NOT_APPLICABLE,23625,MEASURED,DYNAMICS,1,PERIOD_MONTHLY; share=0.00024648526100076653; requested range 2025-08-01..2026-07-31.
1.1,m_wordstat_20260812_slavicoberegi_dynamics,o_wordstat_20260812_slavicoberegi_dynamics_0002,WORDSTAT,OBSERVED,wordstat_dynamics,q_slavic_oberegi_dynamics,славянские обереги,q_slavic_oberegi_dynamics,славянские обереги,2025-09-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__slavyanskie-oberegi__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=abe68fd3-766c-4456-b286-19344565ec57,VALID,getDynamics,,NOT_APPLICABLE,20275,MEASURED,DYNAMICS,2,PERIOD_MONTHLY; share=0.00019723173384837331.
1.1,m_wordstat_20260812_slavicoberegi_dynamics,o_wordstat_20260812_slavicoberegi_dynamics_0003,WORDSTAT,OBSERVED,wordstat_dynamics,q_slavic_oberegi_dynamics,славянские обереги,q_slavic_oberegi_dynamics,славянские обереги,2025-10-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__slavyanskie-oberegi__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=abe68fd3-766c-4456-b286-19344565ec57,VALID,getDynamics,,NOT_APPLICABLE,21650,MEASURED,DYNAMICS,3,PERIOD_MONTHLY; share=0.00019484451626475914.
1.1,m_wordstat_20260812_slavicoberegi_dynamics,o_wordstat_20260812_slavicoberegi_dynamics_0004,WORDSTAT,OBSERVED,wordstat_dynamics,q_slavic_oberegi_dynamics,славянские обереги,q_slavic_oberegi_dynamics,славянские обереги,2025-11-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__slavyanskie-oberegi__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=abe68fd3-766c-4456-b286-19344565ec57,VALID,getDynamics,,NOT_APPLICABLE,22630,MEASURED,DYNAMICS,4,PERIOD_MONTHLY; share=0.0002072982104902926.
1.1,m_wordstat_20260812_slavicoberegi_dynamics,o_wordstat_20260812_slavicoberegi_dynamics_0005,WORDSTAT,OBSERVED,wordstat_dynamics,q_slavic_oberegi_dynamics,славянские обереги,q_slavic_oberegi_dynamics,славянские обереги,2025-12-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__slavyanskie-oberegi__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=abe68fd3-766c-4456-b286-19344565ec57,VALID,getDynamics,,NOT_APPLICABLE,21417,MEASURED,DYNAMICS,5,PERIOD_MONTHLY; share=0.00019925980059310608.
1.1,m_wordstat_20260812_slavicoberegi_dynamics,o_wordstat_20260812_slavicoberegi_dynamics_0006,WORDSTAT,OBSERVED,wordstat_dynamics,q_slavic_oberegi_dynamics,славянские обереги,q_slavic_oberegi_dynamics,славянские обереги,2026-01-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__slavyanskie-oberegi__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=abe68fd3-766c-4456-b286-19344565ec57,VALID,getDynamics,,NOT_APPLICABLE,21596,MEASURED,DYNAMICS,6,PERIOD_MONTHLY; share=0.0002204999162134012.
1.1,m_wordstat_20260812_slavicoberegi_dynamics,o_wordstat_20260812_slavicoberegi_dynamics_0007,WORDSTAT,OBSERVED,wordstat_dynamics,q_slavic_oberegi_dynamics,славянские обереги,q_slavic_oberegi_dynamics,славянские обереги,2026-02-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__slavyanskie-oberegi__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=abe68fd3-766c-4456-b286-19344565ec57,VALID,getDynamics,,NOT_APPLICABLE,19232,MEASURED,DYNAMICS,7,PERIOD_MONTHLY; share=0.00021493419776124506.
1.1,m_wordstat_20260812_slavicoberegi_dynamics,o_wordstat_20260812_slavicoberegi_dynamics_0008,WORDSTAT,OBSERVED,wordstat_dynamics,q_slavic_oberegi_dynamics,славянские обереги,q_slavic_oberegi_dynamics,славянские обереги,2026-03-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__slavyanskie-oberegi__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=abe68fd3-766c-4456-b286-19344565ec57,VALID,getDynamics,,NOT_APPLICABLE,19992,MEASURED,DYNAMICS,8,PERIOD_MONTHLY; share=0.00019246790412374252.
1.1,m_wordstat_20260812_slavicoberegi_dynamics,o_wordstat_20260812_slavicoberegi_dynamics_0009,WORDSTAT,OBSERVED,wordstat_dynamics,q_slavic_oberegi_dynamics,славянские обереги,q_slavic_oberegi_dynamics,славянские обереги,2026-04-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__slavyanskie-oberegi__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=abe68fd3-766c-4456-b286-19344565ec57,VALID,getDynamics,,NOT_APPLICABLE,20850,MEASURED,DYNAMICS,9,PERIOD_MONTHLY; share=0.0001959458800794794.
1.1,m_wordstat_20260812_slavicoberegi_dynamics,o_wordstat_20260812_slavicoberegi_dynamics_0010,WORDSTAT,OBSERVED,wordstat_dynamics,q_slavic_oberegi_dynamics,славянские обереги,q_slavic_oberegi_dynamics,славянские обереги,2026-05-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__slavyanskie-oberegi__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=abe68fd3-766c-4456-b286-19344565ec57,VALID,getDynamics,,NOT_APPLICABLE,18663,MEASURED,DYNAMICS,10,PERIOD_MONTHLY; share=0.00018806293170430175.
1.1,m_wordstat_20260812_slavicoberegi_dynamics,o_wordstat_20260812_slavicoberegi_dynamics_0011,WORDSTAT,OBSERVED,wordstat_dynamics,q_slavic_oberegi_dynamics,славянские обереги,q_slavic_oberegi_dynamics,славянские обереги,2026-06-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__slavyanskie-oberegi__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=abe68fd3-766c-4456-b286-19344565ec57,VALID,getDynamics,,NOT_APPLICABLE,21668,MEASURED,DYNAMICS,11,PERIOD_MONTHLY; share=0.00022059930591555963.
