schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260812_54377460,o_wordstat_20260812_54377460_0001,WORDSTAT,OBSERVED,wordstat_dynamics,q_d4b5f1755301,вегвизир,q_d4b5f1755301,вегвизир,2025-08-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__vegvisir__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=46ca2dde-4934-4fa7-a5ad-dc0ab6e867a8,VALID,getDynamics,,NOT_APPLICABLE,8674,MEASURED,DYNAMICS,1,PERIOD_MONTHLY; share=0.00009049791127706451; requested range 2025-08-01..2026-07-31.
1.1,m_wordstat_20260812_54377460,o_wordstat_20260812_54377460_0002,WORDSTAT,OBSERVED,wordstat_dynamics,q_d4b5f1755301,вегвизир,q_d4b5f1755301,вегвизир,2025-09-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__vegvisir__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=46ca2dde-4934-4fa7-a5ad-dc0ab6e867a8,VALID,getDynamics,,NOT_APPLICABLE,7773,MEASURED,DYNAMICS,2,PERIOD_MONTHLY; share=0.00007561441515183259.
1.1,m_wordstat_20260812_54377460,o_wordstat_20260812_54377460_0003,WORDSTAT,OBSERVED,wordstat_dynamics,q_d4b5f1755301,вегвизир,q_d4b5f1755301,вегвизир,2025-10-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__vegvisir__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=46ca2dde-4934-4fa7-a5ad-dc0ab6e867a8,VALID,getDynamics,,NOT_APPLICABLE,7676,MEASURED,DYNAMICS,3,PERIOD_MONTHLY; share=0.00006908205574357002.
1.1,m_wordstat_20260812_54377460,o_wordstat_20260812_54377460_0004,WORDSTAT,OBSERVED,wordstat_dynamics,q_d4b5f1755301,вегвизир,q_d4b5f1755301,вегвизир,2025-11-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__vegvisir__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=46ca2dde-4934-4fa7-a5ad-dc0ab6e867a8,VALID,getDynamics,,NOT_APPLICABLE,6784,MEASURED,DYNAMICS,4,PERIOD_MONTHLY; share=0.0000621436615097722.
1.1,m_wordstat_20260812_54377460,o_wordstat_20260812_54377460_0005,WORDSTAT,OBSERVED,wordstat_dynamics,q_d4b5f1755301,вегвизир,q_d4b5f1755301,вегвизир,2025-12-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__vegvisir__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=46ca2dde-4934-4fa7-a5ad-dc0ab6e867a8,VALID,getDynamics,,NOT_APPLICABLE,6879,MEASURED,DYNAMICS,5,PERIOD_MONTHLY; share=0.00006400094169491417.
1.1,m_wordstat_20260812_54377460,o_wordstat_20260812_54377460_0006,WORDSTAT,OBSERVED,wordstat_dynamics,q_d4b5f1755301,вегвизир,q_d4b5f1755301,вегвизир,2026-01-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__vegvisir__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=46ca2dde-4934-4fa7-a5ad-dc0ab6e867a8,VALID,getDynamics,,NOT_APPLICABLE,6255,MEASURED,DYNAMICS,6,PERIOD_MONTHLY; share=0.00006386492757523729.
1.1,m_wordstat_20260812_54377460,o_wordstat_20260812_54377460_0007,WORDSTAT,OBSERVED,wordstat_dynamics,q_d4b5f1755301,вегвизир,q_d4b5f1755301,вегвизир,2026-02-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__vegvisir__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=46ca2dde-4934-4fa7-a5ad-dc0ab6e867a8,VALID,getDynamics,,NOT_APPLICABLE,5618,MEASURED,DYNAMICS,7,PERIOD_MONTHLY; share=0.0000627859984932755.
1.1,m_wordstat_20260812_54377460,o_wordstat_20260812_54377460_0008,WORDSTAT,OBSERVED,wordstat_dynamics,q_d4b5f1755301,вегвизир,q_d4b5f1755301,вегвизир,2026-03-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__vegvisir__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=46ca2dde-4934-4fa7-a5ad-dc0ab6e867a8,VALID,getDynamics,,NOT_APPLICABLE,5604,MEASURED,DYNAMICS,8,PERIOD_MONTHLY; share=0.00005395108717034078.
1.1,m_wordstat_20260812_54377460,o_wordstat_20260812_54377460_0009,WORDSTAT,OBSERVED,wordstat_dynamics,q_d4b5f1755301,вегвизир,q_d4b5f1755301,вегвизир,2026-04-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__vegvisir__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=46ca2dde-4934-4fa7-a5ad-dc0ab6e867a8,VALID,getDynamics,,NOT_APPLICABLE,6037,MEASURED,DYNAMICS,9,PERIOD_MONTHLY; share=0.0000567350253256507.
1.1,m_wordstat_20260812_54377460,o_wordstat_20260812_54377460_0010,WORDSTAT,OBSERVED,wordstat_dynamics,q_d4b5f1755301,вегвизир,q_d4b5f1755301,вегвизир,2026-05-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__vegvisir__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=46ca2dde-4934-4fa7-a5ad-dc0ab6e867a8,VALID,getDynamics,,NOT_APPLICABLE,5416,MEASURED,DYNAMICS,10,PERIOD_MONTHLY; share=0.00005457583658096223.
1.1,m_wordstat_20260812_54377460,o_wordstat_20260812_54377460_0011,WORDSTAT,OBSERVED,wordstat_dynamics,q_d4b5f1755301,вегвизир,q_d4b5f1755301,вегвизир,2026-06-01,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__getdynamics__vegvisir__225__all__monthly-202508-202607.json,wordstat-manual-bridge request_id=46ca2dde-4934-4fa7-a5ad-dc0ab6e867a8,VALID,getDynamics,,NOT_APPLICABLE,5437,MEASURED,DYNAMICS,11,PERIOD_MONTHLY; share=0.0000553534440771136.
