schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260812_9d8ce7b6,o_wordstat_20260812_9d8ce7b6_0001,WORDSTAT,OBSERVED,wordstat_region_distribution,q_806670c30a84,славянские обереги,q_806670c30a84,славянские обереги,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/recovery/20260812__wordstat__getregionsdistribution__slavyanskie-oberegi__regions__all__recovered.json,wordstat-manual-bridge request_id=d91f26d9-ac4e-498b-a210-2de336d04111,RECOVERED,getRegionsDistribution,,NOT_APPLICABLE,25084,MEASURED,REGION_DISTRIBUTION,1,Россия; share=0.0002457407438426521; affinityIndex=104.86261579701548; recovery artifact contains decision-useful rows only.
1.1,m_wordstat_20260812_9d8ce7b6,o_wordstat_20260812_9d8ce7b6_0002,WORDSTAT,OBSERVED,wordstat_region_distribution,q_806670c30a84,славянские обереги,q_806670c30a84,славянские обереги,2026-08-12,DATE,1,DEVICE_ALL,marketing/data/raw/wordstat/recovery/20260812__wordstat__getregionsdistribution__slavyanskie-oberegi__regions__all__recovered.json,wordstat-manual-bridge request_id=d91f26d9-ac4e-498b-a210-2de336d04111,RECOVERED,getRegionsDistribution,,NOT_APPLICABLE,5006,MEASURED,REGION_DISTRIBUTION,2,Москва и область; share=0.0002488469712125527; affinityIndex=106.18810672772017.
1.1,m_wordstat_20260812_9d8ce7b6,o_wordstat_20260812_9d8ce7b6_0003,WORDSTAT,OBSERVED,wordstat_region_distribution,q_806670c30a84,славянские обереги,q_806670c30a84,славянские обереги,2026-08-12,DATE,3,DEVICE_ALL,marketing/data/raw/wordstat/recovery/20260812__wordstat__getregionsdistribution__slavyanskie-oberegi__regions__all__recovered.json,wordstat-manual-bridge request_id=d91f26d9-ac4e-498b-a210-2de336d04111,RECOVERED,getRegionsDistribution,,NOT_APPLICABLE,9279,MEASURED,REGION_DISTRIBUTION,3,Центр; share=0.00026726521585936547; affinityIndex=114.04754949595248.
1.1,m_wordstat_20260812_9d8ce7b6,o_wordstat_20260812_9d8ce7b6_0004,WORDSTAT,OBSERVED,wordstat_region_distribution,q_806670c30a84,славянские обереги,q_806670c30a84,славянские обереги,2026-08-12,DATE,17,DEVICE_ALL,marketing/data/raw/wordstat/recovery/20260812__wordstat__getregionsdistribution__slavyanskie-oberegi__regions__all__recovered.json,wordstat-manual-bridge request_id=d91f26d9-ac4e-498b-a210-2de336d04111,RECOVERED,getRegionsDistribution,,NOT_APPLICABLE,2802,MEASURED,REGION_DISTRIBUTION,4,Северо-Запад; share=0.0002464437897283748; affinityIndex=105.16261989665887.
1.1,m_wordstat_20260812_9d8ce7b6,o_wordstat_20260812_9d8ce7b6_0005,WORDSTAT,OBSERVED,wordstat_region_distribution,q_806670c30a84,славянские обереги,q_806670c30a84,славянские обереги,2026-08-12,DATE,26,DEVICE_ALL,marketing/data/raw/wordstat/recovery/20260812__wordstat__getregionsdistribution__slavyanskie-oberegi__regions__all__recovered.json,wordstat-manual-bridge request_id=d91f26d9-ac4e-498b-a210-2de336d04111,RECOVERED,getRegionsDistribution,,NOT_APPLICABLE,3089,MEASURED,REGION_DISTRIBUTION,5,Юг; share=0.0002990859981276907; affinityIndex=127.626129967331.
1.1,m_wordstat_20260812_9d8ce7b6,o_wordstat_20260812_9d8ce7b6_0006,WORDSTAT,OBSERVED,wordstat_region_distribution,q_806670c30a84,славянские обереги,q_806670c30a84,славянские обереги,2026-08-12,DATE,40,DEVICE_ALL,marketing/data/raw/wordstat/recovery/20260812__wordstat__getregionsdistribution__slavyanskie-oberegi__regions__all__recovered.json,wordstat-manual-bridge request_id=d91f26d9-ac4e-498b-a210-2de336d04111,RECOVERED,getRegionsDistribution,,NOT_APPLICABLE,3548,MEASURED,REGION_DISTRIBUTION,6,Поволжье; share=0.000184223158030865; affinityIndex=78.61180014117993.
1.1,m_wordstat_20260812_9d8ce7b6,o_wordstat_20260812_9d8ce7b6_0007,WORDSTAT,OBSERVED,wordstat_region_distribution,q_806670c30a84,славянские обереги,q_806670c30a84,славянские обереги,2026-08-12,DATE,52,DEVICE_ALL,marketing/data/raw/wordstat/recovery/20260812__wordstat__getregionsdistribution__slavyanskie-oberegi__regions__all__recovered.json,wordstat-manual-bridge request_id=d91f26d9-ac4e-498b-a210-2de336d04111,RECOVERED,getRegionsDistribution,,NOT_APPLICABLE,2005,MEASURED,REGION_DISTRIBUTION,7,Урал; share=0.00023466251534593366; affinityIndex=100.13530847142698.
1.1,m_wordstat_20260812_9d8ce7b6,o_wordstat_20260812_9d8ce7b6_0008,WORDSTAT,OBSERVED,wordstat_region_distribution,q_806670c30a84,славянские обереги,q_806670c30a84,славянские обереги,2026-08-12,DATE,59,DEVICE_ALL,marketing/data/raw/wordstat/recovery/20260812__wordstat__getregionsdistribution__slavyanskie-oberegi__regions__all__recovered.json,wordstat-manual-bridge request_id=d91f26d9-ac4e-498b-a210-2de336d04111,RECOVERED,getRegionsDistribution,,NOT_APPLICABLE,2807,MEASURED,REGION_DISTRIBUTION,8,Сибирь; share=0.0002668391145101693; affinityIndex=113.86572331046669.
1.1,m_wordstat_20260812_9d8ce7b6,o_wordstat_20260812_9d8ce7b6_0009,WORDSTAT,OBSERVED,wordstat_region_distribution,q_806670c30a84,славянские обереги,q_806670c30a84,славянские обереги,2026-08-12,DATE,73,DEVICE_ALL,marketing/data/raw/wordstat/recovery/20260812__wordstat__getregionsdistribution__slavyanskie-oberegi__regions__all__recovered.json,wordstat-manual-bridge request_id=d91f26d9-ac4e-498b-a210-2de336d04111,RECOVERED,getRegionsDistribution,,NOT_APPLICABLE,962,MEASURED,REGION_DISTRIBUTION,9,Дальний Восток; share=0.0002489086249451825; affinityIndex=106.21441564001574.
1.1,m_wordstat_20260812_9d8ce7b6,o_wordstat_20260812_9d8ce7b6_0010,WORDSTAT,OBSERVED,wordstat_region_distribution,q_806670c30a84,славянские обереги,q_806670c30a84,славянские обереги,2026-08-12,DATE,102444,DEVICE_ALL,marketing/data/raw/wordstat/recovery/20260812__wordstat__getregionsdistribution__slavyanskie-oberegi__regions__all__recovered.json,wordstat-manual-bridge request_id=d91f26d9-ac4e-498b-a210-2de336d04111,RECOVERED,getRegionsDistribution,,NOT_APPLICABLE,592,MEASURED,REGION_DISTRIBUTION,10,Северный Кавказ; share=0.00017069868149656827; affinityIndex=72.8406286028542.
1.1,m_wordstat_20260812_9d8ce7b6,o_wordstat_20260812_9d8ce7b6_0011,WORDSTAT,OBSERVED,wordstat_region_distribution,q_806670c30a84,славянские обереги,q_806670c30a84,славянские обереги,2026-08-12,DATE,10995,DEVICE_ALL,marketing/data/raw/wordstat/recovery/20260812__wordstat__getregionsdistribution__slavyanskie-oberegi__regions__all__recovered.json,wordstat-manual-bridge request_id=d91f26d9-ac4e-498b-a210-2de336d04111,RECOVERED,getRegionsDistribution,,NOT_APPLICABLE,1669,MEASURED,REGION_DISTRIBUTION,11,Краснодарский край; share=0.00034285808923116166; affinityIndex=146.30457905249472.
