schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260812_64328278,o_wordstat_20260812_64328278_summary_0001,WORDSTAT,OBSERVED,wordstat_summary,q_f31b17922a59,оберег по знаку зодиака,q_f31b17922a59,оберег по знаку зодиака,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__obereg-po-znaku-zodiaka__225__all.json,wordstat-manual-bridge request_id=aaa429a1-786b-4741-bae0-30b99a4451bc,VALID,getTop,710,MEASURED,,NOT_APPLICABLE,SUMMARY,,"GetTop totalCount; raw preserves all returned results and associations. Normalized discovery slice retains root, stone/date/female demand context and explicit Slavic/talisman crossover; associations are not promoted to demand."
1.1,m_wordstat_20260812_64328278,o_wordstat_20260812_64328278_phrase_0002,WORDSTAT,OBSERVED,wordstat_phrase,q_f31b17922a59,оберег по знаку зодиака,q_f31b17922a59,оберег по знаку зодиака,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__obereg-po-znaku-zodiaka__225__all.json,wordstat-manual-bridge request_id=aaa429a1-786b-4741-bae0-30b99a4451bc,VALID,getTop,,NOT_APPLICABLE,710,MEASURED,RESULT,1,
1.1,m_wordstat_20260812_64328278,o_wordstat_20260812_64328278_phrase_0003,WORDSTAT,OBSERVED,wordstat_phrase,q_f31b17922a59,оберег по знаку зодиака,q_87a43bee7bc5,камни обереги по знакам зодиака,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__obereg-po-znaku-zodiaka__225__all.json,wordstat-manual-bridge request_id=aaa429a1-786b-4741-bae0-30b99a4451bc,VALID,getTop,,NOT_APPLICABLE,477,MEASURED,RESULT,2,
1.1,m_wordstat_20260812_64328278,o_wordstat_20260812_64328278_phrase_0004,WORDSTAT,OBSERVED,wordstat_phrase,q_f31b17922a59,оберег по знаку зодиака,q_96bf35e5b227,женщины обереги по знакам зодиака,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__obereg-po-znaku-zodiaka__225__all.json,wordstat-manual-bridge request_id=aaa429a1-786b-4741-bae0-30b99a4451bc,VALID,getTop,,NOT_APPLICABLE,194,MEASURED,RESULT,3,
1.1,m_wordstat_20260812_64328278,o_wordstat_20260812_64328278_phrase_0005,WORDSTAT,OBSERVED,wordstat_phrase,q_f31b17922a59,оберег по знаку зодиака,q_6da3c5b9a36c,оберег по знаку зодиака и дате,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__obereg-po-znaku-zodiaka__225__all.json,wordstat-manual-bridge request_id=aaa429a1-786b-4741-bae0-30b99a4451bc,VALID,getTop,,NOT_APPLICABLE,117,MEASURED,RESULT,6,
1.1,m_wordstat_20260812_64328278,o_wordstat_20260812_64328278_phrase_0006,WORDSTAT,OBSERVED,wordstat_phrase,q_f31b17922a59,оберег по знаку зодиака,q_dbb5bfbaad30,славянский оберег по знаку зодиака,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__obereg-po-znaku-zodiaka__225__all.json,wordstat-manual-bridge request_id=aaa429a1-786b-4741-bae0-30b99a4451bc,VALID,getTop,,NOT_APPLICABLE,77,MEASURED,RESULT,7,
1.1,m_wordstat_20260812_64328278,o_wordstat_20260812_64328278_phrase_0007,WORDSTAT,OBSERVED,wordstat_phrase,q_f31b17922a59,оберег по знаку зодиака,q_c416f72960ec,оберег от сглаза по знакам зодиака,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__obereg-po-znaku-zodiaka__225__all.json,wordstat-manual-bridge request_id=aaa429a1-786b-4741-bae0-30b99a4451bc,VALID,getTop,,NOT_APPLICABLE,49,MEASURED,RESULT,8,
1.1,m_wordstat_20260812_64328278,o_wordstat_20260812_64328278_phrase_0008,WORDSTAT,OBSERVED,wordstat_phrase,q_f31b17922a59,оберег по знаку зодиака,q_8d43dcee0180,обереги и талисманы по знаку зодиака,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__obereg-po-znaku-zodiaka__225__all.json,wordstat-manual-bridge request_id=aaa429a1-786b-4741-bae0-30b99a4451bc,VALID,getTop,,NOT_APPLICABLE,31,MEASURED,RESULT,9,
1.1,m_wordstat_20260812_64328278,o_wordstat_20260812_64328278_phrase_0009,WORDSTAT,OBSERVED,wordstat_phrase,q_f31b17922a59,оберег по знаку зодиака,q_4e31d1273ef8,славянский оберег по знаку зодиака дева,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__obereg-po-znaku-zodiaka__225__all.json,wordstat-manual-bridge request_id=aaa429a1-786b-4741-bae0-30b99a4451bc,VALID,getTop,,NOT_APPLICABLE,10,MEASURED,RESULT,12,
1.1,m_wordstat_20260812_64328278,o_wordstat_20260812_64328278_phrase_0010,WORDSTAT,OBSERVED,wordstat_phrase,q_f31b17922a59,оберег по знаку зодиака,q_7d1afbcc8f88,славянские талисманы и обереги по знаку зодиака,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__obereg-po-znaku-zodiaka__225__all.json,wordstat-manual-bridge request_id=aaa429a1-786b-4741-bae0-30b99a4451bc,VALID,getTop,,NOT_APPLICABLE,6,MEASURED,RESULT,15,Low-volume explicit Slavic crossover retained as discovery evidence.
