schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260812_35db3a4f,o_wordstat_20260812_35db3a4f_summary_0001,WORDSTAT,OBSERVED,wordstat_summary,q_obereg_veles,оберег велес,q_obereg_veles,оберег велес,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__obereg-veles__225__all.json,wordstat-manual-bridge request_id=35db3a4f-7942-4c23-95ec-c92fbdaf6a07,VALID,getTop,1507,MEASURED,,NOT_APPLICABLE,SUMMARY,,"GetTop totalCount; broad Veles-obereg root. Existing Pechat Velesa pilot remains separate evidence; child counts overlap and are not summed."
1.1,m_wordstat_20260812_35db3a4f,o_wordstat_20260812_35db3a4f_phrase_0002,WORDSTAT,OBSERVED,wordstat_phrase,q_obereg_veles,оберег велес,q_oberega_velesa,оберег велеса,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__obereg-veles__225__all.json,wordstat-manual-bridge request_id=35db3a4f-7942-4c23-95ec-c92fbdaf6a07,VALID,getTop,,NOT_APPLICABLE,1507,MEASURED,RESULT,1,
1.1,m_wordstat_20260812_35db3a4f,o_wordstat_20260812_35db3a4f_phrase_0003,WORDSTAT,OBSERVED,wordstat_phrase,q_obereg_veles,оберег велес,q_veles_znachenie,велес оберег значение,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__obereg-veles__225__all.json,wordstat-manual-bridge request_id=35db3a4f-7942-4c23-95ec-c92fbdaf6a07,VALID,getTop,,NOT_APPLICABLE,213,MEASURED,RESULT,2,
1.1,m_wordstat_20260812_35db3a4f,o_wordstat_20260812_35db3a4f_phrase_0004,WORDSTAT,OBSERVED,wordstat_phrase,q_obereg_veles,оберег велес,q_slavic_veles,славянский оберег велес,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__obereg-veles__225__all.json,wordstat-manual-bridge request_id=35db3a4f-7942-4c23-95ec-c92fbdaf6a07,VALID,getTop,,NOT_APPLICABLE,170,MEASURED,RESULT,3,
1.1,m_wordstat_20260812_35db3a4f,o_wordstat_20260812_35db3a4f_phrase_0005,WORDSTAT,OBSERVED,wordstat_phrase,q_obereg_veles,оберег велес,q_pechat_velesa,оберег печать велеса,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__obereg-veles__225__all.json,wordstat-manual-bridge request_id=35db3a4f-7942-4c23-95ec-c92fbdaf6a07,VALID,getTop,,NOT_APPLICABLE,159,MEASURED,RESULT,4,Existing pilot stack covers this child separately; retained only as overlap evidence.
1.1,m_wordstat_20260812_35db3a4f,o_wordstat_20260812_35db3a4f_phrase_0006,WORDSTAT,OBSERVED,wordstat_phrase,q_obereg_veles,оберег велес,q_lapa_velesa,лапа велеса оберег,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__obereg-veles__225__all.json,wordstat-manual-bridge request_id=35db3a4f-7942-4c23-95ec-c92fbdaf6a07,VALID,getTop,,NOT_APPLICABLE,138,MEASURED,RESULT,5,
1.1,m_wordstat_20260812_35db3a4f,o_wordstat_20260812_35db3a4f_phrase_0007,WORDSTAT,OBSERVED,wordstat_phrase,q_obereg_veles,оберег велес,q_symbol_velesa,символ велеса оберег,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__obereg-veles__225__all.json,wordstat-manual-bridge request_id=35db3a4f-7942-4c23-95ec-c92fbdaf6a07,VALID,getTop,,NOT_APPLICABLE,126,MEASURED,RESULT,6,
1.1,m_wordstat_20260812_35db3a4f,o_wordstat_20260812_35db3a4f_phrase_0008,WORDSTAT,OBSERVED,wordstat_phrase,q_obereg_veles,оберег велес,q_buy_velesa,оберег велеса купить,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__obereg-veles__225__all.json,wordstat-manual-bridge request_id=35db3a4f-7942-4c23-95ec-c92fbdaf6a07,VALID,getTop,,NOT_APPLICABLE,108,MEASURED,RESULT,7,Explicit purchase-intent child.
1.1,m_wordstat_20260812_35db3a4f,o_wordstat_20260812_35db3a4f_phrase_0009,WORDSTAT,OBSERVED,wordstat_phrase,q_obereg_veles,оберег велес,q_veles_gold,оберег велес золото,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__obereg-veles__225__all.json,wordstat-manual-bridge request_id=35db3a4f-7942-4c23-95ec-c92fbdaf6a07,VALID,getTop,,NOT_APPLICABLE,54,MEASURED,RESULT,12,
1.1,m_wordstat_20260812_35db3a4f,o_wordstat_20260812_35db3a4f_phrase_0010,WORDSTAT,OBSERVED,wordstat_phrase,q_obereg_veles,оберег велес,q_veles_silver,оберег велеса серебро,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__obereg-veles__225__all.json,wordstat-manual-bridge request_id=35db3a4f-7942-4c23-95ec-c92fbdaf6a07,VALID,getTop,,NOT_APPLICABLE,50,MEASURED,RESULT,13,
