schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260812_898edc2d,o_wordstat_20260812_898edc2d_summary_0001,WORDSTAT,OBSERVED,wordstat_summary,q_f35dd1f3e6a2,подарок мужчине в машину,q_f35dd1f3e6a2,подарок мужчине в машину,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__podarok-muzhchine-v-mashinu__225__all.json,wordstat-manual-bridge request_id=5df1118f-702b-4bcd-b4d1-c04d897cc9f9,VALID,getTop,1070,MEASURED,,NOT_APPLICABLE,SUMMARY,,GetTop totalCount; overlapping RESULT phrases retained separately and not summed; associations are discovery-only; gift-layer gap closure.
1.1,m_wordstat_20260812_898edc2d,o_wordstat_20260812_898edc2d_phrase_0002,WORDSTAT,OBSERVED,wordstat_phrase,q_f35dd1f3e6a2,подарок мужчине в машину,q_6a17c306c947,подарок в машину мужчине,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__podarok-muzhchine-v-mashinu__225__all.json,wordstat-manual-bridge request_id=5df1118f-702b-4bcd-b4d1-c04d897cc9f9,VALID,getTop,,NOT_APPLICABLE,1070,MEASURED,RESULT,1,Canonical reordered wording.
1.1,m_wordstat_20260812_898edc2d,o_wordstat_20260812_898edc2d_phrase_0003,WORDSTAT,OBSERVED,wordstat_phrase,q_f35dd1f3e6a2,подарок мужчине в машину,q_23285369805a,подарок в машину мужчине на день,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__podarok-muzhchine-v-mashinu__225__all.json,wordstat-manual-bridge request_id=5df1118f-702b-4bcd-b4d1-c04d897cc9f9,VALID,getTop,,NOT_APPLICABLE,209,MEASURED,RESULT,2,Occasion-intent child.
1.1,m_wordstat_20260812_898edc2d,o_wordstat_20260812_898edc2d_phrase_0004,WORDSTAT,OBSERVED,wordstat_phrase,q_f35dd1f3e6a2,подарок мужчине в машину,q_1257459f4d08,подарок мужчине на день рождения в машину,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__podarok-muzhchine-v-mashinu__225__all.json,wordstat-manual-bridge request_id=5df1118f-702b-4bcd-b4d1-c04d897cc9f9,VALID,getTop,,NOT_APPLICABLE,201,MEASURED,RESULT,3,Birthday gift-intent child.
1.1,m_wordstat_20260812_898edc2d,o_wordstat_20260812_898edc2d_phrase_0005,WORDSTAT,OBSERVED,wordstat_phrase,q_f35dd1f3e6a2,подарок мужчине в машину,q_6710d96c6555,аксессуары для машины в подарок мужчине,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__podarok-muzhchine-v-mashinu__225__all.json,wordstat-manual-bridge request_id=5df1118f-702b-4bcd-b4d1-c04d897cc9f9,VALID,getTop,,NOT_APPLICABLE,169,MEASURED,RESULT,4,Product-category gift child.
1.1,m_wordstat_20260812_898edc2d,o_wordstat_20260812_898edc2d_phrase_0006,WORDSTAT,OBSERVED,wordstat_phrase,q_f35dd1f3e6a2,подарок мужчине в машину,q_0eed06e13d94,набор для машины в подарок мужчине,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__podarok-muzhchine-v-mashinu__225__all.json,wordstat-manual-bridge request_id=5df1118f-702b-4bcd-b4d1-c04d897cc9f9,VALID,getTop,,NOT_APPLICABLE,65,MEASURED,RESULT,5,Gift-set child.
1.1,m_wordstat_20260812_898edc2d,o_wordstat_20260812_898edc2d_phrase_0007,WORDSTAT,OBSERVED,wordstat_phrase,q_f35dd1f3e6a2,подарок мужчине в машину,q_13ee6e0bb2e0,гаджеты в машину в подарок мужчине,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__podarok-muzhchine-v-mashinu__225__all.json,wordstat-manual-bridge request_id=5df1118f-702b-4bcd-b4d1-c04d897cc9f9,VALID,getTop,,NOT_APPLICABLE,37,MEASURED,RESULT,6,Gadget gift child.
1.1,m_wordstat_20260812_898edc2d,o_wordstat_20260812_898edc2d_phrase_0008,WORDSTAT,OBSERVED,wordstat_phrase,q_f35dd1f3e6a2,подарок мужчине в машину,q_70b72566f28c,что купить для машины в подарок мужчине,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__podarok-muzhchine-v-mashinu__225__all.json,wordstat-manual-bridge request_id=5df1118f-702b-4bcd-b4d1-c04d897cc9f9,VALID,getTop,,NOT_APPLICABLE,30,MEASURED,RESULT,7,Purchase-choice gift child.
1.1,m_wordstat_20260812_898edc2d,o_wordstat_20260812_898edc2d_phrase_0009,WORDSTAT,OBSERVED,wordstat_phrase,q_f35dd1f3e6a2,подарок мужчине в машину,q_778b6676dc35,подарки для автомобилистов в машину мужчине,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__podarok-muzhchine-v-mashinu__225__all.json,wordstat-manual-bridge request_id=5df1118f-702b-4bcd-b4d1-c04d897cc9f9,VALID,getTop,,NOT_APPLICABLE,26,MEASURED,RESULT,8,Automobilist recipient child.
1.1,m_wordstat_20260812_898edc2d,o_wordstat_20260812_898edc2d_phrase_0010,WORDSTAT,OBSERVED,wordstat_phrase,q_f35dd1f3e6a2,подарок мужчине в машину,q_ec85105f6c74,полезные вещи для машины в подарок мужчине,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__podarok-muzhchine-v-mashinu__225__all.json,wordstat-manual-bridge request_id=5df1118f-702b-4bcd-b4d1-c04d897cc9f9,VALID,getTop,,NOT_APPLICABLE,13,MEASURED,RESULT,9,Utility-oriented gift child.
1.1,m_wordstat_20260812_898edc2d,o_wordstat_20260812_898edc2d_phrase_0011,WORDSTAT,OBSERVED,wordstat_phrase,q_f35dd1f3e6a2,подарок мужчине в машину,q_225a67dd1ba0,набор ароматизаторов в машину подарок для мужчин,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__podarok-muzhchine-v-mashinu__225__all.json,wordstat-manual-bridge request_id=5df1118f-702b-4bcd-b4d1-c04d897cc9f9,VALID,getTop,,NOT_APPLICABLE,9,MEASURED,RESULT,10,Specific accessory-set child.
1.1,m_wordstat_20260812_898edc2d,o_wordstat_20260812_898edc2d_phrase_0012,WORDSTAT,OBSERVED,wordstat_phrase,q_f35dd1f3e6a2,подарок мужчине в машину,q_0a48ef18a5cb,набор для мытья машины в подарок мужчине,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__podarok-muzhchine-v-mashinu__225__all.json,wordstat-manual-bridge request_id=5df1118f-702b-4bcd-b4d1-c04d897cc9f9,VALID,getTop,,NOT_APPLICABLE,8,MEASURED,RESULT,11,Car-care gift-set child.
