schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260812_04b49138,o_wordstat_20260812_04b49138_summary_0001,WORDSTAT,OBSERVED,wordstat_summary,q_2462848da318,шлем ужаса оберег,q_2462848da318,шлем ужаса оберег,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__shlem-uzhasa-obereg__225__all.json,wordstat-manual-bridge request_id=8b50f391-f2d9-41fb-9ab3-75119052bc09,VALID,getTop,474,MEASURED,,NOT_APPLICABLE,SUMMARY,,"Standalone Norse/runic root confirmed; commercial child buy=36. Associations are mostly horror/noise and are not promoted to product demand."
1.1,m_wordstat_20260812_04b49138,o_wordstat_20260812_04b49138_phrase_0002,WORDSTAT,OBSERVED,wordstat_phrase,q_2462848da318,шлем ужаса оберег,q_2462848da318,шлем ужаса оберег,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__shlem-uzhasa-obereg__225__all.json,wordstat-manual-bridge request_id=8b50f391-f2d9-41fb-9ab3-75119052bc09,VALID,getTop,,NOT_APPLICABLE,474,MEASURED,RESULT,1,
1.1,m_wordstat_20260812_04b49138,o_wordstat_20260812_04b49138_phrase_0003,WORDSTAT,OBSERVED,wordstat_phrase,q_2462848da318,шлем ужаса оберег,q_59e26693be44,шлем ужаса оберег значение,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__shlem-uzhasa-obereg__225__all.json,wordstat-manual-bridge request_id=8b50f391-f2d9-41fb-9ab3-75119052bc09,VALID,getTop,,NOT_APPLICABLE,129,MEASURED,RESULT,2,
1.1,m_wordstat_20260812_04b49138,o_wordstat_20260812_04b49138_phrase_0004,WORDSTAT,OBSERVED,wordstat_phrase,q_2462848da318,шлем ужаса оберег,q_82a3e1a1ff3d,славянские обереги шлем ужаса,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__shlem-uzhasa-obereg__225__all.json,wordstat-manual-bridge request_id=8b50f391-f2d9-41fb-9ab3-75119052bc09,VALID,getTop,,NOT_APPLICABLE,39,MEASURED,RESULT,3,"Taxonomy crossover retained; not summed with root."
1.1,m_wordstat_20260812_04b49138,o_wordstat_20260812_04b49138_phrase_0005,WORDSTAT,OBSERVED,wordstat_phrase,q_2462848da318,шлем ужаса оберег,q_bd6fa5eeb7d5,шлем ужаса оберег купить,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__shlem-uzhasa-obereg__225__all.json,wordstat-manual-bridge request_id=8b50f391-f2d9-41fb-9ab3-75119052bc09,VALID,getTop,,NOT_APPLICABLE,36,MEASURED,RESULT,4,"Explicit commercial intent."
1.1,m_wordstat_20260812_04b49138,o_wordstat_20260812_04b49138_phrase_0006,WORDSTAT,OBSERVED,wordstat_phrase,q_2462848da318,шлем ужаса оберег,q_60b1cec8c3f1,оберег шлем ужаса агисхьяльм,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__shlem-uzhasa-obereg__225__all.json,wordstat-manual-bridge request_id=8b50f391-f2d9-41fb-9ab3-75119052bc09,VALID,getTop,,NOT_APPLICABLE,26,MEASURED,RESULT,5,
1.1,m_wordstat_20260812_04b49138,o_wordstat_20260812_04b49138_phrase_0007,WORDSTAT,OBSERVED,wordstat_phrase,q_2462848da318,шлем ужаса оберег,q_3b0c4f666220,скандинавский оберег шлем ужаса,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__shlem-uzhasa-obereg__225__all.json,wordstat-manual-bridge request_id=8b50f391-f2d9-41fb-9ab3-75119052bc09,VALID,getTop,,NOT_APPLICABLE,23,MEASURED,RESULT,6,
1.1,m_wordstat_20260812_04b49138,o_wordstat_20260812_04b49138_phrase_0008,WORDSTAT,OBSERVED,wordstat_phrase,q_2462848da318,шлем ужаса оберег,q_f456637e713b,оберег шлем ужаса для мужчин,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__shlem-uzhasa-obereg__225__all.json,wordstat-manual-bridge request_id=8b50f391-f2d9-41fb-9ab3-75119052bc09,VALID,getTop,,NOT_APPLICABLE,13,MEASURED,RESULT,7,
1.1,m_wordstat_20260812_04b49138,o_wordstat_20260812_04b49138_phrase_0009,WORDSTAT,OBSERVED,wordstat_phrase,q_2462848da318,шлем ужаса оберег,q_68314afd3118,шлем ужаса оберег значение для мужчин,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__shlem-uzhasa-obereg__225__all.json,wordstat-manual-bridge request_id=8b50f391-f2d9-41fb-9ab3-75119052bc09,VALID,getTop,,NOT_APPLICABLE,13,MEASURED,RESULT,8,
1.1,m_wordstat_20260812_04b49138,o_wordstat_20260812_04b49138_phrase_0010,WORDSTAT,OBSERVED,wordstat_phrase,q_2462848da318,шлем ужаса оберег,q_fbdd42832de6,где в новосибирске купить оберег шлем ужаса,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__shlem-uzhasa-obereg__225__all.json,wordstat-manual-bridge request_id=8b50f391-f2d9-41fb-9ab3-75119052bc09,VALID,getTop,,NOT_APPLICABLE,11,MEASURED,RESULT,9,"Local commercial child; retained as discovery only."
