schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260812_4c840233,o_wordstat_20260812_4c840233_summary_0001,WORDSTAT,OBSERVED,wordstat_summary,q_dfba2a0449f3,славянские обереги,q_dfba2a0449f3,славянские обереги,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__slavyanskie-oberegi__225__all.json,wordstat-manual-bridge request_id=8c80465f-b850-4d67-81ed-fad63cad5713,VALID,getTop,25737,MEASURED,,NOT_APPLICABLE,SUMMARY,,"GetTop totalCount. Raw preserves the full returned RESULT and ASSOCIATION arrays. Normalized slice keeps decision-relevant commercial, meaning, audience, product-family and automotive branches; association counts are not promoted to root demand."
1.1,m_wordstat_20260812_4c840233,o_wordstat_20260812_4c840233_phrase_0002,WORDSTAT,OBSERVED,wordstat_phrase,q_dfba2a0449f3,славянские обереги,q_dfba2a0449f3,славянские обереги,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__slavyanskie-oberegi__225__all.json,wordstat-manual-bridge request_id=8c80465f-b850-4d67-81ed-fad63cad5713,VALID,getTop,,NOT_APPLICABLE,25737,MEASURED,RESULT,1,
1.1,m_wordstat_20260812_4c840233,o_wordstat_20260812_4c840233_phrase_0003,WORDSTAT,OBSERVED,wordstat_phrase,q_dfba2a0449f3,славянские обереги,q_f6af1a9d03b5,славянские обереги и их значение,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__slavyanskie-oberegi__225__all.json,wordstat-manual-bridge request_id=8c80465f-b850-4d67-81ed-fad63cad5713,VALID,getTop,,NOT_APPLICABLE,1718,MEASURED,RESULT,3,
1.1,m_wordstat_20260812_4c840233,o_wordstat_20260812_4c840233_phrase_0004,WORDSTAT,OBSERVED,wordstat_phrase,q_dfba2a0449f3,славянские обереги,q_e97909887a58,славянские обереги для мужчин,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__slavyanskie-oberegi__225__all.json,wordstat-manual-bridge request_id=8c80465f-b850-4d67-81ed-fad63cad5713,VALID,getTop,,NOT_APPLICABLE,1620,MEASURED,RESULT,4,
1.1,m_wordstat_20260812_4c840233,o_wordstat_20260812_4c840233_phrase_0005,WORDSTAT,OBSERVED,wordstat_phrase,q_dfba2a0449f3,славянские обереги,q_61e1e50d1533,славянские обереги купить,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__slavyanskie-oberegi__225__all.json,wordstat-manual-bridge request_id=8c80465f-b850-4d67-81ed-fad63cad5713,VALID,getTop,,NOT_APPLICABLE,1517,MEASURED,RESULT,5,Explicit purchase-oriented child.
1.1,m_wordstat_20260812_4c840233,o_wordstat_20260812_4c840233_phrase_0006,WORDSTAT,OBSERVED,wordstat_phrase,q_dfba2a0449f3,славянские обереги,q_22a95f444344,славянские обереги для женщин,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__slavyanskie-oberegi__225__all.json,wordstat-manual-bridge request_id=8c80465f-b850-4d67-81ed-fad63cad5713,VALID,getTop,,NOT_APPLICABLE,1286,MEASURED,RESULT,10,
1.1,m_wordstat_20260812_4c840233,o_wordstat_20260812_4c840233_phrase_0007,WORDSTAT,OBSERVED,wordstat_phrase,q_dfba2a0449f3,славянские обереги,q_453254fde5f8,славянский оберег чур,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__slavyanskie-oberegi__225__all.json,wordstat-manual-bridge request_id=8c80465f-b850-4d67-81ed-fad63cad5713,VALID,getTop,,NOT_APPLICABLE,311,MEASURED,RESULT,30,Observed family branch; dedicated root measurement remains required by Wave 1.
1.1,m_wordstat_20260812_4c840233,o_wordstat_20260812_4c840233_phrase_0008,WORDSTAT,OBSERVED,wordstat_phrase,q_dfba2a0449f3,славянские обереги,q_ebe7685d2c83,алатырь славянский оберег,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__slavyanskie-oberegi__225__all.json,wordstat-manual-bridge request_id=8c80465f-b850-4d67-81ed-fad63cad5713,VALID,getTop,,NOT_APPLICABLE,251,MEASURED,RESULT,38,Observed family branch; dedicated root `алатырь оберег` remains required by Wave 1.
1.1,m_wordstat_20260812_4c840233,o_wordstat_20260812_4c840233_phrase_0009,WORDSTAT,OBSERVED,wordstat_phrase,q_dfba2a0449f3,славянские обереги,q_e690f3b426f0,славянский оберег велес,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__slavyanskie-oberegi__225__all.json,wordstat-manual-bridge request_id=8c80465f-b850-4d67-81ed-fad63cad5713,VALID,getTop,,NOT_APPLICABLE,170,MEASURED,RESULT,,Observed family branch; dedicated root `оберег велес` remains required by Wave 1.
1.1,m_wordstat_20260812_4c840233,o_wordstat_20260812_4c840233_phrase_0010,WORDSTAT,OBSERVED,wordstat_phrase,q_dfba2a0449f3,славянские обереги,q_70da1a6a8e64,славянский оберег сварог,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__slavyanskie-oberegi__225__all.json,wordstat-manual-bridge request_id=8c80465f-b850-4d67-81ed-fad63cad5713,VALID,getTop,,NOT_APPLICABLE,93,MEASURED,RESULT,,Observed family branch; dedicated root `сварог оберег` remains required by Wave 1.
1.1,m_wordstat_20260812_4c840233,o_wordstat_20260812_4c840233_phrase_0011,WORDSTAT,OBSERVED,wordstat_phrase,q_dfba2a0449f3,славянские обереги,q_9839a1db818e,славянский оберег в машину,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__slavyanskie-oberegi__225__all.json,wordstat-manual-bridge request_id=8c80465f-b850-4d67-81ed-fad63cad5713,VALID,getTop,,NOT_APPLICABLE,72,MEASURED,RESULT,,Matches the already measured automotive root totalCount=72; retained as cross-root consistency evidence, not summed.
1.1,m_wordstat_20260812_4c840233,o_wordstat_20260812_4c840233_phrase_0012,WORDSTAT,OBSERVED,wordstat_phrase,q_dfba2a0449f3,славянские обереги,q_3dcf9996e3cd,славянский оберег вегвизир,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__slavyanskie-oberegi__225__all.json,wordstat-manual-bridge request_id=8c80465f-b850-4d67-81ed-fad63cad5713,VALID,getTop,,NOT_APPLICABLE,62,MEASURED,RESULT,,Cross-family wording retained as discovery evidence; norse/runic roots are measured separately.
1.1,m_wordstat_20260812_4c840233,o_wordstat_20260812_4c840233_phrase_0013,WORDSTAT,OBSERVED,wordstat_phrase,q_dfba2a0449f3,славянские обереги,q_bcc32b541c77,славянский оберег колядник,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__slavyanskie-oberegi__225__all.json,wordstat-manual-bridge request_id=8c80465f-b850-4d67-81ed-fad63cad5713,VALID,getTop,,NOT_APPLICABLE,9,MEASURED,RESULT,,Observed family branch; dedicated root `колядник оберег` remains required by Wave 1.
1.1,m_wordstat_20260812_4c840233,o_wordstat_20260812_4c840233_phrase_0014,WORDSTAT,OBSERVED,wordstat_phrase,q_dfba2a0449f3,славянские обереги,q_82d13c5d406c,славянские обереги водителей,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__slavyanskie-oberegi__225__all.json,wordstat-manual-bridge request_id=8c80465f-b850-4d67-81ed-fad63cad5713,VALID,getTop,,NOT_APPLICABLE,19,MEASURED,RESULT,,Automotive-oriented discovery child; not a replacement for existing automotive roots.
