schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260812_svarog,o_wordstat_20260812_svarog_summary_0001,WORDSTAT,OBSERVED,wordstat_summary,q_svarog_obereg,сварог оберег,q_svarog_obereg,сварог оберег,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__svarog-obereg__225__all.json,wordstat-manual-bridge request_id=02ab4d45-244e-45bb-955b-480ec983368d,VALID,getTop,761,MEASURED,,NOT_APPLICABLE,SUMMARY,,"GetTop totalCount; child counts overlap and are not summed. Associations retained only in raw."
1.1,m_wordstat_20260812_svarog,o_wordstat_20260812_svarog_phrase_0002,WORDSTAT,OBSERVED,wordstat_phrase,q_svarog_obereg,сварог оберег,q_obereg_svaroga,оберег сварога,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__svarog-obereg__225__all.json,wordstat-manual-bridge request_id=02ab4d45-244e-45bb-955b-480ec983368d,VALID,getTop,,NOT_APPLICABLE,576,MEASURED,RESULT,1,
1.1,m_wordstat_20260812_svarog,o_wordstat_20260812_svarog_phrase_0003,WORDSTAT,OBSERVED,wordstat_phrase,q_svarog_obereg,сварог оберег,q_kvadrat_svaroga,квадрат сварога обереги,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__svarog-obereg__225__all.json,wordstat-manual-bridge request_id=02ab4d45-244e-45bb-955b-480ec983368d,VALID,getTop,,NOT_APPLICABLE,172,MEASURED,RESULT,2,
1.1,m_wordstat_20260812_svarog,o_wordstat_20260812_svarog_phrase_0004,WORDSTAT,OBSERVED,wordstat_phrase,q_svarog_obereg,сварог оберег,q_obereg_svarog_kupit,оберег сварог купить,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__svarog-obereg__225__all.json,wordstat-manual-bridge request_id=02ab4d45-244e-45bb-955b-480ec983368d,VALID,getTop,,NOT_APPLICABLE,150,MEASURED,RESULT,3,Explicit commercial intent.
1.1,m_wordstat_20260812_svarog,o_wordstat_20260812_svarog_phrase_0005,WORDSTAT,OBSERVED,wordstat_phrase,q_svarog_obereg,сварог оберег,q_svarog_obereg_znachenie,сварог оберег значение,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__svarog-obereg__225__all.json,wordstat-manual-bridge request_id=02ab4d45-244e-45bb-955b-480ec983368d,VALID,getTop,,NOT_APPLICABLE,104,MEASURED,RESULT,4,Meaning intent.
1.1,m_wordstat_20260812_svarog,o_wordstat_20260812_svarog_phrase_0006,WORDSTAT,OBSERVED,wordstat_phrase,q_svarog_obereg,сварог оберег,q_slavic_svarog,славянский оберег сварог,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__svarog-obereg__225__all.json,wordstat-manual-bridge request_id=02ab4d45-244e-45bb-955b-480ec983368d,VALID,getTop,,NOT_APPLICABLE,93,MEASURED,RESULT,5,Explicit Slavic framing.
1.1,m_wordstat_20260812_svarog,o_wordstat_20260812_svarog_phrase_0007,WORDSTAT,OBSERVED,wordstat_phrase,q_svarog_obereg,сварог оберег,q_zvezda_svarog,звезда сварог оберег,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__svarog-obereg__225__all.json,wordstat-manual-bridge request_id=02ab4d45-244e-45bb-955b-480ec983368d,VALID,getTop,,NOT_APPLICABLE,91,MEASURED,RESULT,6,
1.1,m_wordstat_20260812_svarog,o_wordstat_20260812_svarog_phrase_0008,WORDSTAT,OBSERVED,wordstat_phrase,q_svarog_obereg,сварог оберег,q_kvadrat_svaroga_kupit,оберег квадрат сварога купить,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__svarog-obereg__225__all.json,wordstat-manual-bridge request_id=02ab4d45-244e-45bb-955b-480ec983368d,VALID,getTop,,NOT_APPLICABLE,76,MEASURED,RESULT,7,Explicit commercial intent.
1.1,m_wordstat_20260812_svarog,o_wordstat_20260812_svarog_phrase_0009,WORDSTAT,OBSERVED,wordstat_phrase,q_svarog_obereg,сварог оберег,q_molot_svaroga,оберег молот сварога,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__svarog-obereg__225__all.json,wordstat-manual-bridge request_id=02ab4d45-244e-45bb-955b-480ec983368d,VALID,getTop,,NOT_APPLICABLE,72,MEASURED,RESULT,8,
1.1,m_wordstat_20260812_svarog,o_wordstat_20260812_svarog_phrase_0010,WORDSTAT,OBSERVED,wordstat_phrase,q_svarog_obereg,сварог оберег,q_svarog_men,сварог оберег для мужчин,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__svarog-obereg__225__all.json,wordstat-manual-bridge request_id=02ab4d45-244e-45bb-955b-480ec983368d,VALID,getTop,,NOT_APPLICABLE,61,MEASURED,RESULT,9,Male-audience branch.
