schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260812_cb546ca7,o_wordstat_20260812_cb546ca7_summary_0001,WORDSTAT,OBSERVED,wordstat_summary,q_bceef2201e2d,талисман знак зодиака,q_bceef2201e2d,талисман знак зодиака,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__talisman-znak-zodiaka__225__all.json,wordstat-manual-bridge request_id=20e0e31f-c027-44e0-a294-f4837fa68694,VALID,getTop,3422,MEASURED,,NOT_APPLICABLE,SUMMARY,,GetTop totalCount; raw preserves full returned results and associations; this normalized discovery slice retains decision-relevant family and sign-specific observations.
1.1,m_wordstat_20260812_cb546ca7,o_wordstat_20260812_cb546ca7_phrase_0002,WORDSTAT,OBSERVED,wordstat_phrase,q_bceef2201e2d,талисман знак зодиака,q_324f13f6430e,талисман по знаку зодиака,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__talisman-znak-zodiaka__225__all.json,wordstat-manual-bridge request_id=20e0e31f-c027-44e0-a294-f4837fa68694,VALID,getTop,,NOT_APPLICABLE,1214,MEASURED,RESULT,1,
1.1,m_wordstat_20260812_cb546ca7,o_wordstat_20260812_cb546ca7_phrase_0003,WORDSTAT,OBSERVED,wordstat_phrase,q_bceef2201e2d,талисман знак зодиака,q_953adf8415d4,знак зодиака женщина талисман,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__talisman-znak-zodiaka__225__all.json,wordstat-manual-bridge request_id=20e0e31f-c027-44e0-a294-f4837fa68694,VALID,getTop,,NOT_APPLICABLE,916,MEASURED,RESULT,2,
1.1,m_wordstat_20260812_cb546ca7,o_wordstat_20260812_cb546ca7_phrase_0004,WORDSTAT,OBSERVED,wordstat_phrase,q_bceef2201e2d,талисман знак зодиака,q_539eca839a78,камни талисманы по знаку зодиака,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__talisman-znak-zodiaka__225__all.json,wordstat-manual-bridge request_id=20e0e31f-c027-44e0-a294-f4837fa68694,VALID,getTop,,NOT_APPLICABLE,844,MEASURED,RESULT,3,
1.1,m_wordstat_20260812_cb546ca7,o_wordstat_20260812_cb546ca7_phrase_0005,WORDSTAT,OBSERVED,wordstat_phrase,q_bceef2201e2d,талисман знак зодиака,q_f8324640b81a,талисман знака зодиака рак,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__talisman-znak-zodiaka__225__all.json,wordstat-manual-bridge request_id=20e0e31f-c027-44e0-a294-f4837fa68694,VALID,getTop,,NOT_APPLICABLE,304,MEASURED,RESULT,7,
1.1,m_wordstat_20260812_cb546ca7,o_wordstat_20260812_cb546ca7_phrase_0006,WORDSTAT,OBSERVED,wordstat_phrase,q_bceef2201e2d,талисман знак зодиака,q_da90ba2e8bd9,талисман знака зодиака дева,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__talisman-znak-zodiaka__225__all.json,wordstat-manual-bridge request_id=20e0e31f-c027-44e0-a294-f4837fa68694,VALID,getTop,,NOT_APPLICABLE,187,MEASURED,RESULT,10,
1.1,m_wordstat_20260812_cb546ca7,o_wordstat_20260812_cb546ca7_phrase_0007,WORDSTAT,OBSERVED,wordstat_phrase,q_bceef2201e2d,талисман знак зодиака,q_9fc07d36a268,талисман знака зодиака близнецы,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__talisman-znak-zodiaka__225__all.json,wordstat-manual-bridge request_id=20e0e31f-c027-44e0-a294-f4837fa68694,VALID,getTop,,NOT_APPLICABLE,160,MEASURED,RESULT,12,
1.1,m_wordstat_20260812_cb546ca7,o_wordstat_20260812_cb546ca7_phrase_0008,WORDSTAT,OBSERVED,wordstat_phrase,q_bceef2201e2d,талисман знак зодиака,q_e36c398a0bb3,талисман знака зодиака весы,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__talisman-znak-zodiaka__225__all.json,wordstat-manual-bridge request_id=20e0e31f-c027-44e0-a294-f4837fa68694,VALID,getTop,,NOT_APPLICABLE,158,MEASURED,RESULT,13,
1.1,m_wordstat_20260812_cb546ca7,o_wordstat_20260812_cb546ca7_phrase_0009,WORDSTAT,OBSERVED,wordstat_phrase,q_bceef2201e2d,талисман знак зодиака,q_1fb24dfe4054,талисман знака зодиака стрелец,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__talisman-znak-zodiaka__225__all.json,wordstat-manual-bridge request_id=20e0e31f-c027-44e0-a294-f4837fa68694,VALID,getTop,,NOT_APPLICABLE,149,MEASURED,RESULT,15,
1.1,m_wordstat_20260812_cb546ca7,o_wordstat_20260812_cb546ca7_phrase_0010,WORDSTAT,OBSERVED,wordstat_phrase,q_bceef2201e2d,талисман знак зодиака,q_61a03e2d2a47,талисман для знака зодиака лев,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__talisman-znak-zodiaka__225__all.json,wordstat-manual-bridge request_id=20e0e31f-c027-44e0-a294-f4837fa68694,VALID,getTop,,NOT_APPLICABLE,139,MEASURED,RESULT,16,
