schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260812_7bb2ab1d,o_wordstat_20260812_7bb2ab1d_summary_0001,WORDSTAT,OBSERVED,wordstat_summary,q_583a9b9add79,знак зодиака в машину,q_583a9b9add79,знак зодиака в машину,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__znak-zodiaka-v-mashinu__225__all.json,wordstat-manual-bridge request_id=fa37e008-58bf-4ffa-bd2f-07ee2a3d0cbb,VALID,getTop,149,MEASURED,,NOT_APPLICABLE,SUMMARY,,GetTop totalCount; child counts overlap and are not summed.
1.1,m_wordstat_20260812_7bb2ab1d,o_wordstat_20260812_7bb2ab1d_phrase_0002,WORDSTAT,OBSERVED,wordstat_phrase,q_583a9b9add79,знак зодиака в машину,q_97a4fb5103ad,знаки зодиака в машине,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__znak-zodiaka-v-mashinu__225__all.json,wordstat-manual-bridge request_id=fa37e008-58bf-4ffa-bd2f-07ee2a3d0cbb,VALID,getTop,,NOT_APPLICABLE,149,MEASURED,RESULT,1,
1.1,m_wordstat_20260812_7bb2ab1d,o_wordstat_20260812_7bb2ab1d_phrase_0003,WORDSTAT,OBSERVED,wordstat_phrase,q_583a9b9add79,знак зодиака в машину,q_f39628d5c729,подарок в машину знак зодиака лев,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__znak-zodiaka-v-mashinu__225__all.json,wordstat-manual-bridge request_id=fa37e008-58bf-4ffa-bd2f-07ee2a3d0cbb,VALID,getTop,,NOT_APPLICABLE,13,MEASURED,RESULT,2,
1.1,m_wordstat_20260812_7bb2ab1d,o_wordstat_20260812_7bb2ab1d_phrase_0004,WORDSTAT,OBSERVED,wordstat_phrase,q_583a9b9add79,знак зодиака в машину,q_815ba8dc4852,земные знаки зодиака,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__znak-zodiaka-v-mashinu__225__all.json,wordstat-manual-bridge request_id=fa37e008-58bf-4ffa-bd2f-07ee2a3d0cbb,VALID,getTop,,NOT_APPLICABLE,7086,MEASURED,ASSOCIATION,1,Association is lexical/similarity evidence and not automatically relevant demand.
1.1,m_wordstat_20260812_7bb2ab1d,o_wordstat_20260812_7bb2ab1d_phrase_0005,WORDSTAT,OBSERVED,wordstat_phrase,q_583a9b9add79,знак зодиака в машину,q_43a5a3a29571,19 мая знак зодиака,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__znak-zodiaka-v-mashinu__225__all.json,wordstat-manual-bridge request_id=fa37e008-58bf-4ffa-bd2f-07ee2a3d0cbb,VALID,getTop,,NOT_APPLICABLE,3966,MEASURED,ASSOCIATION,2,Association is lexical/similarity evidence and not automatically relevant demand.
1.1,m_wordstat_20260812_7bb2ab1d,o_wordstat_20260812_7bb2ab1d_phrase_0006,WORDSTAT,OBSERVED,wordstat_phrase,q_583a9b9add79,знак зодиака в машину,q_ddbf8dd1e2e5,19 января знак зодиака,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__znak-zodiaka-v-mashinu__225__all.json,wordstat-manual-bridge request_id=fa37e008-58bf-4ffa-bd2f-07ee2a3d0cbb,VALID,getTop,,NOT_APPLICABLE,4118,MEASURED,ASSOCIATION,3,Association is lexical/similarity evidence and not automatically relevant demand.
1.1,m_wordstat_20260812_7bb2ab1d,o_wordstat_20260812_7bb2ab1d_phrase_0007,WORDSTAT,OBSERVED,wordstat_phrase,q_583a9b9add79,знак зодиака в машину,q_f2642ef7728f,31 января знак зодиака,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__znak-zodiaka-v-mashinu__225__all.json,wordstat-manual-bridge request_id=fa37e008-58bf-4ffa-bd2f-07ee2a3d0cbb,VALID,getTop,,NOT_APPLICABLE,3742,MEASURED,ASSOCIATION,4,Association is lexical/similarity evidence and not automatically relevant demand.
1.1,m_wordstat_20260812_7bb2ab1d,o_wordstat_20260812_7bb2ab1d_phrase_0008,WORDSTAT,OBSERVED,wordstat_phrase,q_583a9b9add79,знак зодиака в машину,q_e09b604ed625,28 января знак зодиака,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__znak-zodiaka-v-mashinu__225__all.json,wordstat-manual-bridge request_id=fa37e008-58bf-4ffa-bd2f-07ee2a3d0cbb,VALID,getTop,,NOT_APPLICABLE,3514,MEASURED,ASSOCIATION,5,Association is lexical/similarity evidence and not automatically relevant demand.
1.1,m_wordstat_20260812_7bb2ab1d,o_wordstat_20260812_7bb2ab1d_phrase_0009,WORDSTAT,OBSERVED,wordstat_phrase,q_583a9b9add79,знак зодиака в машину,q_440af06a2431,какой знак зодиака в мае,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__znak-zodiaka-v-mashinu__225__all.json,wordstat-manual-bridge request_id=fa37e008-58bf-4ffa-bd2f-07ee2a3d0cbb,VALID,getTop,,NOT_APPLICABLE,3522,MEASURED,ASSOCIATION,6,Association is lexical/similarity evidence and not automatically relevant demand.
1.1,m_wordstat_20260812_7bb2ab1d,o_wordstat_20260812_7bb2ab1d_phrase_0010,WORDSTAT,OBSERVED,wordstat_phrase,q_583a9b9add79,знак зодиака в машину,q_aff09af8b391,знак зодиака в мае,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__znak-zodiaka-v-mashinu__225__all.json,wordstat-manual-bridge request_id=fa37e008-58bf-4ffa-bd2f-07ee2a3d0cbb,VALID,getTop,,NOT_APPLICABLE,5874,MEASURED,ASSOCIATION,7,Association is lexical/similarity evidence and not automatically relevant demand.
