measurement_date	query_text	request_id	rank	domain	result_type	title	url
2026-08-26	славянские обереги	search-09aa3f63-f501-4dd7-903d-62223aff930a	1	www.ozon.ru	marketplace	Славянские обереги купить на OZON по низкой цене	https://www.ozon.ru/category/slavyanskie-oberegi/
2026-08-26	славянские обереги	search-09aa3f63-f501-4dd7-903d-62223aff930a	2	slavyanskieoberegi.ru	independent_commerce	Славянские обереги из серебра 925 — Мастерская Ярило	https://slavyanskieoberegi.ru/
2026-08-26	славянские обереги	search-09aa3f63-f501-4dd7-903d-62223aff930a	3	www.wildberries.ru	marketplace	Обереги и амулеты славянские - Купить в интернет магазине...	https://www.wildberries.ru/catalog/tags/oberegi-i-amulety-slavjanskie
2026-08-26	славянские обереги	search-09aa3f63-f501-4dd7-903d-62223aff930a	4	simvolroda.ru	independent_commerce	Cлавянские обереги и чертоги ручной работы. Символрода...	https://simvolroda.ru/
2026-08-26	славянские обереги	search-09aa3f63-f501-4dd7-903d-62223aff930a	5	slavyanskieoberegi.ru	independent_commerce	Славянские обереги из серебра 925 — каталог | Ярило	https://slavyanskieoberegi.ru/katalog-slavyanskix-oberegov/
2026-08-26	славянские обереги	search-09aa3f63-f501-4dd7-903d-62223aff930a	6	slavyanskieoberegi.ru	informational	Славянские обереги — значение символов | Ярило	https://slavyanskieoberegi.ru/slavyanskie-oberegi/
2026-08-26	славянские обереги	search-09aa3f63-f501-4dd7-903d-62223aff930a	7	altay-strong.ru	independent_commerce	Купить славянские обереги из серебра 925 пробы | Авторская...	https://altay-strong.ru/category/slavjanskie-oberegi-iz-serebra/
2026-08-26	славянские обереги	search-09aa3f63-f501-4dd7-903d-62223aff930a	8	slavyanskieoberegi.ru	independent_commerce	Славянские амулеты и обереги ручной работы. Ярило мастер.	https://slavyanskieoberegi.ru/product-category/amulety/
2026-08-26	славянские обереги	search-09aa3f63-f501-4dd7-903d-62223aff930a	9	ruyan-master.ru	independent_commerce	Славянский магазин Руян Мастер - интернет-магазин славянских...	https://ruyan-master.ru/
2026-08-26	славянские обереги	search-09aa3f63-f501-4dd7-903d-62223aff930a	10	veles.bz	independent_commerce	Славянские обереги, купить славянские обереги...	https://veles.bz/catalog/slavyanskie-oberegi
2026-08-26	печать велеса	search-12a4010f-75a2-4748-8a39-27561f73ffbc	1	www.wildberries.ru	marketplace	Печать велеса - Купить в интернет магазине WildBerries.ru	https://www.wildberries.ru/catalog/podarki/muzhchinam/bizhuteriya/tags/pechat-velesa
2026-08-26	печать велеса	search-12a4010f-75a2-4748-8a39-27561f73ffbc	2	slavyanskieoberegi.ru	hybrid_commerce_info	Печать велеса	https://slavyanskieoberegi.ru/slavyanskie-oberegi/pechat-velesa/
2026-08-26	печать велеса	search-12a4010f-75a2-4748-8a39-27561f73ffbc	3	market.yandex.ru	marketplace	Печати Велеса серебро - купить по низкой цене на Яндекс Маркете	https://market.yandex.ru/category/pechati-velesa-serebro
2026-08-26	печать велеса	search-12a4010f-75a2-4748-8a39-27561f73ffbc	4	market.yandex.ru	marketplace	Печати Велеса - купить по низкой цене на Яндекс Маркете	https://market.yandex.ru/category/pechati-velesa
2026-08-26	печать велеса	search-12a4010f-75a2-4748-8a39-27561f73ffbc	5	market.yandex.ru	marketplace	Знаки Велеса - купить по низкой цене на Яндекс Маркете	https://market.yandex.ru/category/znaki-velesa
2026-08-26	печать велеса	search-12a4010f-75a2-4748-8a39-27561f73ffbc	6	www.avito.ru	marketplace	печать велеса - Купить недорого часы и украшения... | Авито	https://www.avito.ru/moskva/chasy_i_ukrasheniya?q=%D0%BF%D0%B5%D1%87%D0%B0%D1%82%D1%8C+%D0%B2%D0%B5%D0%BB%D0%B5%D1%81%D0%B0
2026-08-26	печать велеса	search-12a4010f-75a2-4748-8a39-27561f73ffbc	7	www.blog.arcanum.ru	informational	Печать Велеса: значение для мужчин и женщин	https://www.blog.arcanum.ru/blog/pechat-velesa/
2026-08-26	печать велеса	search-12a4010f-75a2-4748-8a39-27561f73ffbc	8	www.ozon.ru	marketplace	Печать велеса серебро купить на OZON по низкой цене	https://www.ozon.ru/category/pechat-velesa-serebro/
2026-08-26	печать велеса	search-12a4010f-75a2-4748-8a39-27561f73ffbc	9	www.livemaster.ru	marketplace	Печать велеса серебро - купить в интернет-магазине уникальные...	https://www.livemaster.ru/tag/item/982335/pechat-velesa-serebro
2026-08-26	печать велеса	search-12a4010f-75a2-4748-8a39-27561f73ffbc	10	market.yandex.ru	marketplace	Подвеска печать велеса — купить по низкой цене на Яндекс...	https://market.yandex.ru/search?text=%D0%BF%D0%BE%D0%B4%D0%B2%D0%B5%D1%81%D0%BA%D0%B0%20%D0%BF%D0%B5%D1%87%D0%B0%D1%82%D1%8C%20%D0%B2%D0%B5%D0%BB%D0%B5%D1%81%D0%B0
2026-08-26	оберег в машину	search-7236a7d2-9cb5-462d-aa90-49668e4b6c69	1	www.ozon.ru	marketplace	От сглаза оберег в машину купить на OZON по низкой цене	https://www.ozon.ru/category/ot-sglaza-obereg-v-mashinu/
2026-08-26	оберег в машину	search-7236a7d2-9cb5-462d-aa90-49668e4b6c69	2	amber-land.ru	independent_commerce	Amber Land — автомобильная икона-триптих	https://amber-land.ru/products/ikona-v-mashinu-triptih-avtomobilnaya-ikona-obereg-13-163171
2026-08-26	оберег в машину	search-7236a7d2-9cb5-462d-aa90-49668e4b6c69	3	www.wildberries.ru	marketplace	Талисман в машину оберег - Купить в интернет магазине...	https://www.wildberries.ru/catalog/tags/talisman-v-mashinu-obereg
2026-08-26	оберег в машину	search-7236a7d2-9cb5-462d-aa90-49668e4b6c69	4	amber-land.ru	independent_commerce	Amber Land — автомобильная икона-триптих	https://amber-land.ru/products/ikona-v-mashinu-triptih-avtomobilnaya-ikona-obereg-10-163172
2026-08-26	оберег в машину	search-7236a7d2-9cb5-462d-aa90-49668e4b6c69	5	www.wildberries.ru	marketplace	Оберег в машину талисман удачи Автодомовой	https://www.wildberries.ru/catalog/163229488/detail.aspx
2026-08-26	оберег в машину	search-7236a7d2-9cb5-462d-aa90-49668e4b6c69	6	happywitch.ru	informational	Какой выбрать оберег в машину - Блог интернет магазина...	https://happywitch.ru/blog/obereg-v-mashinu/
2026-08-26	оберег в машину	search-7236a7d2-9cb5-462d-aa90-49668e4b6c69	7	vk.ru	informational	Самые сильные обереги в машину для защиты...	https://vk.ru/wall-150633958_245589
2026-08-26	оберег в машину	search-7236a7d2-9cb5-462d-aa90-49668e4b6c69	8	innercare.ru	independent_commerce	Ганеш оберег на мудрость удачу и процветание – купить за 2 123...	https://innercare.ru/product/ganesh-obereg-na-mudrost-udachu-i-procvetanie
2026-08-26	оберег в машину	search-7236a7d2-9cb5-462d-aa90-49668e4b6c69	9	www.avito.ru	marketplace	оберег в машину - Авито | Объявления во всех регионах... | Авито	https://www.avito.ru/all?q=%D0%BE%D0%B1%D0%B5%D1%80%D0%B5%D0%B3+%D0%B2+%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D1%83
2026-08-26	оберег в машину	search-7236a7d2-9cb5-462d-aa90-49668e4b6c69	10	dzen.ru	informational	Оберег в машину: действенная защита автомобиля | Дзен	https://dzen.ru/a/XyU25WdWQi6F9jBV
2026-08-26	подвеска на зеркало в машину	search-f667a06f-56ba-4ba3-8c7b-c353ee83fccc	1	www.ozon.ru	marketplace	Подвеска в автомобиль на зеркало купить на OZON по низкой...	https://www.ozon.ru/category/podveska-v-avtomobil-na-zerkalo/
2026-08-26	подвеска на зеркало в машину	search-f667a06f-56ba-4ba3-8c7b-c353ee83fccc	2	www.wildberries.ru	marketplace	Висюльки на зеркало в авто - Купить в интернет магазине...	https://www.wildberries.ru/catalog/tags/visulbki-na-zerkalo-v-avto
