schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,observed_at,observed_at_precision,region,device,marketplace_presence,independent_presence,info_presence,marketplace_or_platform_count,independent_commerce_count,informational_count,dominant_intent,raw_ref,record_status,notes
1.1,m_yandex_serp_20260826_a794a881,o_yandex_serp_20260826_a794a881_serp_summary_0001,SERP_QUERY,DERIVED,serp_composition_summary,q_806670c30a84,славянские обереги,2026-08-26,DATE,225,,YES,YES,YES,2,7,1,commercial_category_first,marketing/research/R2_YANDEX_SEARCH_PRIMARY_SERP_2026-08-26.md,VALID,Specialized independent sites dominate most remaining positions; classifications derived from directly observed Top-10.
1.1,m_yandex_serp_20260826_49ab5424,o_yandex_serp_20260826_49ab5424_serp_summary_0001,SERP_QUERY,DERIVED,serp_composition_summary,q_e624da6cb26d,печать велеса,2026-08-26,DATE,225,,YES,YES,YES,8,1,1,strong_transactional_product,marketing/research/R2_YANDEX_SEARCH_PRIMARY_SERP_2026-08-26.md,VALID,Yandex Market occupies four positions; classifications derived from directly observed Top-10.
1.1,m_yandex_serp_20260826_6f75b1dc,o_yandex_serp_20260826_6f75b1dc_serp_summary_0001,SERP_QUERY,DERIVED,serp_composition_summary,q_16798cf404fd,оберег в машину,2026-08-26,DATE,225,,YES,YES,YES,4,3,3,mixed_commercial_choice_use_case,marketing/research/R2_YANDEX_SEARCH_PRIMARY_SERP_2026-08-26.md,VALID,Marketplace independent product and informational choice results coexist.
1.1,m_yandex_serp_20260826_4a7c4eb2,o_yandex_serp_20260826_4a7c4eb2_serp_summary_0001,SERP_QUERY,DERIVED,serp_composition_summary,q_cc67e8b8507f,подвеска на зеркало в машину,2026-08-26,DATE,225,,YES,NO,NO,10,0,0,transactional_form_factor,marketing/research/R2_YANDEX_SEARCH_PRIMARY_SERP_2026-08-26.md,VALID,All Top-10 are commerce/platform/catalog results.
1.1,m_yandex_serp_20260826_3fb74d56,o_yandex_serp_20260826_3fb74d56_serp_summary_0001,SERP_QUERY,DERIVED,serp_composition_summary,q_67a951306107,вегвизир,2026-08-26,DATE,225,,YES,NO,YES,7,0,3,mixed_entity_commercial,marketing/research/R2_YANDEX_SEARCH_PRIMARY_SERP_2026-08-26.md,VALID,Commercial platforms dominate while entity/meaning results remain material.
1.1,m_yandex_serp_20260826_af98649b,o_yandex_serp_20260826_af98649b_serp_summary_0001,SERP_QUERY,DERIVED,serp_composition_summary,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DATE,225,,YES,YES,YES,3,1,6,guide_selection_first,marketing/research/R2_YANDEX_SEARCH_PRIMARY_SERP_2026-08-26.md,VALID,Information and selection guidance dominate; stone/zodiac intent is prominent.
1.1,m_yandex_serp_20260826_cedfa61b,o_yandex_serp_20260826_cedfa61b_serp_summary_0001,SERP_QUERY,DERIVED,serp_composition_summary,q_8d11f0813741,алатырь оберег,2026-08-26,DATE,225,,YES,YES,YES,6,1,3,commercial_with_meaning_support,marketing/research/R2_YANDEX_SEARCH_PRIMARY_SERP_2026-08-26.md,VALID,WB #1 snippet directly mentions Blood & Sand Alatyr car amulet; this is marketplace visibility only.
1.1,m_yandex_serp_20260826_333632c7,o_yandex_serp_20260826_333632c7_serp_summary_0001,SERP_QUERY,DERIVED,serp_composition_summary,q_19f41f3ff755,оберег велес,2026-08-26,DATE,225,,YES,YES,YES,4,5,1,commercial_with_strong_niche_independents,marketing/research/R2_YANDEX_SEARCH_PRIMARY_SERP_2026-08-26.md,VALID,Specialized independent commerce sites are strongly represented.
1.1,m_yandex_serp_20260826_bf569343,o_yandex_serp_20260826_bf569343_serp_summary_0001,SERP_QUERY,DERIVED,serp_composition_summary,q_b373158a2c50,подарок мужчине в машину,2026-08-26,DATE,225,,YES,YES,YES,6,3,1,gift_shopping,marketing/research/R2_YANDEX_SEARCH_PRIMARY_SERP_2026-08-26.md,VALID,Practical automotive gifts dominate; pendant is not a default category answer.
1.1,m_yandex_serp_20260826_04b66634,o_yandex_serp_20260826_04b66634_serp_summary_0001,SERP_QUERY,DERIVED,serp_composition_summary,q_c2f45c10ecf5,подарок автомобилисту,2026-08-26,DATE,225,,YES,YES,YES,5,4,1,gift_shopping_idea_selection,marketing/research/R2_YANDEX_SEARCH_PRIMARY_SERP_2026-08-26.md,VALID,WB snippet shows a wolf pendant as one possible gift option; not dominant category.
