measurement_id,query_id,query,rank,url,domain,title,snippet,modtime,region,request_id,http_status,elapsed_ms,request_executed,automatic_retry,response_format,classification
m_search_20260826_f31b1792,q_f31b17922a59,"оберег по знаку зодиака",1,"https://market.yandex.ru/category/suveniry-znaki-zodiaka",market.yandex.ru,"Сувениры знаки зодиака - купить по низкой цене на Яндекс Маркете","Оберег для Водолея, талисман по знаку зодиака, брелок, для защиты и помощи.",20210618T122724,225,search-ae0b8945-90f4-44da-b508-927267242aa2,200,1417,true,false,FORMAT_XML,marketplace_commerce
m_search_20260826_f31b1792,q_f31b17922a59,"оберег по знаку зодиака",2,"https://www.alltime.ru/blog/?page=post&blog=watchblog&post_id=talismany-po-znakam-zodiaka-kak-vybrat-svoy-obereg-po-date-rozhdeniya",www.alltime.ru,"Талисманы для знаков зодиака — как подобрать свой оберег по...","Если вы выбираете обереги по знакам Зодиака, чтобы подарить близкому человеку, старайтесь выбирать не просто из предложенного списка, но и с учетом того, что человеку нравится и какие у него вкусы. Например, если ваш друг панически боится пауков, но его знаку они подходят по символике, лучше воздержаться от такого презента.",20200910T154730,225,search-ae0b8945-90f4-44da-b508-927267242aa2,200,1417,true,false,FORMAT_XML,editorial_selection
m_search_20260826_f31b1792,q_f31b17922a59,"оберег по знаку зодиака",3,"https://violet-jewelry-shop.ru/blog/post/8-kamni-po-znaku-zodiaka-kak-vybrat-svoy-idealnyy-talisman-ot-violet",violet-jewelry-shop.ru,"Камни по знаку зодиака: как выбрать свой камень-талисман по...","1. Амулеты, обереги и талисманы: культурное значение природных камней. 2. Как найти свой минерал-покровитель: таблица подбора по датам рождения. … Согласно преданиям, этот драгоценный кристалл развивает стратегическое мышление, оберегает в путешествиях и сохраняет жизненную энергию. Огненные знаки зодиака. Камень - рубин.",20260509T180141,225,search-ae0b8945-90f4-44da-b508-927267242aa2,200,1417,true,false,FORMAT_XML,stone_jewelry_editorial
m_search_20260826_f31b1792,q_f31b17922a59,"оберег по знаку зодиака",4,"https://chronos.mg/blog/talismany-znakov-zodiaka/",chronos.mg,"Талисманы знаков зодиака: как выбрать и активировать","Правила выбора талисмана для знаков зодиака. При выборе талисмана на удачу по знакам зодиака в первую очередь необходимо ориентироваться на свои ощущения. Понаблюдайте за реакцией на тот или иной предмет. … Талисманы этого знака зодиака должны не только оберегать своего хозяина от негативной энергии, но и стимулировать развитие у него интуиции. Это важно для того, чтобы Водолей смог найти выход из непростой ситуации.",20200919T001106,225,search-ae0b8945-90f4-44da-b508-927267242aa2,200,1417,true,false,FORMAT_XML,editorial_selection
m_search_20260826_f31b1792,q_f31b17922a59,"оберег по знаку зодиака",5,"https://dzen.ru/a/Z1beYFxfh3LPclpQ",dzen.ru,"Камни-талисманы для каждого знака зодиака | Дзен","Мы подготовили для вас список камней-талисманов для каждого знака зодиака. Новогодние подарки от MIUZ Diamonds Овен (21.03 – 19.04) Люди этого знака Зодиака отличаются честностью, прямолинейностью и активностью. Благодаря кипучей энергии они успевают реализовать большое количество проектов.",20241210T135826,225,search-ae0b8945-90f4-44da-b508-927267242aa2,200,1417,true,false,FORMAT_XML,stone_editorial
m_search_20260826_f31b1792,q_f31b17922a59,"оберег по знаку зодиака",6,"https://media.halvacard.ru/retrogradnyi-merkurii/talisman-po-znaku-zodiaka-i-date-rozdeniia",media.halvacard.ru,"Талисман по знаку зодиака и дате рождения: как выбрать...","Камни-талисманы по знаку зодиака. Нумерология: как подобрать оберег по дате рождения. … Камни-талисманы по знаку зодиака. Астрология — компас по выбору талисманов. Считается, что каждый знак зодиака находится под влиянием своей стихии (Огонь, Земля, Воздух, Вода) и планеты-покровителя. Эта связь определяет сильные и слабые стороны человека. Вот, что советуют эзотерики.",20250929T121522,225,search-ae0b8945-90f4-44da-b508-927267242aa2,200,1417,true,false,FORMAT_XML,stone_editorial
m_search_20260826_f31b1792,q_f31b17922a59,"оберег по знаку зодиака",7,"https://www.ozon.ru/category/nabor-kamney-dlya-znakov-zodiaka/",www.ozon.ru,"Набор камней для знаков зодиака купить на OZON по низкой цене","Набор камней для знаков зодиака – покупайте на OZON по выгодным ценам! Быстрая и бесплатная доставка, большой ассортимент, бонусы, рассрочка и кэшбэк. Распродажи, скидки и акции. Реальные отзывы покупателей.",20220707T171454,225,search-ae0b8945-90f4-44da-b508-927267242aa2,200,1417,true,false,FORMAT_XML,stone_marketplace_commerce
m_search_20260826_f31b1792,q_f31b17922a59,"оберег по знаку зодиака",8,"https://market.yandex.ru/search?text=%D0%B0%D0%BC%D1%83%D0%BB%D0%B5%D1%82%20%D0%BF%D0%BE%20%D0%B7%D0%BD%D0%B0%D0%BA%D1%83%20%D0%B7%D0%BE%D0%B4%D0%B8%D0%B0%D0%BA%D0%B0%20%D0%BA%D1%83%D0%BF%D0%B8%D1%82%D1%8C",market.yandex.ru,"Амулет по знаку зодиака купить — купить по низкой цене на...","Оберег для Водолея, талисман по знаку зодиака, брелок, для защиты и помощи.",20210623T184654,225,search-ae0b8945-90f4-44da-b508-927267242aa2,200,1417,true,false,FORMAT_XML,marketplace_commerce
m_search_20260826_f31b1792,q_f31b17922a59,"оберег по знаку зодиака",9,"https://www.wildberries.ru/catalog/tags/znaki-zodiaka-ukrashenija",www.wildberries.ru,"Знаки зодиака украшения - Купить в интернет магазине...",,20241219T001444,225,search-ae0b8945-90f4-44da-b508-927267242aa2,200,1417,true,false,FORMAT_XML,marketplace_commerce
m_search_20260826_f31b1792,q_f31b17922a59,"оберег по знаку зодиака",10,"https://www.arcanum.ru/blog/astrologiya/talismany-dlya-znakov-zodiaka/",www.arcanum.ru,"Талисманы для знаков Зодиака: животные и камни амулеты по...","3. Цветок талисман для знаков Зодиака. 4. Магический амулет по гороскопу. 5. Камень талисман и день рождения человека. … text Животное талисман по Знаку Зодиака можно сравнить с ангелом-хранителем, оберегающим своего хозяина, дающим силы, уверенности",20200616T121206,225,search-ae0b8945-90f4-44da-b508-927267242aa2,200,1417,true,false,FORMAT_XML,editorial_selection
