measurement_id,query_id,query,rank,url,domain,title,snippet,modtime,region,request_id,http_status,elapsed_ms,request_executed,automatic_retry,response_format,classification
m_search_20260826_136048ba,q_136048babfad,шлем ужаса оберег,1,https://www.wildberries.ru/catalog/dom-i-dacha/tags/shlem-uzhasa-obereg,www.wildberries.ru,Шлем ужаса оберег - Купить в интернет магазине WildBerries.ru,"Шлем ужаса оберег - Большой выбор в интернет-магазине WildBerries.ru. … Миртъ / Шарм Шлем Ужаса скандинавский оберег бронза 12 мм D 9 мм. Нет оценок. В корзину. Оберег мощной защиты ""Агисхьяльм - Шлем Ужаса "" Runes & Candles. -70%.",20250321T201228,225,search-f7b9d7c0-8a86-4b81-bfad-dc87e066582f,200,1493,true,false,FORMAT_XML,marketplace_commerce
m_search_20260826_136048ba,q_136048babfad,шлем ужаса оберег,2,https://www.ozon.ru/category/obereg-shlem-uzhasa/,www.ozon.ru,Оберег шлем ужаса купить на OZON по низкой цене,"Быстрая и бесплатная доставка, большой ассортимент, бонусы, рассрочка и кэшбэк. Распродажи, скидки и акции. Реальные отзывы покупателей.",20220826T200132,225,search-f7b9d7c0-8a86-4b81-bfad-dc87e066582f,200,1493,true,false,FORMAT_XML,marketplace_commerce
m_search_20260826_136048ba,q_136048babfad,шлем ужаса оберег,3,https://slavyanskieoberegi.ru/shlem-uzhasa/,slavyanskieoberegi.ru,Шлем Ужаса,"Активация Шлема Ужаса shlem-uzhasa-obereg. … Этот оберег Шлем Ужаса подойдет девушке и парню, женщине и мужчине, так как он является универсальным, ведь основная задача символа – это концентрация силы и противостояние внешним воздействиям.",20161024T211210,225,search-f7b9d7c0-8a86-4b81-bfad-dc87e066582f,200,1493,true,false,FORMAT_XML,specialist_content_commerce
m_search_20260826_136048ba,q_136048babfad,шлем ужаса оберег,4,https://market.yandex.ru/search?text=%D1%88%D0%BB%D0%B5%D0%BC%20%D1%83%D0%B6%D0%B0%D1%81%D0%B0%20%D0%B0%D0%B3%D0%B8%D1%81%D1%85%D1%8C%D1%8F%D0%BB%D1%8C%D0%BC,market.yandex.ru,Шлем ужаса агисхьяльм — купить по низкой цене на Яндекс...,"Амулет шлем ужаса Агисхьяльм, амулет энергии, защита от зла. … Оберег Шлем Ужаса Агисхъяльм / этническая подвеска, керамика. Цена с картой Яндекс Пэй 1544 ₽ вместо.",20210618T202718,225,search-f7b9d7c0-8a86-4b81-bfad-dc87e066582f,200,1493,true,false,FORMAT_XML,marketplace_commerce
m_search_20260826_136048ba,q_136048babfad,шлем ужаса оберег,5,https://www.livemaster.ru/tag/item/176005/shlem-uzhasa,www.livemaster.ru,Шлем ужаса - купить в интернет-магазине уникальные товары...,,20120708T030952,225,search-f7b9d7c0-8a86-4b81-bfad-dc87e066582f,200,1493,true,false,FORMAT_XML,marketplace_commerce
m_search_20260826_136048ba,q_136048babfad,шлем ужаса оберег,6,https://www.livemaster.ru/topic/3254110-blog-obereg-shlm-uzhasa-agishyalm,www.livemaster.ru,Оберег Шлм ужаса (Агисхьяльм) | Ярмарка Мастеров,"История возникновения оберега Шлем Ужаса. Назвать точные временные рамки появления этого символа невозможно. … Значение оберега Шлем Ужаса. Агисхьяльм по версии археологов имел несколько значений. Все они имеют разные направленности, но одну суть. Он создан для защиты своего носителя.",20191111T001914,225,search-f7b9d7c0-8a86-4b81-bfad-dc87e066582f,200,1493,true,false,FORMAT_XML,platform_editorial_meaning
m_search_20260826_136048ba,q_136048babfad,шлем ужаса оберег,7,https://market.yandex.ru/search?text=%D0%9E%D0%B1%D0%B5%D1%80%D0%B5%D0%B3%20%D0%A8%D0%BB%D0%B5%D0%BC%20%D0%A3%D0%B6%D0%B0%D1%81%D0%B0,market.yandex.ru,Оберег Шлем Ужаса — купить по низкой цене на Яндекс Маркете,"Амулет шлем ужаса Агисхьяльм, амулет энергии, защита от зла. … Амулет рунический «Шлем ужаса» (Агисхьяльм) с 24 рунами Старшего Футарка, защитный оберег из металла, цепочка 60 см.",20230427T085550,225,search-f7b9d7c0-8a86-4b81-bfad-dc87e066582f,200,1493,true,false,FORMAT_XML,marketplace_commerce
m_search_20260826_136048ba,q_136048babfad,шлем ужаса оберег,8,https://market.yandex.ru/search?text=%D1%88%D0%BB%D0%B5%D0%BC%20%D1%83%D0%B6%D0%B0%D1%81%D0%B0%20%D0%BE%D0%B1%D0%B5%D1%80%D0%B5%D0%B3,market.yandex.ru,Шлем ужаса оберег — купить по низкой цене на Яндекс Маркете,"Амулет шлем ужаса Агисхьяльм, амулет энергии, защита от зла. … Амулет рунический «Шлем ужаса» (Агисхьяльм) с 24 рунами Старшего Футарка, защитный оберег из металла, цепочка 60 см.",20210618T102652,225,search-f7b9d7c0-8a86-4b81-bfad-dc87e066582f,200,1493,true,false,FORMAT_XML,marketplace_commerce
m_search_20260826_136048ba,q_136048babfad,шлем ужаса оберег,9,https://www.swargas.ru/news/shlem-uzhasa,www.swargas.ru,ШЛЕМ УЖАСА | Варяжский двор,"(«Шлем-страшило» - несколько неуклюжий корсуновский перевод исландского словосочетания «Шлем Ужаса» или «Шлем Устрашения».) «[Фафнир] сказал: Шлем-страшило носил я всегда, на золоте лежа; всех сильнее себя я считал, с кем бы ни встретился».",20180124T101606,225,search-f7b9d7c0-8a86-4b81-bfad-dc87e066582f,200,1493,true,false,FORMAT_XML,specialist_editorial_history
m_search_20260826_136048ba,q_136048babfad,шлем ужаса оберег,10,https://market.yandex.ru/search?text=%D0%B0%D0%BC%D1%83%D0%BB%D0%B5%D1%82%20%D1%88%D0%BB%D0%B5%D0%BC%20%D1%83%D0%B6%D0%B0%D1%81%D0%B0,market.yandex.ru,Амулет шлем ужаса — купить по низкой цене на Яндекс Маркете,"Амулет рунический «Шлем ужаса» (Агисхьяльм) с 24 рунами Старшего Футарка, защитный оберег из металла, цепочка 60 см. … Амулет ворон, Гальдрастав Агисхьяльм (Шлем ужаса) на черепе ворона, скандинавский защитный амулет, крест непобедимости.",20210620T112730,225,search-f7b9d7c0-8a86-4b81-bfad-dc87e066582f,200,1493,true,false,FORMAT_XML,marketplace_commerce
