measurement_id,source_type,marketplace,operation,observed_at,observed_at_precision,request_id,http_status,elapsed_ms,provider_total,result_cursor,raw_ref,record_status,normalization_status,notes
m_marketplace_20260811T1025Z_f47d23cb,MARKETPLACE_EVIDENCE,ozon,stocks_current,2026-08-11T10:25Z,MINUTE,30418b9b-1908-4cb2-a9da-9841ec4ece8a,200,259,76,"WzIzMjQ0Njc4NTUsMjMyNDQ2Nzg1NV0=",marketing/data/raw/marketplace/ozon/20260811T1025Z__ozon__stocks-current__all.json,VALID,PENDING,"Raw response received through local Ozon bridge v0.1.1; no credentials stored; product-level normalization deferred until pagination/completeness of this measurement is technically confirmed."
m_marketplace_20260811T103640Z_9c6ef4af,MARKETPLACE_EVIDENCE,ozon,analytics_data,2026-08-11T10:36:40Z,SECOND,5f9787f2-c74e-450c-a1a0-6d08f6c1c7eb,200,539,,,marketing/data/raw/marketplace/ozon/20260811T103640Z__ozon__analytics-data__sku__20260712_20260810.json,VALID,PENDING,"Observed SKU-level ordered_units and revenue for 2026-07-12..2026-08-10; response totals preserved in raw; no site/business conclusions created."
m_marketplace_20260811T104017Z_c98061c3,MARKETPLACE_EVIDENCE,ozon,analytics_data,2026-08-11T10:40:17Z,SECOND,560dbd22-9836-441e-a53b-b1cba6bb6139,200,5303,,,marketing/data/raw/marketplace/ozon/20260811T104017Z__ozon__analytics-data__sku__20260612_20260711.json,VALID,PENDING,"Observed SKU-level ordered_units and revenue for 2026-06-12..2026-07-11; response totals preserved in raw; no site/business conclusions created."
m_marketplace_20260811T104232Z_d7dc06f1,MARKETPLACE_EVIDENCE,ozon,analytics_data,2026-08-11T10:42:32Z,SECOND,a18587b4-3dcc-4074-9164-80256049ac4b,200,2073,,,marketing/data/raw/marketplace/ozon/20260811T104232Z__ozon__analytics-data__sku__20260513_20260810.json,VALID,PENDING,"Observed SKU-level ordered_units and revenue for 2026-05-13..2026-08-10; response totals preserved in raw; no site/business conclusions created."
m_marketplace_20260811T104553Z_5ac7d192,MARKETPLACE_EVIDENCE,ozon,analytics_data,2026-08-11T10:45:53Z,SECOND,a5762d85-be8a-4346-b6cf-1d06aab76545,200,3095,,,marketing/data/raw/marketplace/ozon/20260811T104553Z__ozon__analytics-data__session-view-contract-probe.json,VALID,BLOCKED_AMBIGUOUS_METRIC_MAPPING,"Requested session_view + ordered_units + revenue but response contained only two values per SKU and two totals; session_view is not normalized from this run; isolated probe required."
m_marketplace_20260811T1047Z_1984d025,MARKETPLACE_EVIDENCE,ozon,analytics_data,2026-08-11T10:47Z,MINUTE,c7c70142-06c5-44f4-917d-9a3687fa8219,400,102,,,marketing/data/raw/marketplace/ozon/20260811T1047Z__ozon__analytics-data__session-view-isolated__http400.json,VALID,FAILED_CONTRACT_PROBE,"Isolated session_view request returned HTTP 400 / code 3; no automatic retry; exact provider validation text withheld by bridge, so the precise contract failure remains unresolved."
m_marketplace_20260811T1050Z_4c906a75,MARKETPLACE_EVIDENCE,ozon,product_queries,2026-08-11T10:50Z,MINUTE,95b863b1-9860-43be-b42c-28c34f5cc395,400,187,,,marketing/data/raw/marketplace/ozon/20260811T1050Z__ozon__product-queries__contract-probe__http400.json,VALID,FAILED_CONTRACT_PROBE,"product_queries request returned HTTP 400 / code 3; no automatic retry; exact provider validation text withheld by bridge, so the invalid request field cannot be identified from LLM-visible evidence."
m_marketplace_20260811T1136Z_8ebd4761,MARKETPLACE_EVIDENCE,ozon,analytics_data,2026-08-11T11:36Z,MINUTE,bf5e6877-a2c1-4185-a5e9-1d06b1a2f721,400,152,,,marketing/data/raw/marketplace/ozon/20260811T1136Z__ozon__analytics-data__session-view-isolated__autorun-http400.json,VALID,AUTORUN_CONTINUATION_PASSED,"v0.1.2 autorun delivered the expected provider HTTP 400 / code 3 into the bound ChatGPT conversation, did not retry it, then accepted and successfully executed a distinct analytics_data command in the same autorun run (request 5cc97c84-4b3a-4612-9980-290021358e3e, HTTP 200)."
m_marketplace_20260811T113929Z_2dcf1b79,MARKETPLACE_EVIDENCE,ozon,analytics_data,2026-08-11T11:39:29Z,SECOND,5cc97c84-4b3a-4612-9980-290021358e3e,200,4515,,,marketing/data/raw/marketplace/ozon/20260811T113929Z__ozon__analytics-data__sku__20260804_20260810.json,VALID,PENDING,"Observed SKU-level ordered_units and revenue for 2026-08-04..2026-08-10 after an autorun-delivered HTTP 400; response totals [153,250798] preserved in raw. This successful distinct request proves v0.1.2 autorun continuation after provider error for this live path; no site/business conclusions created."
m_marketplace_20260811T1406Z_9641b885,MARKETPLACE_EVIDENCE,ozon,posting_fbo_list,2026-08-11T14:06Z,MINUTE,9641b885-da86-49e6-bfc5-5d27b7ff8ea6,200,548,,"5IbzpQ0AAAAAANCGhvAEAAAAAADC2u/63wIAAAAA",marketing/data/raw/marketplace/ozon/20260811T1406Z__ozon__posting-fbo-list__20260712_20260810__page1.json,VALID,PENDING,"FBO postings page 1 for 2026-07-12..2026-08-10 captured with analytics_data and financial_data; provider returned has_next=true and a continuation cursor, so the measurement is incomplete pending continuation. Raw contains delivered/cancelled posting facts, product joins, warehouse/cluster, payout/commission and cancellation reasons; no site/business conclusions created."
m_marketplace_20260811T1424Z_3f4298a5,MARKETPLACE_EVIDENCE,ozon,posting_fbo_list,2026-08-11T14:24Z,MINUTE,3f4298a5-df55-4fe2-9660-cc2c2a90bba7,200,611,,"5IbzpQ0AAAAAANCGhvAEAAAAAADC2u/63wIAAAAA",marketing/data/raw/marketplace/ozon/20260811T1424Z__ozon__posting-fbo-list__20260712_20260810__offset100-duplicate-probe.json,VALID,FAILED_PAGINATION_PROBE,"Distinct continuation probe with offset=100 returned the same has_next=true cursor and repeated page boundaries (first posting 58794087-0275-1; last posting 0123318081-0115-3), so continuation did not advance. Duplicate result is not normalized. Do not repeat offset pagination; verify cursor request contract before the next FBO call."
