query,cluster,intent,priority,broad_30d,phrase_30d,exact_30d,mobile_30d,desktop_30d,seasonality_peak,seasonality_low,associated_queries,measured_at,notes
печать велеса,product_core,commercial_research,A,,,,,,,,,,
купить печать велеса,product_core,transactional,A,,,,,,,,,,
оберег печать велеса,product_core,commercial_research,A,,,,,,,,,,
амулет печать велеса,product_core,commercial_research,A,,,,,,,,,,
подвеска печать велеса,product_core,commercial_research,A,,,,,,,,,,
печать велеса медвежья лапа,product_variant,commercial_research,A,,,,,,,,,,
печать велеса волчья лапа,product_variant,commercial_research,A,,,,,,,,,,
печать велеса в машину,automotive,transactional,A,,,,,,,,,,
оберег в машину,automotive,commercial_research,A,,,,,,,,,,
оберег для автомобиля,automotive,commercial_research,A,,,,,,,,,,
славянский оберег в машину,automotive,commercial_research,A,,,,,,,,,,
подвеска на зеркало автомобиля,automotive,commercial_research,A,,,,,,,,,,
подвеска на зеркало в машину,automotive,commercial_research,A,,,,,,,,,,
амулет в машину,automotive,commercial_research,A,,,,,,,,,,
талисман в машину,automotive,commercial_research,A,,,,,,,,,,
значение печати велеса,meaning,informational,A,,,,,,,,,,
печать велеса значение,meaning,informational,A,,,,,,,,,,
печать велеса медвежья лапа значение,meaning,informational,A,,,,,,,,,,
печать велеса волчья лапа значение,meaning,informational,A,,,,,,,,,,
медвежья и волчья печать велеса отличие,comparison,commercial_research,A,,,,,,,,,,
какой оберег выбрать в машину,automotive_choice,commercial_research,A,,,,,,,,,,
какой оберег повесить в машину,automotive_choice,commercial_research,A,,,,,,,,,,
подарок автомобилисту,gift,commercial_research,B,,,,,,,,,,
подарок мужчине в машину,gift,commercial_research,B,,,,,,,,,,
оберег в машину подарок,gift,commercial_research,B,,,,,,,,,,
подарок водителю мужчине,gift,commercial_research,B,,,,,,,,,,
печать велеса купить в машину,product_auto,transactional,B,,,,,,,,,,
подвеска оберег в машину,automotive,commercial_research,B,,,,,,,,,,
оберег на зеркало заднего вида,automotive,commercial_research,B,,,,,,,,,,
славянская подвеска в машину,automotive,commercial_research,B,,,,,,,,,,
медвежья лапа оберег купить,product_variant,transactional,B,,,,,,,,,,
волчья лапа оберег купить,product_variant,transactional,B,,,,,,,,,,
кулон печать велеса,product_core,commercial_research,B,,,,,,,,,,
печать велеса для мужчины,meaning,informational,B,,,,,,,,,,
печать велеса для женщины,meaning,informational,B,,,,,,,,,,
печать велеса подарок мужчине,gift,commercial_research,B,,,,,,,,,,
оберег автомобилисту в подарок,gift,commercial_research,B,,,,,,,,,,
