sku	cluster_id	query_or_concept	relevance_state	title_coverage	offer_id_coverage	attribute_coverage	description_coverage	best_existing_evidence	gap_state	notes
1602715556	USE::car_mirror	авто стиль	GENERIC_RELEVANT	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	USE::car_mirror	авторская подвеска на зеркало газель	GENERIC_RELEVANT	ABSENT	ABSENT	PARTIAL_PRESENT	ABSENT	attr_n:PARTIAL_PRESENT	GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	USE::car_mirror	адыгейски подвески костюмы на машину	GENERIC_RELEVANT	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	USE::car_mirror	аксессуары для авто самурай	GENERIC_RELEVANT	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	CLASS::amulet_pendant	аксессуары самурая	GENERIC_RELEVANT	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	CLASS::amulet_pendant	амулет бусина	GENERIC_RELEVANT	ABSENT	ABSENT	SEMANTIC_PRESENT	SEMANTIC_PRESENT	attr_n:SEMANTIC_PRESENT	GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	USE::car_mirror	амулет зеркало магическое	GENERIC_RELEVANT	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	CLASS::amulet_pendant	амулет японский на шею	GENERIC_RELEVANT	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	CLASS::amulet_pendant	амулет японский самурай	GENERIC_RELEVANT	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	USE::car_mirror	амулеты обереги и талисманы зеркалр	GENERIC_RELEVANT	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	USE::car_mirror	ароматизатор в машину веселый роджер на зеркало	GENERIC_RELEVANT	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	USE::car_mirror	боковое зеркало на машину атлант левое	GENERIC_RELEVANT	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	USE::car_mirror	браслет зеркало оберег	GENERIC_RELEVANT	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	UNCLEAR::51236eb19a	браслет каловрат	AMBIGUOUS_HOLD	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	UNCLEAR::9db82dd755	браслет самурай	AMBIGUOUS_HOLD	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	USE::car_mirror	брелок в машину на зеркало пушистики	GENERIC_RELEVANT	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	USE::car_mirror	брелок в машину на зеркало спартанец	GENERIC_RELEVANT	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	USE::car_mirror	брелок в машину на зеркало хоккей локомотив	GENERIC_RELEVANT	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	USE::car_mirror	брелок на зеркало в машину бус	GENERIC_RELEVANT	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	USE::car_mirror	брелок прапорщик полиции в машину на зеркало	GENERIC_RELEVANT	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	UNCLEAR::d656990b49	бусы коловрат	AMBIGUOUS_HOLD	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	UNCLEAR::b13b2bccb9	бусы на зерколо	AMBIGUOUS_HOLD	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	UNCLEAR::6aaaca4c36	бусы японские мужские браслет	AMBIGUOUS_HOLD	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	USE::car_mirror	бутсы футбольные на зеркало подвеска	GENERIC_RELEVANT	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	USE::car_mirror	висюлька на зеркало в машину женская bmv	GENERIC_RELEVANT	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	USE::car_mirror	вонючка дельфин в машину синяя на зеркало	GENERIC_RELEVANT	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
1602715556	USE::car_mirror	демон на машину подвеска на стекло маленькие	GENERIC_RELEVANT	ABSENT	ABSENT	ABSENT	ABSENT		GAP_PRESENT	Content coverage only; no Ozon ranking-weight claim.
