query_or_cluster	ownership_type	primary_owner_sku	supporting_skus	competing_skus	overlap_risk	ownership_reason	manual_review_required
10 шилингов знаки зодиака	FAMILY_SHARED		2271292556		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
12 з подвеска	FAMILY_SHARED		1640326230		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
1600013 сварог	SKU_SPECIFIC	2183921966			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
200 шт подвески звезды	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
3d подвеска в машину на зеркало	FAMILY_SHARED		2183921966		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
3д подвеска в машину на зеркало	FAMILY_SHARED		1629553898		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
94049007 подвеска лев	SKU_SPECIFIC	2186857668			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
bimbo twins	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
cerave	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
cosaque	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
dtlmvbyf gjldtcrf	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
enjoy the silence подвеска в машину	FAMILY_SHARED		1720124782		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
forza кимоно подвеска в машину	FAMILY_SHARED		1720137256		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
fox racing подвеска на зеркало	FAMILY_SHARED		1630040194		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
jubyz ; bdf	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
lol	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
mirroreffect брелок оберег с зеркалом	FAMILY_SHARED		1636041142;2183921966		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
monster energy подвеска на зеркало в машину	FAMILY_SHARED		2271188511		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
my jewelry телец	SKU_SPECIFIC	2271292556			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
no pasaran подвеска в машину	STORE_GENERIC		1720137256;2184932293;2271210394;2559748332		LOW	0 exact/strong owner(s); 4 family/generic supporting relation(s).	NO
podveska na salon	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
sergio ramos подвеска в машину	FAMILY_SHARED		1720124782		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
sex seven подвеска в машину	FAMILY_SHARED		1720141903		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
taccardi для дев	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
yamasaki скорпион	SKU_SPECIFIC	2271275793			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
{value}	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
абирег в машину	FAMILY_SHARED		1640251697		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
аварийный знак в машину на липучке вбогажник	FAMILY_SHARED		1720144370		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
авто аксессуары на зеркало	FAMILY_SHARED		2559748332		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
авто кресло для близнецов	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
авто подвеска	FAMILY_SHARED		2184199958		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
авто подвеска в машину	FAMILY_SHARED		1630040194		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
авто подвеска на зеркало	STORE_GENERIC		1640251697;1640326205;2183985513;2271292556		LOW	0 exact/strong owner(s); 4 family/generic supporting relation(s).	NO
авто подвески на зеркало	STORE_GENERIC		1602722942;2271246783		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
авто рыба	FAMILY_SHARED		2186848313		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
авто стиль	FAMILY_SHARED		1602715556		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
авто четки в машину	FAMILY_SHARED		1640326205		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
автобильные весы	SKU_SPECIFIC	1720137256			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
автомобиль , подаренный предкам	FAMILY_SHARED		1640326230		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
автомобиль кулон	FAMILY_SHARED		1720160556;2186857668		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
автомобиль кулон на зеркало	FAMILY_SHARED		1720141903		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
автомобиль мар	FAMILY_SHARED		2184199958		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
автомобиль мусульманский	FAMILY_SHARED		2559748332		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
автомобильная четки в машину на зеркало	FAMILY_SHARED		2186848313		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
автомобильное подвеска оберег	STORE_GENERIC		1720137256;2183921966		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
автомобильные весы	SKU_SPECIFIC	1720137256			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
автомобильные подвески/декоративные элементы для автомобилей	FAMILY_SHARED		2186852750		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
автомобильные принадлежности э	FAMILY_SHARED		2186856503		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
автомобильный талисман оберег на зеркало	STORE_GENERIC		2271240621;2559748332		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
автомобиля на зеркало украшение	FAMILY_SHARED		1720144370;2186846833		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
автомобиля подвеска в зеркало	FAMILY_SHARED		1640334195		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
автооберег	STORE_GENERIC		1623753672;1720160556;2559817779		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
автооберег в машину	FAMILY_SHARED		1640264403		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
автоподвеска луна	FAMILY_SHARED		2184168890		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
автоподвеска мужска	STORE_GENERIC		1640276582;2271210394;2271234726;2271246783;2271251938;2271275793;2559748332		LOW	0 exact/strong owner(s); 7 family/generic supporting relation(s).	NO
автоподвеска на зеркало авто для женщин	FAMILY_SHARED		2271188511;2271210394;2271240621;2271275793		LOW	0 exact/strong owner(s); 4 family/generic supporting relation(s).	NO
авторская подвеска на зеркало газель	FAMILY_SHARED		1602715556		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
авторучка шариковая знаки зодиака	FAMILY_SHARED		1720141903		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
адамас золото знак зодиака	FAMILY_SHARED		1720137256;1720141903;2271234726;2271292556		LOW	0 exact/strong owner(s); 4 family/generic supporting relation(s).	NO
адидас спаси и сохрани коыту	SKU_SPECIFIC	2326866320			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
адыгейски подвески костюмы на машину	FAMILY_SHARED		1602715556		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
адыгейские украшения подвески на зеркало для машины	FAMILY_SHARED		2183985513		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
азербайджанские четки и амулеты на зеркало в машину	FAMILY_SHARED		2184199958		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
ак барс брелок в машину на зеркало	FAMILY_SHARED		2186857668		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
аквамарин подвеска водолей ровновесие	SKU_SPECIFIC	2186846833			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
акомпас в тысячных	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
акриловая бусина машинка	STORE_GENERIC		1602722942;1640326205		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
акриловая подвеска в машину	FAMILY_SHARED		1611643847;1623753672		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
акриловая подвеска в машину на зеркало	STORE_GENERIC		1602722942;2184199958;2271251938;2559437928;2559748332		LOW	0 exact/strong owner(s); 5 family/generic supporting relation(s).	NO
акриловые звезды подвески	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
акриловые крест	SKU_SPECIFIC	1640251697			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
акриловые четки в машину на зеркало	STORE_GENERIC		1640326205;2271219774		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
аксессуар в авто на зеркало подвеска	STORE_GENERIC		1629493686;2186850644		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
аксессуар в машину женское	FAMILY_SHARED		2184133137		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
аксессуар для автомобиля на зеркало подвеска	FAMILY_SHARED		2186856503		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
аксессуар на зеркало	FAMILY_SHARED		2559748332		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
аксессуар узел счастья на зеркало в машину	EXCLUDED				LOW	0 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
аксессуары в машину мужские	FAMILY_SHARED		1640326205		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
аксессуары в машину на зеркало skoda в октаве	FAMILY_SHARED		1630040194		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
аксессуары в машину на зеркало перчатки кимано	FAMILY_SHARED		1636041142		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
аксессуары в машину на зеркало подвеска	FAMILY_SHARED		1720131759;2186766628		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
аксессуары в машину подвесаа зеркал барабан	STORE_GENERIC		1630040194;1640251697;1640306007;1720137256;1720141903;1720144370;1720147059;1720148880;1720160556;2184199958;2184234912;2184932293;2186836116;2186848313;2186857668;2271234726;2271246783;2559437928		LOW	0 exact/strong owner(s); 18 family/generic supporting relation(s).	NO
аксессуары в машину подвеска	FAMILY_SHARED		2559748332		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
аксессуары в машину подвеска на зеркало	FAMILY_SHARED		2559437928		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
аксессуары в машину подвеска на зеркало скорпион	EXCLUDED				LOW	0 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
аксессуары вел	FAMILY_SHARED		2183921966		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
