sku	product_id	query_normalized	observed_search_users	observed_orders	observed_gmv	observed_slice_count	searches_desc_present	searches_asc_present	gmv_desc_present	gmv_asc_present	relevance_strength	coverage_gap_strength	ownership_clarity	data_confidence	metric_conflict
1602715556	1082852354	авто стиль	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602715556	1082852354	авторская подвеска на зеркало газель	1.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1602715556	1082852354	адыгейски подвески костюмы на машину	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602715556	1082852354	аксессуары для авто самурай	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602715556	1082852354	аксессуары самурая	2.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1602715556	1082852354	амулет бусина	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602715556	1082852354	амулет зеркало магическое	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602715556	1082852354	амулет японский на шею	3.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602715556	1082852354	амулет японский самурай	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602715556	1082852354	амулеты обереги и талисманы зеркалр	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602715556	1082852354	ароматизатор в машину веселый роджер на зеркало	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602715556	1082852354	боковое зеркало на машину атлант левое	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602715556	1082852354	браслет зеркало оберег	1.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1602715556	1082852354	браслет каловрат	1.0	0.0	0.0	1	NO	NO	NO	YES	0	2	0	LOW	NO
1602715556	1082852354	браслет самурай	1.0	0.0	0.0	1	NO	NO	NO	YES	0	2	0	LOW	NO
1602715556	1082852354	брелок в машину на зеркало пушистики	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602715556	1082852354	брелок в машину на зеркало спартанец	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602715556	1082852354	брелок в машину на зеркало хоккей локомотив	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602715556	1082852354	брелок на зеркало в машину бус	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602715556	1082852354	брелок прапорщик полиции в машину на зеркало	1.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1602715556	1082852354	бусы коловрат	0.0	0.0	0.0	1	NO	YES	NO	NO	0	2	0	LOW	NO
1602715556	1082852354	бусы на зерколо	1.0	0.0	0.0	1	NO	NO	YES	NO	0	2	0	LOW	NO
1602715556	1082852354	бусы японские мужские браслет	0.0	0.0	0.0	1	NO	YES	NO	NO	0	2	0	LOW	NO
1602715556	1082852354	бутсы футбольные на зеркало подвеска	1.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1602715556	1082852354	висюлька на зеркало в машину женская bmv	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
