sku	product_id	observed_raw_queries	unique_normalized_queries	exact_strong_queries	family_generic_queries	irrelevant_neighbor_queries	semantic_clusters	uncovered_relevant_clusters	overlap_cannibalization_risk	ready_candidates	hold_items	overall_analytical_status
1602711278	1082848375	0	0	0	0	0	0	0	LOW	0	0	NO_CHANGE
1602711870	1082848825	0	0	0	0	0	0	0	LOW	0	0	NO_CHANGE
1602715556	1082852354	60	59	0	48	1	14	13	MEDIUM	33	10	READY_REVIEW
1602717077	1082855228	60	58	12	38	4	9	8	MEDIUM	28	4	READY_REVIEW
1602722942	1082862005	60	51	3	38	6	10	8	MEDIUM	38	4	READY_REVIEW
1611643847	1092556350	60	57	9	34	5	13	13	MEDIUM	42	9	READY_REVIEW
1611695246	1092558299	60	59	8	41	10	5	5	LOW	45	0	READY_REVIEW
1623753672	1106060257	60	59	7	37	11	10	10	MEDIUM	40	4	READY_REVIEW
1629493686	1112665646	60	57	0	50	2	8	8	MEDIUM	50	5	READY_REVIEW
1629553898	1112723580	60	57	8	39	2	8	8	MEDIUM	46	8	READY_REVIEW
1630033296	1113280875	60	58	1	45	9	8	8	MEDIUM	46	3	READY_REVIEW
1630040194	1113288401	60	60	2	55	1	7	7	MEDIUM	56	2	READY_REVIEW
1636041142	1119957837	60	59	3	49	4	8	8	MEDIUM	51	3	READY_REVIEW
1636048691	1119965443	60	53	5	39	5	9	9	MEDIUM	42	4	READY_REVIEW
1640251697	1124658338	60	56	21	27	1	12	12	MEDIUM	40	7	READY_REVIEW
1640264403	1124673031	60	58	2	48	3	10	10	MEDIUM	49	5	READY_REVIEW
1640276582	1124691132	60	58	1	49	0	10	10	MEDIUM	50	8	READY_REVIEW
1640306007	1124725450	60	58	5	44	3	11	11	MEDIUM	47	6	READY_REVIEW
1640326205	1124733734	60	52	2	38	0	18	17	MEDIUM	38	12	READY_REVIEW
1640326230	1124751825	60	59	1	50	1	13	12	MEDIUM	50	7	READY_REVIEW
1640330072	1124755617	60	53	3	39	0	14	14	MEDIUM	41	11	READY_REVIEW
1640334195	1124761013	60	59	0	54	4	5	5	MEDIUM	54	1	READY_REVIEW
1640337426	1124764995	60	56	0	47	1	12	12	MEDIUM	47	8	READY_REVIEW
1720124782	1217110817	60	58	10	44	1	9	9	HIGH	52	3	READY_REVIEW
1720131759	1217117569	60	60	11	38	2	11	11	HIGH	44	9	READY_REVIEW
1720137256	1217124642	60	56	11	42	3	4	4	HIGH	48	0	READY_REVIEW
1720141903	1217129635	60	55	8	42	0	10	10	HIGH	48	5	READY_REVIEW
1720144370	1217132021	60	59	19	37	0	8	7	HIGH	47	3	READY_REVIEW
1720147059	1217135724	60	57	13	38	0	8	8	HIGH	46	6	READY_REVIEW
1720148880	1217137863	60	55	6	48	0	7	7	HIGH	50	1	READY_REVIEW
1720151850	1217141020	60	60	11	46	2	7	7	HIGH	52	1	READY_REVIEW
1720153914	1217143121	60	59	6	47	1	11	11	HIGH	48	5	READY_REVIEW
1720155616	1217145315	60	57	5	46	3	8	8	MEDIUM	48	3	READY_REVIEW
1720160556	1217150153	60	59	11	41	2	9	9	HIGH	46	5	READY_REVIEW
1720161841	1217152166	60	59	10	48	0	7	7	HIGH	58	1	READY_REVIEW
1842444165	1366092977	60	55	0	46	0	13	12	MEDIUM	39	9	READY_REVIEW
1943215793	1498533114	60	56	11	39	2	9	7	MEDIUM	44	8	READY_REVIEW
2183808182	1830964558	60	58	4	46	0	12	12	MEDIUM	49	8	READY_REVIEW
2183921966	1831102037	60	52	2	40	6	9	9	MEDIUM	42	4	READY_REVIEW
2183985513	1831181558	60	55	5	43	1	10	10	MEDIUM	47	6	READY_REVIEW
