ordinal	offer_id	sku	name
1	1082860193	1602721123	Шлем Ужаса / Эгисхьяльм
2	1082860383	1602721290	Лев
3	1082860462	1602721372	Дева
4	1082860837	1602721762	Телец
5	1082862005	1602722942	Вегвизир
6	1088122808	1608103032	Весы
7	1088172016	1608153316	Близнецы
8	1088175009	1608156314	Козерог
9	1088180414	1608161763	Рак
10	1088183716	1608165106	Рыбы
11	1088205459	1608187173	Скорпион
12	1088210299	1608192053	Стрелец
13	1088213587	1608195350	Водолей
14	1088214687	1608196458	Овен
15	1103493623	1623753672	Busido
16	1109134046	1629493686	Велес
17	1109193200	1629553898	Валькирия
18	1109665636	1630033296	Молвинец
19	1109672435	1630040194	Одолень-Трава
20	1115621850	1636041142	Велес
21	1119965443	1636048691	Печать Велеса
22	1124658338	1640251697	Алатырь (Крест Сварога)
23	1124671044	1640264403	Чертог
24	1124690224	1640283756	Громовик
25	1124707044	1640300880	Перун
26	1124718277	1640312193	Сварожич
27	1124733734	1640326205	Колядник
28	1124753098	1640345759	Звезда Руси
29	1124768453	1640361173	Родовик
30	1124780355	1640373120	Светоч
31	1124792146	1640384975	Солнечный крест
32	1124806289	1640399199	Небесный крест
33	1124824317	1640417314	Знич
34	1124838154	1640431244	Яровик
35	1124855031	1640448212	Цветок папоротника
36	1124873280	1640466546	Духобор
37	1124896406	1640489729	Свитовит
38	1124915224	1640508614	Род
39	1124931560	1640525006	Коловрат
40	1124950626	1640544139	Ладинец
41	1124969122	1640562672	Макошь
42	1124985541	1640579127	Лельник
43	1125001038	1640594657	Рожаница
44	1125014577	1640608227	Крест Лады
45	1125030985	1640624676	Валькирия
46	1205398950	1720148880	Овен
47	1205401732	1720151673	Телец
48	1205404333	1720154316	Близнецы
49	1205406932	1720156963	Рак
50	1205409535	1720159608	Лев
51	1205412248	1720162360	Дева
52	1205415025	1720165177	Весы
53	1205417532	1720167707	Скорпион
54	1205420124	1720170320	Стрелец
55	1205422856	1720173081	Козерог
56	1205425498	1720175764	Водолей
57	1205428023	1720178315	Рыбы
58	1544171733	2066138892	Овен
59	1544176302	2066143707	Телец
60	1544180353	2066148063	Близнецы
61	1544183822	2066151904	Рак
62	1544187310	2066155814	Лев
63	1544190987	2066159778	Дева
64	1544194514	2066163536	Весы
65	1544198168	2066167419	Скорпион
66	1544201876	2066171302	Стрелец
67	1544205219	2066174933	Козерог
68	1544208425	2066178394	Водолей
69	1544211659	2066181889	Рыбы
70	1656336345	2186853527	Овен
71	1656340307	2186857668	Лев
72	1731795963	2271202463	Овен
73	1731799739	2271206319	Телец
74	1731803661	2271210394	Близнецы
75	1731807606	2271214428	Рак
76	2324003802	2559437928	Чур
