request_id	chunk_id	query_index	sku	query	unique_search_users	unique_view_users	view_conversion	position	order_count	gmv	currency
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	1	2559748332	подвеска в машину	7092	NULL	NULL	NULL	0	1988	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	2	2559748332	подвеска в машину на зеркало	6256	NULL	NULL	NULL	0	1334	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	3	2559748332	{value}	1	NULL	NULL	NULL	0	648	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	4	2559748332	подвеска герб в машину	13	NULL	NULL	NULL	0	551	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	5	2559748332	талисман в машину мужской	18	NULL	NULL	NULL	0	551	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	6	2559748332	аксессуар на зеркало	1	NULL	NULL	NULL	0	0	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	7	2559748332	оберег на шею мужской славянский	6	NULL	NULL	NULL	0	0	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	8	2559748332	амулет для автомобиля в машину на зеркало	1	NULL	NULL	NULL	0	0	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	9	2559748332	подвеска в машину на зеркало с кисточкой	2	NULL	NULL	NULL	0	0	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	10	2559748332	зеркало амулет	4	NULL	NULL	NULL	0	0	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	11	2559748332	авто аксессуары на зеркало	1	NULL	NULL	NULL	0	0	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	12	2559748332	аксессуары на машину герб	1	NULL	NULL	NULL	0	0	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	13	2559748332	#подвеска_в_машину	1	NULL	NULL	NULL	0	0	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	14	2559748332	зеркальный амулет	5	NULL	NULL	NULL	0	0	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	15	2559748332	оберег в машину	1238	NULL	NULL	NULL	0	0	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	16	2559437928	славянский оберег в машину	33	NULL	NULL	NULL	0	1528	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	17	2559437928	славянский оберег для ключей дома	0	NULL	NULL	NULL	0	829	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	18	2559437928	наклейка чур	1	NULL	NULL	NULL	0	804	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	19	2559437928	славянский оберег мужской в машину	1	NULL	NULL	NULL	0	788	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	20	2559437928	оберег славянский	171	NULL	NULL	NULL	0	716	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	21	2559437928	четки в автомобиль славянские в машину	1	NULL	NULL	NULL	0	716	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	22	2559437928	славянский оберег	498	NULL	NULL	NULL	0	663	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	23	2559437928	амулет мужской в машину	2	NULL	NULL	NULL	0	0	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	24	2559437928	оберег в машину мужской на зеркало	2	NULL	NULL	NULL	0	0	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	25	2559437928	брелок в машину от сглаза	1	NULL	NULL	NULL	0	0	RUB
da5ae446-24a4-476f-8b21-a61f912727b3	C13R1	26	2559437928	подвеска из акрила	2	NULL	NULL	NULL	0	0	RUB
