bridge_version	date_from	date_to	sort_by	sort_dir	chunk_id	requested_sku_count	returned_sku_count	returned_row_count	provider_total	page_count	request_id	status	missing_requested_skus	row_file
0.1.19	2026-08-13	2026-09-10	BY_SEARCHES	ASCENDING	C01	6	4	60	60	1	d7e2f814-410d-45da-a640-332fed537e8d	PERSISTED	1602711278,1602711870	chunks/product_queries_details_BY_SEARCHES_ASC_C01.tsv
0.1.19	2026-08-13	2026-09-10	BY_SEARCHES	ASCENDING	C02	6	6	90	90	1	6587b2b1-3734-4d5e-bf39-21ebf46ab941	COLLECTED_PENDING_RAW_PERSIST		
0.1.19	2026-08-13	2026-09-10	BY_SEARCHES	ASCENDING	C03	6	6	90	90	1	d120e5dd-fd88-4dc3-a5dc-f2fc176b0cef	COLLECTED_PENDING_RAW_PERSIST		
0.1.19	2026-08-13	2026-09-10	BY_SEARCHES	ASCENDING	C04	6	6	90	90	1	61f515d5-2397-453a-9470-6c88b9746c3e	PERSISTED		chunks/product_queries_details_BY_SEARCHES_ASC_C04.tsv
0.1.19	2026-08-13	2026-09-10	BY_SEARCHES	ASCENDING	C05	6	6	90	90	1	f4bd8acf-125f-47e9-aa2a-abc20056e827	COLLECTED_PENDING_RAW_PERSIST		
0.1.19	2026-08-13	2026-09-10	BY_SEARCHES	ASCENDING	C06	6	6	90	90	1	41e5dfab-6d1f-454a-b915-fc539745f329	COLLECTED_PENDING_RAW_PERSIST		
0.1.19	2026-08-13	2026-09-10	BY_SEARCHES	ASCENDING	C07	6	0	0	0	0	eba056b9-5cbd-427e-a036-c094986f984f	RATE_LIMIT_429	1943215793,2183808182,2183921966,2183985513,2184098058,2184133137	
0.1.19	2026-08-13	2026-09-10	BY_SEARCHES	ASCENDING	C08	6	6	90	90	1	c39b699a-830a-4b6a-909f-13c9131f17cb	COLLECTED_PENDING_RAW_PERSIST		
0.1.19	2026-08-13	2026-09-10	BY_SEARCHES	ASCENDING	C09	6	6	90	90	1	eb5da53c-d259-4d11-aeb1-94426ade54e9	COLLECTED_PENDING_RAW_PERSIST		
0.1.19	2026-08-13	2026-09-10	BY_SEARCHES	ASCENDING	C10	6	0	0	0	0	001b1a80-e879-449a-b520-9e7263647809	RATE_LIMIT_429	2186848313,2186850644,2186852750,2186856503,2186857668,2186865070	
0.1.19	2026-08-13	2026-09-10	BY_SEARCHES	ASCENDING	C11	6	0	0	0	0	478b68f8-7f07-45f1-b694-ce93f9ca66c4	RATE_LIMIT_429	2271188511,2271210394,2271219774,2271234726,2271240621,2271246783	
0.1.19	2026-08-13	2026-09-10	BY_SEARCHES	ASCENDING	C12	6	0	0	0	0	4b5365e3-4c64-4218-9089-c83352fce3c9	RATE_LIMIT_429	2271251938,2271262133,2271270261,2271275793,2271285786,2271292556	
0.1.19	2026-08-13	2026-09-10	BY_SEARCHES	ASCENDING	C13	4	4	60	60	1	913e9e73-1a48-4c82-94e8-6bfdb570d109	COLLECTED_PENDING_RAW_PERSIST		
