chunk_id	sku_count	skus
C01	6	1602721123,1602721290,1602721372,1602721762,1602722942,1608103032
C02	6	1608153316,1608156314,1608161763,1608165106,1608187173,1608192053
C03	6	1608195350,1608196458,1623753672,1629493686,1629553898,1630033296
C04	6	1630040194,1636041142,1636048691,1640251697,1640264403,1640283756
C05	6	1640300880,1640312193,1640326205,1640345759,1640361173,1640373120
C06	6	1640384975,1640399199,1640417314,1640431244,1640448212,1640466546
C07	6	1640489729,1640508614,1640525006,1640544139,1640562672,1640579127
C08	6	1640594657,1640608227,1640624676,1720148880,1720151673,1720154316
C09	6	1720156963,1720159608,1720162360,1720165177,1720167707,1720170320
C10	6	1720173081,1720175764,1720178315,2066138892,2066143707,2066148063
C11	6	2066151904,2066155814,2066159778,2066163536,2066167419,2066171302
C12	6	2066174933,2066178394,2066181889,2186853527,2186857668,2271202463
C13	4	2271206319,2271210394,2271214428,2559437928
