bridge_version	date_from	date_to	target_sku_count	sort_by	sort_dir	page	page_size	limit_by_sku	request_id	query_index_from	query_index_to	row_count	provider_total	page_count	status	row_file
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	DESCENDING	0	100	15	b1d94bd1-4496-466c-8207-38592ca34551	1	100	100	1110	12	PERSISTED	product_queries_details_BY_SEARCHES_DESC_page_000.txt
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	DESCENDING	1	100	15	b1837d20-b521-474f-bf8a-73df24fd5c0f	101	200	100	1110	12	PERSISTED	product_queries_details_BY_SEARCHES_DESC_page_001.tsv
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	DESCENDING	2	100	15	93b27b02-c425-4025-89f6-4b135797a614	201	300	100	1110	12	PERSISTED	product_queries_details_BY_SEARCHES_DESC_page_002.tsv
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	DESCENDING	3	100	15	2a58a3d7-6030-4687-96e2-4049c27673ef	301	400	100	1110	12	PERSISTED	product_queries_details_BY_SEARCHES_DESC_page_003.tsv
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	DESCENDING	4	100	15	766c0afb-3f2c-4c2d-ba22-a16d34deecf6	401	500	100	1110	12	PERSISTED	product_queries_details_BY_SEARCHES_DESC_page_004.tsv
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	DESCENDING	5	100	15	a9beb0cd-6dd2-4249-bd09-10fbd69cfffb	501	600	100	1110	12	PERSISTED	product_queries_details_BY_SEARCHES_DESC_page_005.tsv
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	DESCENDING	6	100	15	8b2af732-8848-4543-85b4-5021aff86c2f	601	700	100	1110	12	PERSISTED	product_queries_details_BY_SEARCHES_DESC_page_006.tsv
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	DESCENDING	7	100	15	5e8fb3ef-8424-4e9f-9821-47adab82a2e9	701	800	100	1110	12	PERSISTED	product_queries_details_BY_SEARCHES_DESC_page_007.tsv
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	DESCENDING	8	100	15	59895b60-414d-4ea6-97fc-fc29bb6d6c32	801	900	100	1110	12	PERSISTED	product_queries_details_BY_SEARCHES_DESC_page_008.tsv
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	DESCENDING	9	100	15	ce59287f-39fa-402f-ad84-34a4d8d73d9e	901	1000	100	1110	12	PERSISTED	product_queries_details_BY_SEARCHES_DESC_page_009.tsv
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	DESCENDING	10	100	15	fba123fd-3071-4410-88de-412f841aad79	1001	1100	100	1110	12	PERSISTED	product_queries_details_BY_SEARCHES_DESC_page_010.tsv
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	DESCENDING	11	100	15	198be149-9d4c-460c-98fe-26a26a0ec827	1101	1110	10	1110	12	PERSISTED	product_queries_details_BY_SEARCHES_DESC_page_011.tsv
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	ASCENDING	0	100	15	4ab9a946-c241-4659-82f3-fa692293c14d	1	100	100	1110	12	PERSISTED	product_queries_details_BY_SEARCHES_ASC_page_000.tsv
0.1.19	2026-08-13	2026-09-10	76	BY_GMV	DESCENDING	0	100	15	bcadef7c-ae68-4323-83ce-38004e42904a	1	100	100	1110	12	PERSISTED	product_queries_details_BY_GMV_DESC_page_000.tsv
0.1.19	2026-08-13	2026-09-10	76	BY_GMV	ASCENDING	0	100	15	04a94c14-a14e-490d-97da-d2cb3827947c	1	100	100	1110	12	PERSISTED	product_queries_details_BY_GMV_ASC_page_000.tsv
