# request_id=04a94c14-a14e-490d-97da-d2cb3827947c page=0 sort_by=BY_GMV sort_dir=ASCENDING; invariant fields: unique_view_users=NULL view_conversion=NULL position=NULL order_count=0 currency=RUB
query_index	sku	query	unique_search_users	gmv
1	1640326230	з сварог	1	0
2	1640326230	висюлька в машину на зеркало мусульманская	1	0
3	1640326230	на зеркало в машину украшение	1	0
4	1640326230	оберег в маштну	1	0
5	1640326230	военный оберег	5	0
6	1640326230	коловрат подвеска	293	0
7	1640326230	славянский чур	1	0
8	1640326230	оберег славянский на зеркало	1	0
9	1640326230	оберег	2031	0
10	1640326230	славянский оберег подвеска	6	0
11	1640326230	оберег для машины от сглаза	2	0
12	1640326230	славянский оберег, брелок	1	0
13	1640326230	татарский оберег на веревочке в машину	1	0
14	1640326230	оберег богиня	1	0
15	1640326230	сварог зн	0	0
16	1630040194	амулет ведьмы	5	0
17	1630040194	оберег чернобог кольцо	1	0
18	1630040194	зеркало на машину спринтер правое переднее	1	0
19	1630040194	амулеты подвескт	1	0
20	1630040194	машину на зеркало подвеска	1	0
21	1630040194	амулет с зеркальцем	1	0
22	1630040194	игрушка в машину на зеркало домовой	1	0
23	1630040194	бирюзовый оберег	1	0
24	1630040194	оберег подвеска гфс	1	0
25	1630040194	брелок на машину на зеркало вольая борьба	1	0
26	1630040194	зеркальце оборег	1	0
27	1630040194	висюльки в машину на зеркало череп обезьяна	1	0
28	1630040194	mirroreffect брелок оберег с зеркалом	1	0
29	1630040194	оберег в дорогу для человека	1	0
30	1630040194	оберег на зеркала	1	0
31	1720151850	мячик мягкий в машину на зеркало смайлик	1	0
32	1720151850	амулет в машину на зеркало мужской	3	0
33	1720151850	зеркало оберег на шею	5	0
34	1720151850	медведь gac плюшевый в машину на зеркало	1	0
35	1720151850	брелок руна оберег	1	0
36	1720151850	знак туфелька блестящая на машину	0	0
37	1720151850	подвеска в машину на зеркало белка с мультика	1	0
38	1720151850	набор про знаки зодиака для творчества	1	0
39	1720151850	амулет зеркало кулон	1	0
40	1720151850	оберег в машину от дерева жизни на зеркало	1	0
41	1720151850	лев знае задиаеа прикол	1	0
42	1720151850	зодиак лев	3	0
43	1720151850	звезда в машину на зеркало	2	0
44	1720151850	подвеска амулет оберег	1	0
45	1720151850	оберег в машину на зеркало алла сакласын	1	0
46	2183808182	оберег в машину на зеркало	27	0
47	2183808182	бог омулет	0	0
48	2183808182	декоративные подвески в машину на зеркало	1	0
49	2183808182	подвеска машину на зеркало	1	0
50	2183808182	зеркало авто подвеска	1	0
51	2183808182	славянский оберег подвеска	10	0
52	2183808182	дух рода	3	0
53	2183808182	талисман и обереги	1	0
54	2183808182	сила рода подвеска	2	0
55	2183808182	амулет на красоту для женщин	1	0
56	2183808182	символ богини жива подвеска	1	0
57	2183808182	оберег в автомобиль	14	0
58	2183808182	подвеска на зеркало девушка	2	0
59	2183808182	подвечка на зеркало	2	0
60	2183808182	славянские обереги	737	0
61	2183921966	коловрат оберег серебро	31	0
62	2183921966	подвеска коловрат	76	0
63	2183921966	кольцо сварога	5	0
64	2183921966	оберег велеса мужской	2	0
65	2183921966	оберег из дерева	2	0
66	2183921966	ак жол оберег в машине	1	0
67	2183921966	обереги из дерева	2	0
68	2183921966	сварог хонкай	1	0
69	2183921966	славянский оберег подвеска солнце	2	0
70	2183921966	сварог оберег мужской	10	0
71	2183921966	оберег в машину на зеркало	84	0
72	2183921966	славянская подвеска	4	0
73	2183921966	славянские кулоны	3	0
74	2183921966	машина с подвеской	3	0
75	2183921966	амулет велеса	17	0
76	2271210394	браслет оберег с клевером	1	0
77	2271210394	висюльки на зеркало в машину мужское лицо	1	0
78	2271210394	блязнецы	1	0
79	2271210394	игрушки в машину на зеркало	5	0
80	2271210394	брелок в машину на зеркало в виде	1	0
81	2271210394	на зеркало в авто подвеска в салон	1	0
82	2271210394	близнец подарок	1	0
83	2271210394	близнецы подвеска из медицинского	1	0
84	2271210394	висюлька на зеркало в машину ароматизатор мазда	1	0
85	2271210394	на зеркало подвеска	18	0
86	2271210394	игрушка на машину перец красный на зеркало	1	0
87	2271210394	подвеска в машину оберег на зеркало	1	0
88	2271210394	оберег в автомобиль мужской	5	0
89	2271210394	амулет для близнецов	10	0
90	2271210394	брелок близнецы мягкий	1	0
91	2326866320	бусины деревянные православные	1	0
92	2326866320	оберег для дома от сглаза и порчи	26	0
93	2326866320	акриловая подвеска в машину на зеркало	1	0
94	2326866320	амулет крест	6	0
95	2326866320	амулет на замужество	3	0
96	2326866320	в машину крестик на зеркало от сглаза	1	0
97	2326866320	талисман от сглаза и порчи	10	0
98	2326866320	брелок в машину от сглаза зеркало.	1	0
99	2326866320	вымпела в трактор спаси и сохрани	1	0
100	2326866320	амулет фенрир	1	0
