# request_id=93b27b02-c425-4025-89f6-4b135797a614 page=2; invariant fields: unique_view_users=NULL view_conversion=NULL position=NULL order_count=0 currency=RUB
query_index	sku	query	unique_search_users	gmv
201	1720151850	оберег	2023	0
202	1720151850	четки в машину	2008	0
203	2271240621	дева	2017	0
204	2271240621	четки в машину	1623	0
205	2271240621	подвеска на зеркало в машину	1307	0
206	1640326205	коловрат	2000	805
207	1640326205	подвеска на зеркало в машину	1334	0
208	1602722942	оберег от сглаза и порчи	1968	0
209	1602722942	коловрат	1932	0
210	1602722942	подвеска в машину на зеркало	1560	0
211	2559748332	оберег	1951	0
212	2559748332	герб	1756	0
213	2559748332	в машину	1556	0
214	2559748332	подвеска на зеркало в машину	1288	0
215	1640251697	подарок мужчине	1934	0
216	1640251697	подарок женщине	1836	0
217	1640251697	подарочный набор для женщин	1746	0
218	1640251697	коловрат	1669	0
219	1640330072	подарок мужчине	1934	0
220	1640330072	коловрат	1932	0
221	1640330072	подарочный набор для женщин	1746	0
222	1640330072	оберег	1470	0
223	1636048691	коловрат	1932	0
224	1636048691	от сглаза	1768	0
225	1636048691	эзотерика	1730	0
226	1636048691	из дерева	1462	0
227	1636048691	оберег от сглаза	1368	0
228	2183921966	коловрат	1932	0
229	2183921966	подвеска на зеркало в машину	1288	0
230	1720148880	оберег	1930	0
231	1720148880	овен	1305	0
232	1720148880	подвеска на зеркало в машину	1288	0
233	2186843798	дева	1930	0
234	2186843798	подвеска в машину на зеркало	1289	0
235	1640326230	подарочный набор	1892	0
236	1640326230	набор автомобилиста	1419	0
237	2559437928	оберег	1889	0
238	2559437928	амулет	1804	0
239	2559437928	коловрат	1717	0
240	2271188511	лев	1884	0
241	2271188511	подвеска на зеркало в машину	1288	0
242	2326866320	cerave	1862	0
243	2326866320	подвеска в машину на зеркало	1560	0
244	2326866320	подвеска на зеркало в машину	1288	0
245	1636041142	коловрат	1860	0
246	1636041142	оберег	1488	0
247	2186865070	дева	1858	0
248	2186865070	подвеска на зеркало в машину	1334	0
249	2186865070	подвеска в машину на зеркало	1289	0
250	2271275793	скорпион	1852	0
251	2271275793	подвеска в машину на зеркало	1367	0
252	2183808182	подарочный набор для женщин	1746	0
253	2183808182	оберег	1684	0
254	2184234912	подарочный набор для женщин	1746	0
255	2184234912	оберег для дома	1675	0
256	2184234912	коловрат	1674	0
257	2184234912	от сглаза	1657	0
258	2184133137	подарочный набор для женщин	1746	0
259	2184932293	оберег	1720	0
260	1602715556	коловрат	1707	0
261	1602715556	подвеска в машину на зеркало	1560	0
262	1640276582	оберег	1693	0
263	1640276582	набор автомобилиста	1419	0
264	2184153852	оберег	1685	0
265	2186802133	четки в машину	1623	0
266	2271234726	четки в машину	1622	0
267	2271234726	подвеска в машину на зеркало	1560	0
268	2271234726	подвеска на зеркало в машину	1288	0
269	1842444165	оберег для дома	1612	0
270	1842444165	коловрат	1343	0
271	1720141903	подвеска в машину на зеркало	1560	0
272	1720141903	подвеска на зеркало в машину	1288	0
273	1943215793	подвеска в машину на зеркало	1560	0
274	2271219774	подвеска в машину на зеркало	1560	0
275	1640264403	оберег	1487	0
276	1640264403	коловрат	1288	0
277	1640306007	коловрат	1473	0
278	2271262133	раки	1442	0
279	2271262133	подвеска в машину на зеркало	1337	0
280	1611643847	копье	1388	0
281	2186848313	четки в машину	1380	0
282	2186846833	подвеска в машину на зеркало	1367	0
283	2271210394	подвеска в машину на зеркало	1367	0
284	1720160556	подвеска в машину на зеркало	1367	0
285	2183985513	подвеска в машину на зеркало	1367	0
286	2183985513	подвеска на зеркало в машину	1307	0
287	1602717077	амулет	1355	0
288	1602717077	подвеска на зеркало в машину	1288	0
289	2186836116	четки в машину	1355	0
290	2186836116	подвеска в машину на зеркало	1289	0
291	1629493686	подвеска в машину на зеркало	1354	0
292	2184168890	коловрат	1334	0
293	2186857668	подвеска на зеркало в машину	1334	0
294	1629553898	подвеска в машину на зеркало	1289	0
295	2186796339	подвеска в машину на зеркало	1289	0
296	2186839757	подвеска в машину на зеркало	1289	0
297	1720137256	подвеска на зеркало в машину	1288	633
298	2186766628	подвеска на зеркало в машину	1288	0
299	2184199958	подвеска на зеркало в машину	1288	0
300	1630040194	подвеска на зеркало в машину	1288	0
