# request_id=2a58a3d7-6030-4687-96e2-4049c27673ef page=3; invariant fields: unique_view_users=NULL view_conversion=NULL position=NULL order_count=0 currency=RUB
query_index	sku	query	unique_search_users	gmv
301	2184199958	подвеска на зеркало в машину	1288	0
302	2184199958	оберег в машину	1190	0
303	2184199958	славянские обереги	1109	0
304	2184153852	подвеска на зеркало в машину	1288	0
305	2184153852	славянские обереги	1049	0
306	2271234726	подвеска на зеркало в машину	1288	0
307	2271188511	подвеска на зеркало в машину	1288	0
308	1640264403	коловрат	1288	0
309	1640264403	подвеска на зеркало в машину	1017	0
310	1640264403	набор для творчества	1007	0
311	2271210394	подвеска на зеркало в машину	1261	0
312	2271275793	подвеска на зеркало в машину	1261	0
313	2271275793	четки в машину	1238	0
314	2186852750	подвеска на зеркало в машину	1261	0
315	1629553898	подвеска на зеркало в машину	1261	0
316	2271251938	подвеска на зеркало в машину	1261	0
317	2271251938	овен	1100	0
318	1720144370	подвеска на зеркало в машину	1261	0
319	2271262133	подвеска на зеркало в машину	1261	0
320	2271292556	подвеска на зеркало в машину	1261	0
321	1640330072	подвеска на зеркало в машину	1261	780
322	1640330072	славянские обереги	1109	0
323	1720131759	подвеска на зеркало в машину	1261	0
324	1636041142	подвеска на зеркало в машину	1241	0
325	1636041142	велес	1177	0
326	1636041142	славянские обереги	1007	0
327	1630033296	подвеска на зеркало в машину	1240	0
328	1630033296	оберег	1150	0
329	1640326230	распродажа	1238	0
330	1640326230	подвеска на зеркало в машину	1159	0
331	1640326230	коловрат	1021	0
332	1640326230	набор для творчества	1007	0
333	2559748332	оберег в машину	1238	0
334	1640326205	оберег в машину	1238	0
335	1640326205	славянские обереги	1078	0
336	2186836116	подвеска на зеркало в машину	1230	0
337	1720151850	подвеска на зеркало в машину	1222	0
338	1640251697	подвеска на зеркало в машину	1222	0
339	1640251697	оберег в машину	1190	0
340	1640251697	славянские обереги	1109	0
341	2186843798	подвеска на зеркало в машину	1215	0
342	1720153914	подвеска на зеркало в машину	1215	0
343	1720153914	оберег в машину	1103	0
344	1720161841	подвеска на зеркало в машину	1215	0
345	2186848313	подвеска на зеркало в машину	1211	0
346	2271246783	подвеска на зеркало в машину	1208	0
347	2186846833	подвеска на зеркало в машину	1207	0
348	2186839757	подвеска на зеркало в машину	1203	0
349	2186856503	подвеска на зеркало в машину	1203	0
350	2184168890	оберег	1195	0
351	2184168890	подвеска в машину на зеркало	1107	0
352	2184168890	подвеска на зеркало в машину	999	0
353	1611643847	руны	1194	0
354	1611643847	подвеска на зеркало в машину	1063	0
355	2186850644	овен	1191	0
356	2186850644	подвеска на зеркало в машину	1157	0
357	2183921966	оберег в машину	1190	0
358	2183921966	велес	1177	0
359	2183921966	славянские обереги	1149	735
360	2186857668	оберег в машину	1190	0
361	2186857668	оберег	1120	0
362	1602722942	оберег в машину	1190	1089
363	1602722942	в машину	1159	0
364	1602722942	славянские обереги	1109	0
365	1640337426	подвеска на зеркало в машину	1190	0
366	1720147059	оберег в машину	1190	0
367	1720147059	подвеска на зеркало в машину	1177	0
368	1623753672	набор для творчества	1177	0
369	1623753672	подвеска на зеркало в машину	1125	0
370	2271270261	подвеска мужская	1176	0
371	2271270261	подвеска на зеркало в машину	1131	0
372	1720124782	подвеска на зеркало в машину	1168	0
373	1720124782	оберег в машину	1153	0
374	2184133137	подвеска на зеркало в машину	1162	0
375	2186802133	подвеска на зеркало в машину	1161	0
376	1842444165	подвеска на зеркало в машину	1160	0
377	1842444165	русич	1058	0
378	1842444165	руны	1024	0
379	1842444165	набор для творчества	1007	0
380	1943215793	подвеска на зеркало в машину	1158	0
381	1602715556	чётки	1155	0
382	1629493686	четки в машину	1155	0
383	1720148880	оберег в машину	1149	0
384	2559437928	подвеска на зеркало в машину	1130	0
385	2559437928	оберег в машину	1068	0
386	2184932293	подвеска на зеркало в машину	1128	0
387	1720160556	подвеска на зеркало в машину	1127	0
388	1640276582	подвеска на зеркало в машину	1126	0
389	1640276582	подарочный набор для мужчин	1052	0
390	1640276582	набор для творчества	1007	0
391	2326866320	оберег в машину	1115	0
392	2184234912	славянские обереги	1109	0
393	2184234912	подвеска в машину на зеркало	1096	0
394	2271219774	подвеска на зеркало в машину	1107	0
395	2186796339	подвеска на зеркало в машину	1103	0
396	2183985513	славянские обереги	1080	0
397	1720137256	оберег	1064	0
398	2184098058	подвеска на зеркало в машину	1059	0
399	1640306007	набор для творчества	1007	0
400	1640334195	подвеска на зеркало в машину	1003	0
