# request_id=766c0afb-3f2c-4c2d-ba22-a16d34deecf6 page=4; invariant fields: unique_view_users=NULL view_conversion=NULL position=NULL order_count=0 currency=RUB
query_index	sku	query	unique_search_users	gmv
401	1611695246	подвеска на зеркало в машину	992	0
402	1611695246	набор автомобилиста	737	0
403	1720155616	четки в машину	988	0
404	1720155616	подвеска на зеркало в машину	971	0
405	1720155616	оберег	618	0
406	1630033296	славянские обереги	988	0
407	1630040194	амулет	979	0
408	1630040194	славянские обереги	846	0
409	1630040194	оберег от сглаза и порчи	686	0
410	2183808182	подвеска на зеркало в машину	976	0
411	2183808182	славянские обереги	737	0
412	2271188511	четки в машину	973	0
413	2271188511	оберег	950	0
414	2559817779	подвеска на зеркало в машину	956	0
415	2559748332	крест в машину на зеркало	942	0
416	2559748332	подвеска на зеркало	646	0
417	2559748332	крест в машину	637	0
418	2559748332	талисман	609	0
419	2326866320	мусульманский оберег	939	0
420	1629553898	оберег	939	0
421	2559437928	славянские обереги	936	0
422	2559437928	талисман	596	0
423	1640334195	оберег для дома	933	0
424	1640334195	славянские обереги	708	0
425	1640334195	оберег	699	0
426	2271285786	талисман	927	0
427	2271285786	стрелец	622	0
428	1640306007	подвеска на зеркало в машину	915	0
429	1640306007	славянские обереги	806	0
430	1640306007	руны	797	0
431	1720124782	подвеска в машину на зеркало	914	0
432	1720124782	стрелец	690	0
433	1640264403	подвеска в машину на зеркало	914	0
434	1640264403	славянские обереги	615	0
435	1640264403	оберег в машину	613	0
436	2184932293	славянские обереги	909	0
437	2184234912	амулет	889	0
438	2184234912	подарок женщине	837	0
439	2184234912	оберег в машину	746	0
440	2184234912	сито для муки	696	0
441	2184234912	славянский оберег	608	0
442	1602717077	оберег в машину	885	0
443	2186843798	четки в машину	884	0
444	1629493686	подвеска на зеркало в машину	880	0
445	2184133137	славянские обереги	875	0
446	2184133137	оберег в машину	687	0
447	1640337426	славянские обереги	874	0
448	1623753672	подвеска в машину на зеркало	870	0
449	1623753672	набор автомобилиста	737	0
450	1623753672	оберег в машину	735	907
451	1623753672	древо жизни	658	0
452	2186865070	четки в машину	867	0
453	1720141903	водолей	855	0
454	1640276582	оберег от сглаза и порчи	852	0
455	1640276582	славянские обереги	767	0
456	1640276582	подарок мужу	672	0
457	1720147059	козерог	842	463
458	1720147059	четки в машину	661	0
459	1640330072	подарок женщине	837	0
460	1640330072	руны	812	0
461	1640330072	амулет	805	0
462	1602722942	амулеты обереги и талисманы	833	0
463	1602722942	четки в машину	772	0
464	1602722942	талисман	672	0
465	2184199958	мара	804	0
466	2184199958	амулет	659	0
467	1720144370	четки	796	0
468	2184098058	славянские обереги	794	0
469	1842444165	славянские обереги	777	0
470	2271210394	оберег	774	0
471	2271246783	козерог	774	0
472	2186852750	козерог	774	0
473	2271234726	водолей	772	0
474	1640251697	амулеты обереги и талисманы	769	0
475	1640251697	амулет	676	0
476	2271292556	четки в автомобиль	758	0
477	2271292556	телец	673	0
478	2271240621	оберег	754	0
479	2186846833	водолей	746	669
480	2271219774	четки в машину	724	0
481	2271270261	четки в машину	722	0
482	2184153852	оберег от сглаза и порчи	711	0
483	2184153852	оберег в машину	619	0
484	1640326205	мусульманский оберег	710	0
485	1640326205	коловрат подвеска	689	0
486	1640326205	славянский оберег	608	0
487	1720153914	раки	701	0
488	1720153914	рак	675	0
489	1720161841	телец	699	0
490	2271275793	оберег в машину	686	0
491	2186766628	телец	685	0
492	2183921966	обереги	680	0
493	2183921966	коловрат подвеска	667	0
494	2183921966	славянский оберег	608	0
495	1640326230	оберег от сглаза и порчи	666	0
496	1640326230	славянские обереги	633	0
497	1640326230	от сглаза	615	0
498	1602715556	четки в машину на зеркало	662	0
499	2183985513	амулеты обереги и талисманы	631	0
500	1720151850	оберег в машину	625	0
