# request_id=a9beb0cd-6dd2-4249-bd09-10fbd69cfffb page=5; invariant fields: unique_view_users=NULL view_conversion=NULL position=NULL order_count=0 currency=RUB
query_index	sku	query	unique_search_users	gmv
501	2184199958	обереги	585	0
502	2184199958	амулеты обереги и талисманы	514	0
503	2184199958	славянские украшения	413	0
504	1640264403	оберег от сглаза и порчи	577	0
505	1640264403	от сглаза	501	0
506	1640264403	перун	488	0
507	1640264403	амулет	432	0
508	2183985513	амулет	575	0
509	2183985513	перун	488	642
510	2183985513	оберег в машину	483	0
511	2183985513	от сглаза	478	0
512	2271210394	близнецы	574	0
513	1720148880	четки в автомобиль	573	0
514	1720148880	амулет	458	0
515	1720148880	четки в машину на зеркало	408	0
516	2184133137	макошь	569	0
517	1640337426	оберег в машину	562	0
518	2184168890	славянские обереги	561	0
519	2326866320	в машину	559	0
520	2326866320	четки в машину	533	0
521	2326866320	брелок от сглаза	529	0
522	2326866320	амулеты обереги и талисманы	497	0
523	2326866320	обереги	490	0
524	2326866320	оберег от сглаза и порчи	439	0
525	2326866320	амулеты	430	0
526	2271246783	четки в автомобиль	559	0
527	2271188511	в машину	559	0
528	2271188511	подвеска в автомобиль	481	0
529	1943215793	в машину	559	0
530	1943215793	мусульманский оберег	542	0
531	1943215793	оберег в машину	398	0
532	2271275793	в машину	559	0
533	2271275793	подвеска скорпион	411	0
534	2271240621	в машину	559	0
535	2271240621	подвеска в автомобиль	417	0
536	2271240621	подвеска в автомобиль на зеркало	408	0
537	2184098058	оберег в машину	554	0
538	2184098058	зеркало заднего вида салонное	398	0
539	2559817779	подвеска на зеркало	553	0
540	1629553898	инь янь	552	0
541	1629553898	оберег в машину	482	0
542	1629553898	мусульманский оберег	406	0
543	2271219774	оберег	552	0
544	2271219774	подвеска мужская	407	0
545	1720131759	близнецы	539	0
546	1611695246	славянские обереги	534	0
547	1640326205	четки в машину	533	0
548	1640326205	амулеты	460	0
549	1640326205	оберег от сглаза и порчи	455	0
550	1640306007	оберег в машину	529	0
551	1640306007	от сглаза	452	0
552	1640306007	оберег от сглаза и порчи	444	0
553	2186848313	оберег в машину	528	0
554	2186848313	подвеска в автомобиль на зеркало	448	0
555	2186848313	подвеска в автомобиль	427	0
556	2186839757	стрелец	525	0
557	1640330072	славянские руны	522	875
558	1623753672	крона	522	0
559	1602715556	оберег в машину	516	0
560	1602715556	талисман	510	0
561	2559437928	от сглаза	506	0
562	2559437928	славянский оберег	498	663
563	2559437928	оберег от сглаза и порчи	465	0
564	2186843798	оберег в машину	496	0
565	2186843798	подвеска в автомобиль	413	0
566	2271251938	подвеска в автомобиль	493	0
567	2271251938	на зеркало в машину подвеска	414	0
568	2183921966	перун	488	0
569	2183921966	славянские обереги мужские	444	0
570	2183921966	амулет	438	0
571	2184234912	амулеты обереги и талисманы	486	0
572	1640276582	от сглаза	485	0
573	1640251697	алатырь	483	0
574	2183808182	подарок для девушки	482	0
575	2271234726	оберег в машину	478	0
576	2271234726	подвеска в автомобиль на зеркало	448	0
577	2271234726	подвеска в автомобиль	410	0
578	2184932293	славянский оберег	473	0
579	1842444165	коловрат подвеска	465	0
580	1842444165	оберег от сглаза и порчи	449	0
581	1720153914	подвеска в автомобиль	462	0
582	1720137256	амулеты обереги и талисманы	461	0
583	1720137256	четки в автомобиль	395	0
584	2186850644	четки в машину	461	0
585	2186850644	оберег в машину	414	0
586	2186850644	подвеска в автомобиль на зеркало	405	0
587	1630033296	оберег от сглаза и порчи	458	0
588	1630033296	руны	400	0
589	1636041142	амулеты обереги и талисманы	456	0
590	1720160556	подвеска скорпион	454	0
591	1720160556	подвеска в автомобиль	422	0
592	1720160556	зеркало заднего вида салонное	398	0
593	2186856503	близнецы	426	0
594	2271262133	подвеска в автомобиль	424	0
595	1720161841	оберег	424	0
596	1720161841	четки в автомобиль	395	0
597	1602717077	амулеты обереги и талисманы	422	0
598	2186857668	подвеска в автомобиль на зеркало	415	0
599	2271270261	подвеска в автомобиль на зеркало	414	0
600	2271292556	оберег в машину	402	0
