# request_id=5e8fb3ef-8424-4e9f-9821-47adab82a2e9 page=7; invariant fields: unique_view_users=NULL view_conversion=NULL position=NULL order_count=0 currency=RUB
query_index	sku	query	unique_search_users	gmv
701	1630033296	славянские руны	289	0
702	1630033296	славянские украшения	277	0
703	1630033296	амулеты обереги и талисманы	255	0
704	1630033296	славянские обереги мужские	228	0
705	2271270261	на зеркало в машину подвеска	289	0
706	2271270261	оберег в машину	245	0
707	2271240621	знак зодиака дева	289	0
708	2271240621	на зеркало в машину подвеска	284	0
709	2271240621	дева знак зодиака	274	0
710	2183985513	славянский оберег	287	0
711	2183985513	брелок в машину на зеркало	247	0
712	2183985513	славянский	223	0
713	1640306007	славянские руны	286	0
714	2186857668	знак зодиака лев	285	0
715	2186857668	подвеска лев	280	0
716	2186857668	крест в машину	278	0
717	2186857668	знаки зодиака	275	0
718	2184133137	славянские украшения	285	0
719	2184133137	славянский оберег	266	0
720	2184133137	амулеты обереги и талисманы	224	0
721	2183921966	оберег славянский	285	0
722	2271262133	четки в машину	284	0
723	2184168890	славянские украшения	284	0
724	2184168890	коловрат подвеска	274	0
725	2184168890	оберег от сглаза и порчи	217	0
726	1720161841	четки в машину	284	0
727	1720160556	четки в машину	284	0
728	1720160556	крест в машину на зеркало	258	0
729	1720160556	амулеты обереги и талисманы	217	0
730	1720144370	четки в машину	284	0
731	1720144370	амулеты обереги и талисманы	260	0
732	2271210394	четки в машину	284	0
733	2186846833	четки в машину	284	0
734	2271246783	четки в машину	284	0
735	1640330072	четки в машину	284	0
736	1720141903	четки в машину	284	0
737	1720141903	оберег в машину	258	0
738	1720141903	в машину подвеска	238	0
739	1636041142	четки в машину	284	0
740	1636041142	оберег в машину	260	0
741	1636041142	коловрат подвеска	228	0
742	1611695246	оберег от сглаза и порчи	279	0
743	1611695246	славянский оберег	252	0
744	1611695246	славянские украшения	243	0
745	1611695246	от сглаза	228	0
746	1611695246	амулеты обереги и талисманы	228	0
747	1629553898	амулеты обереги и талисманы	276	0
748	1629553898	подвеска в автомобиль на зеркало	254	0
749	2186850644	на зеркало в машину подвеска	273	0
750	2186843798	знак зодиака дева	273	0
751	2186856503	оберег в машину	273	0
752	2186856503	знак зодиака дева	214	0
753	1623753672	валькнут	272	0
754	1623753672	крест в машину на зеркало	234	0
755	1602717077	шлем ужаса	267	0
756	2186766628	оберег в машину	266	0
757	1640326230	от сглаза и порчи оберег	265	0
758	2559817779	на зеркало в машину подвеска	264	0
759	2559817779	подвеска в автомобиль	243	0
760	2183808182	славянские украшения	262	0
761	2183808182	славянские	232	0
762	2184932293	бог	260	0
763	2184932293	амулеты обереги и талисманы	259	0
764	2184098058	славянские украшения	260	0
765	2184098058	славянский оберег	244	0
766	2184098058	амулеты обереги и талисманы	224	0
767	2186865070	оберег в машину	259	0
768	1629493686	чётки	259	0
769	1943215793	четки в машину	257	0
770	1943215793	амулеты обереги и талисманы	254	0
771	2184153852	оберег от сглаза	255	0
772	2184153852	бог	237	0
773	2186836116	четки в машину на зеркало	253	0
774	1720137256	весы знак зодиака	250	0
775	1720137256	подвеска весы	233	0
776	1602715556	коловрат подвеска	250	0
777	1602715556	четки на зеркало в машину	221	0
778	1720155616	подвеска в автомобиль	250	0
779	1720147059	брелок коза	249	0
780	2271292556	четки в машину	248	0
781	2271292556	амулеты обереги и талисманы	224	0
782	2271234726	брелок в машину на зеркало	247	0
783	2271234726	подвеска мужская	226	0
784	2271234726	амулеты обереги и талисманы	217	0
785	1720151850	знак зодиака лев	245	0
786	1720151850	амулеты обереги и талисманы	242	0
787	2271188511	знак зодиака лев	242	0
788	2271285786	крест в машину на зеркало	234	0
789	2186839757	крест в машину на зеркало	234	0
790	2186852750	оберег в машину	231	0
791	1611643847	от сглаза	228	0
792	1611643847	амулеты обереги и талисманы	217	0
793	1640337426	коловрат	227	0
794	1720148880	подвеска овен	225	0
795	1720148880	в машину подвеска	225	0
796	1630040194	славянский оберег	220	0
797	1630040194	славянские обереги мужские	213	0
798	2271251938	оберег в машину	219	0
799	1720124782	знаки зодиака	219	0
800	2186848313	амулеты обереги и талисманы	218	0
