# request_id=ce59287f-39fa-402f-ad84-34a4d8d73d9e page=9; invariant fields: unique_view_users=NULL view_conversion=NULL position=NULL order_count=0 currency=RUB
query_index	sku	query	unique_search_users	gmv
901	1640337426	зеркало в пол	160	0
902	1640337426	славянские руны	150	0
903	1640337426	оберег славянский	142	0
904	1720147059	зеркало в пол	160	0
905	1943215793	молитвы	159	0
906	2184098058	бог	158	0
907	2184098058	обереги	153	0
908	2184098058	от сглаза	110	0
909	2186856503	оберег	158	0
910	2186856503	брелок в машину на зеркало	147	0
911	2186856503	дева знак зодиака	147	0
912	2186856503	четки в машину	137	0
913	2186865070	оберег	158	0
914	2186865070	ловец снов в машину	131	0
915	2186865070	дева знак зодиака	127	0
916	1720131759	оберег в машину	157	0
917	1720131759	четки в машину	137	0
918	1720131759	в машину на зеркало	135	0
919	1720131759	обереги и талисманы	126	0
920	1630033296	славянский оберег	157	0
921	1630033296	брелок славянский	121	0
922	1630033296	чернобог	117	0
923	1630033296	славянские	114	0
924	2271246783	брелок коза	154	0
925	2271246783	подвеска козерог	109	0
926	2271262133	оберег в машину	153	0
927	2271270261	амулеты обереги и талисманы	151	0
928	2271270261	талисман	109	0
929	2271219774	подвеска весы	151	0
930	2271219774	четки в машину на зеркало	127	0
931	2271219774	знак зодиака весы	119	0
932	2271219774	ловец снов в машину	109	0
933	2271219774	талисман	109	0
934	1720153914	магические атрибуты	149	0
935	1720153914	четки в машину на зеркало	117	0
936	2186843798	дева знак зодиака	147	0
937	2186848313	четки в машину на зеркало	147	0
938	2186848313	в машину на зеркало подвеска	128	0
939	2184168890	амулеты обереги и талисманы	147	0
940	2184168890	бог	121	0
941	2271210394	брелок в машину на зеркало	147	0
942	2271210394	в машину подвеска	137	0
943	2271210394	четки в машину на зеркало	129	0
944	2271210394	подвеска в автомобиль	122	0
945	2271210394	амулеты обереги и талисманы	109	0
946	2271210394	талисман	109	0
947	1640334195	славянские обереги мужские	146	0
948	1602717077	талисманы и обереги	146	0
949	1602717077	амулеты	139	0
950	1602717077	обереги	127	0
951	1720124782	магические атрибуты	146	0
952	1720124782	в машину подвеска	144	0
953	1720124782	подвеска стрелец	129	0
954	1720124782	подвеска в автомобиль	111	0
955	2186850644	брелок в машину на зеркало	145	0
956	2186850644	подвеска овен	142	0
957	2186850644	амулеты обереги и талисманы	125	0
958	2183808182	славянский оберег	145	0
959	2183808182	амулеты обереги и талисманы	128	0
960	2186802133	подвеска весы	144	0
961	2186802133	подвеска на зеркало автомобиля	142	0
962	2186802133	знак зодиака весы	122	0
963	2186802133	оберег в машину	119	0
964	2186766628	подвеска телец	144	0
965	2186766628	четки в машину	137	0
966	2271285786	четки в машину на зеркало	143	0
967	2271285786	четки в машину	137	0
968	2184932293	оберег в машину	143	0
969	2184932293	даждьбог	115	565
970	1629493686	оберег в машину	142	0
971	1629493686	талисман	109	0
972	2184133137	брелок славянский	142	0
973	2184133137	макошь оберег	112	0
974	1630040194	чернобог	141	0
975	2186852750	четки в машину	137	0
976	2186852750	подвеска козерог	116	0
977	2186852750	подвеска в автомобиль	111	0
978	1629553898	четки в машину на зеркало	137	0
979	2186839757	четки в машину	137	0
980	1611643847	четки в машину	137	0
981	2186796339	четки в машину	137	0
982	2186796339	четки в машину на зеркало	117	0
983	1720151850	обереги	125	0
984	1720151850	крест в машину на зеркало	109	0
985	1720144370	в машину подвеска	123	0
986	1720144370	оберег в машину	118	0
987	2271292556	подвеска в автомобиль	122	0
988	2271292556	подвеска телец	115	0
989	2184153852	подвеска от сглаза	120	0
990	2184153852	от сглаза	110	0
991	2184153852	кулон зеркало оберег	109	0
992	1720161841	подвеска телец	119	0
993	1720141903	мусульманский оберег	118	0
994	1720141903	в машину на зеркало	112	0
995	1720141903	знаки зодиака	111	0
996	2559817779	оберег в машину	118	0
997	1720155616	четки в машину на зеркало	115	0
998	2271275793	в машину на зеркало	113	0
999	2271275793	скорпион подвеска	112	0
1000	2186836116	талисман	109	0
