# request_id=fba123fd-3071-4410-88de-412f841aad79 page=10; invariant fields: unique_view_users=NULL view_conversion=NULL position=NULL order_count=0 currency=RUB
query_index	sku	query	unique_search_users	gmv
1001	2184098058	сила	108	0
1002	1640334195	славянский	108	0
1003	1640334195	талисман	98	0
1004	1640334195	в машину подвеска	67	0
1005	1640334195	оберег славянский	63	0
1006	2186766628	подвеска в автомобиль	108	0
1007	2186766628	подвеска на зеркало	106	0
1008	2186766628	в машину подвеска	85	0
1009	2186766628	магическое зеркало	72	0
1010	2186766628	амулеты обереги и талисманы	72	0
1011	2184168890	славянские	108	0
1012	1611643847	сила	108	0
1013	2271262133	подвеска рак	107	0
1014	2271262133	рак	102	0
1015	2271262133	подвеска на машину	89	0
1016	2186802133	четки в машину на зеркало	107	0
1017	2186839757	четки в машину на зеркало	107	0
1018	2186839757	подвеска в автомобиль	105	0
1019	2186839757	оберег в машину	84	0
1020	2186839757	подвес в машину на зеркало	82	0
1021	2186839757	подвеска на зеркало	81	0
1022	2186839757	кулон зеркало оберег	69	0
1023	2186839757	знаки зодиака	59	0
1024	1720147059	козерог подвеска	107	0
1025	2184932293	бусины деревянные	106	0
1026	2184932293	славянские	102	0
1027	2184932293	амулеты	89	0
1028	2186846833	подвес в машину на зеркало	106	0
1029	2186846833	четки в машину на зеркало	106	0
1030	2186846833	подвеска водолей	99	0
1031	2186846833	подвеска на зеркало автомобиля	97	0
1032	2186846833	подвеска в автомобиль	96	0
1033	2186846833	подвеска на машину	88	0
1034	2186846833	в машину подвеска	81	0
1035	2186850644	подвеска на зеркало	106	0
1036	2186850644	подвеска на машину	97	0
1037	2186796339	подвеска на зеркало	106	0
1038	2186796339	рак	102	0
1039	2186796339	подвеска на машину	97	0
1040	2186796339	подвеска рак	96	0
1041	2186796339	рака ловки	94	0
1042	2186796339	подвеска на зеркало автомобиля	92	0
1043	2186796339	подвеска в автомобиль	79	0
1044	1720161841	кулон зеркало оберег	106	0
1045	1720161841	в машину подвеска	105	0
1046	1720161841	подвеска в автомобиль	96	0
1047	1720161841	магическое зеркало	78	0
1048	1720161841	в машину на зеркало	71	0
1049	2271270261	знаки зодиака	106	0
1050	2271270261	в машину подвеска	104	0
1051	2271292556	в машину подвеска	105	0
1052	2271292556	кулон зеркало оберег	100	0
1053	2271292556	знаки зодиака	95	0
1054	1720155616	от сглаза	104	0
1055	1720155616	подвеска на зеркало автомобиля	92	0
1056	1720155616	оберег от сглаза и порчи	87	0
1057	1720155616	ловец снов в машину	87	0
1058	2559817779	подвес в машину на зеркало	103	0
1059	2559817779	брелок в машину на зеркало	92	0
1060	2559817779	в машину на зеркало подвеска	64	0
1061	2559817779	подвеска на машину	50	0
1062	2271285786	в машину подвеска	103	0
1063	2271285786	подвеска в автомобиль	96	0
1064	2271285786	знаки зодиака	95	0
1065	2271285786	амулеты обереги и талисманы	92	0
1066	2271275793	знаки зодиака	103	0
1067	2271275793	талисман	100	0
1068	2271275793	амулеты обереги и талисманы	99	0
1069	2186856503	подвеска близнецы	101	0
1070	2186856503	талисман	98	0
1071	2186856503	подвеска на машину	90	0
1072	2186852750	талисман	98	0
1073	2186852750	козаки	74	0
1074	2186852750	козерог подвеска	57	0
1075	2186852750	кулон зеркало оберег	57	0
1076	1629553898	инь ян	98	0
1077	2271234726	в машину подвеска	98	0
1078	2186843798	ловец снов в машину	98	0
1079	2186843798	подвеска на зеркало	81	0
1080	2186836116	подвеска на машину	97	0
1081	2186836116	брелок в машину на зеркало	92	0
1082	2186836116	подвеска на зеркало автомобиля	92	0
1083	2186836116	подвеска в автомобиль	68	0
1084	2186836116	в машину подвеска	65	0
1085	1720141903	подвеска на зеркало автомобиля	97	0
1086	1720141903	подвеска водолей	93	0
1087	1720124782	на зеркало в машину	96	0
1088	1720124782	кулон зеркало оберег	83	0
1089	1629493686	подвеска в автомобиль	94	0
1090	1629493686	брелок в машину на зеркало	92	0
1091	1720153914	знак зодиака рак	93	0
1092	1720153914	в машину на зеркало	84	0
1093	1720153914	магическое зеркало	82	0
1094	1720153914	в машину подвеска	79	0
1095	1720153914	знаки зодиака	70	0
1096	2271246783	кулон зеркало оберег	92	0
1097	2271246783	подвеска в автомобиль	79	0
1098	2271246783	козаки	62	0
1099	2271246783	в машину подвеска	51	0
1100	1720151850	мусульманский оберег	76	0
