# request_id=198be149-9d4c-460c-98fe-26a26a0ec827 page=11; invariant fields: unique_view_users=NULL view_conversion=NULL position=NULL order_count=0 currency=RUB
query_index	sku	query	unique_search_users	gmv
1101	2271292556	магическое зеркало	47	0
1102	2271292556	четки в машину на зеркало	44	0
1103	2271246783	козерог подвеска	46	0
1104	2186852750	сувенир коза	44	0
1105	2186852750	магическое зеркало	38	0
1106	2559817779	подвеска в машину герб	43	0
1107	2559817779	мусульманский оберег	40	0
1108	2559817779	подвеска на зеркало в авто	40	0
1109	1640334195	семейный оберег	40	0
1110	1640334195	славянский крест	35	0
