bridge_version	date_from	date_to	target_sku_count	sort_by	sort_dir	page	page_size	limit_by_sku	request_id	query_index_from	query_index_to	row_count	provider_total	page_count	status
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	ASCENDING	1	100	15	6477d987-e28b-4353-aa6a-d7eb1966deb5	101	200	100	1110	12	REJECTED_UNSTABLE_PAGINATION
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	ASCENDING	2	100	15	0e5eec93-6a69-4538-aa72-22822d6a5788	201	300	100	1110	12	REJECTED_UNSTABLE_PAGINATION
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	ASCENDING	3	100	15	7960d186-6de4-4977-b010-1e5de72ceca2	301	400	100	1110	12	REJECTED_UNSTABLE_PAGINATION
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	ASCENDING	4	100	15	5149be89-2692-4fec-b46f-01fbd1480fea	401	500	100	1110	12	REJECTED_UNSTABLE_PAGINATION
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	ASCENDING	5	100	15	19a430f4-b861-4881-89c0-f85c0b31d151	501	600	100	1110	12	REJECTED_UNSTABLE_PAGINATION
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	ASCENDING	6	100	15	63723f4e-b092-45dd-b6df-205efddc0a56	601	700	100	1110	12	REJECTED_UNSTABLE_PAGINATION
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	ASCENDING	7	100	15	9e9a5cbf-fd38-4467-aa3b-a4750e89be9d	701	800	100	1110	12	REJECTED_UNSTABLE_PAGINATION
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	ASCENDING	8	100	15	2342f158-c171-40ee-bafe-d1d75b585d19	801	900	100	1110	12	REJECTED_UNSTABLE_PAGINATION
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	ASCENDING	9	100	15	37f3658c-8f75-4fe8-b884-09aaec02ec8d	901	1000	100	1110	12	REJECTED_UNSTABLE_PAGINATION
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	ASCENDING	10	100	15	b66b5a02-5816-49b9-8e0b-4850660838f2	1001	1100	100	1110	12	REJECTED_UNSTABLE_PAGINATION
0.1.19	2026-08-13	2026-09-10	76	BY_SEARCHES	ASCENDING	11	100	15	c305b2a2-bdd4-4d44-aa2c-0c66ae724fc9	1101	1110	10	1110	12	REJECTED_UNSTABLE_PAGINATION
