month	sign	attributed_orders	attributed_sum_price_rub	order_nm_ids	bridge_version	request_id	note
2025-09	Овен	1	1264	262669816	0.1.2	dbf5f541-e9c6-4c6c-b4ce-7eb15d798be4	current campaign nm
2025-09	Телец	1	1264	459997114	0.1.2	dbf5f541-e9c6-4c6c-b4ce-7eb15d798be4	attributed cross-sell nm; current campaign Taurus nm 262629137 had 0 orders
2025-09	Близнецы	2	2528	446294516	0.1.2	dbf5f541-e9c6-4c6c-b4ce-7eb15d798be4	attributed cross-sell nm
2025-09	Рак	0	0		0.1.2	dbf5f541-e9c6-4c6c-b4ce-7eb15d798be4	observed nm 262678024
2025-09	Лев	0	0		0.1.2	dbf5f541-e9c6-4c6c-b4ce-7eb15d798be4	current campaign nm 262669815
2025-09	Дева	0	0		0.1.2	dbf5f541-e9c6-4c6c-b4ce-7eb15d798be4	current campaign nm 262669814
2025-09	Весы	1	1264	262661039	0.1.2	dbf5f541-e9c6-4c6c-b4ce-7eb15d798be4	current campaign nm
2025-09	Скорпион	1	1264	462723607	0.1.2	dbf5f541-e9c6-4c6c-b4ce-7eb15d798be4	current campaign nm
2025-09	Стрелец	0	0		0.1.2	dbf5f541-e9c6-4c6c-b4ce-7eb15d798be4	observed nms 262678027 and 459976156
2025-09	Козерог	2	2516	262622381	0.1.2	dbf5f541-e9c6-4c6c-b4ce-7eb15d798be4	current campaign nm; order sums 1252 + 1264
2025-09	Водолей	0	0		0.1.2	dbf5f541-e9c6-4c6c-b4ce-7eb15d798be4	current campaign nm 262669813
2025-09	Рыбы	0	0		0.1.2	dbf5f541-e9c6-4c6c-b4ce-7eb15d798be4	observed nm 262678025
2025-10	Овен	0	0		0.1.2	642c7a41-4e19-4a53-ae65-3cf955bd885c	current campaign nm 262669816
2025-10	Телец	0	0		0.1.2	642c7a41-4e19-4a53-ae65-3cf955bd885c	current campaign nm 262629137
2025-10	Близнецы	0	0		0.1.2	642c7a41-4e19-4a53-ae65-3cf955bd885c	no zodiac order row observed in October
2025-10	Рак	1	1335	262678024	0.1.2	642c7a41-4e19-4a53-ae65-3cf955bd885c	historical campaign nm; zodiac order
2025-10	Лев	0	0		0.1.2	642c7a41-4e19-4a53-ae65-3cf955bd885c	observed nm 262669815 with attributed basket row, 0 orders
2025-10	Дева	0	0		0.1.2	642c7a41-4e19-4a53-ae65-3cf955bd885c	current campaign nm 262669814
2025-10	Весы	0	0		0.1.2	642c7a41-4e19-4a53-ae65-3cf955bd885c	current campaign nm 262661039
2025-10	Скорпион	0	0		0.1.2	642c7a41-4e19-4a53-ae65-3cf955bd885c	current campaign nm 462723607; advertising activity begins late October
2025-10	Стрелец	1	1264	262678027	0.1.2	642c7a41-4e19-4a53-ae65-3cf955bd885c	current campaign nm; zodiac order
2025-10	Козерог	1	1264	262622381	0.1.2	642c7a41-4e19-4a53-ae65-3cf955bd885c	current campaign nm; zodiac order
2025-10	Водолей	0	0		0.1.2	642c7a41-4e19-4a53-ae65-3cf955bd885c	observed nms 262669813 and 459997105; 0 orders
2025-10	Рыбы	0	0		0.1.2	642c7a41-4e19-4a53-ae65-3cf955bd885c	historical campaign nm 262678025; 0 orders
2025-11	Овен	1	1454	262669816	0.1.2	fb75041d-cebd-44fb-b150-5928a48dbbc5	current campaign nm; zodiac order
2025-11	Телец	0	0		0.1.2	fb75041d-cebd-44fb-b150-5928a48dbbc5	current campaign nm 262629137; 0 orders
2025-11	Близнецы	1	1454	446294516	0.1.2	fb75041d-cebd-44fb-b150-5928a48dbbc5	attributed cross-sell zodiac nm; zero ad views in order row
2025-11	Рак	2	2868	262678024,441052624	0.1.2	fb75041d-cebd-44fb-b150-5928a48dbbc5	one historical campaign nm order plus one attributed cross-sell zodiac nm order
2025-11	Лев	0	0		0.1.2	fb75041d-cebd-44fb-b150-5928a48dbbc5	observed nms 262669815 and 459997108; 0 orders
2025-11	Дева	0	0		0.1.2	fb75041d-cebd-44fb-b150-5928a48dbbc5	current campaign nm 262669814; 0 orders
2025-11	Весы	0	0		0.1.2	fb75041d-cebd-44fb-b150-5928a48dbbc5	current campaign nm 262661039; 0 orders
2025-11	Скорпион	5	7270	462723607	0.1.2	fb75041d-cebd-44fb-b150-5928a48dbbc5	five attributed orders; one order row carries canceled=1
2025-11	Стрелец	0	0		0.1.2	fb75041d-cebd-44fb-b150-5928a48dbbc5	current campaign nm 262678027; 0 orders
2025-11	Козерог	0	0		0.1.2	fb75041d-cebd-44fb-b150-5928a48dbbc5	current campaign nm 262622381; 0 orders
2025-11	Водолей	0	0		0.1.2	fb75041d-cebd-44fb-b150-5928a48dbbc5	current campaign nm 262669813; 0 orders
2025-11	Рыбы	0	0		0.1.2	fb75041d-cebd-44fb-b150-5928a48dbbc5	historical campaign nm 262678025; 0 orders
2025-12	Овен	1	1399	262669816	0.1.2	faa5699a-4be2-40b5-9c37-9734e8ee837f	current campaign nm; zodiac order
2025-12	Телец	1	1454	262629137	0.1.2	faa5699a-4be2-40b5-9c37-9734e8ee837f	current campaign nm; zodiac order
2025-12	Близнецы	1	1398	446294516	0.1.2	faa5699a-4be2-40b5-9c37-9734e8ee837f	attributed cross-sell zodiac nm; zero ad views in order row
2025-12	Рак	0	0		0.1.2	faa5699a-4be2-40b5-9c37-9734e8ee837f	historical campaign nm 262678024 observed in basket rows; 0 orders
2025-12	Лев	2	2796	262669815	0.1.2	faa5699a-4be2-40b5-9c37-9734e8ee837f	current campaign nm; two attributed zodiac orders
2025-12	Дева	0	0		0.1.2	faa5699a-4be2-40b5-9c37-9734e8ee837f	current campaign nm 262669814; 0 orders
2025-12	Весы	0	0		0.1.2	faa5699a-4be2-40b5-9c37-9734e8ee837f	current campaign nm 262661039; 0 orders
2025-12	Скорпион	9	12750	462723607	0.1.2	faa5699a-4be2-40b5-9c37-9734e8ee837f	current campaign nm; nine attributed zodiac orders
2025-12	Стрелец	0	0		0.1.2	faa5699a-4be2-40b5-9c37-9734e8ee837f	current campaign nm 262678027 and historical nm 459976156 observed; 0 orders
2025-12	Козерог	1	1398	262622381	0.1.2	faa5699a-4be2-40b5-9c37-9734e8ee837f	current campaign nm; zodiac order
2025-12	Водолей	2	2685	262669813,459997105	0.1.2	faa5699a-4be2-40b5-9c37-9734e8ee837f	one current campaign nm order plus one attributed cross-sell zodiac nm order
2025-12	Рыбы	2	2650	262678025	0.1.2	faa5699a-4be2-40b5-9c37-9734e8ee837f	historical campaign nm; two zodiac orders; also observed nm 459976154 with basket row and 0 orders
2026-06	Овен	0	0		0.1.2	b96e241b-0777-48bc-9896-1ab3c69b6e79	current campaign nm 262669816; 0 attributed orders
2026-06	Телец	0	0		0.1.2	b96e241b-0777-48bc-9896-1ab3c69b6e79	current campaign nm 262629137; 0 attributed orders
2026-06	Близнецы	2	2724	446294516	0.1.2	b96e241b-0777-48bc-9896-1ab3c69b6e79	attributed cross-sell zodiac nm; two orders with zero/near-zero direct ad exposure rows
2026-06	Рак	0	0		0.1.2	b96e241b-0777-48bc-9896-1ab3c69b6e79	historical nm 262678024 observed in basket rows; 0 attributed orders
