month	Овен_orders	Овен_sum_price_rub	Телец_orders	Телец_sum_price_rub	Близнецы_orders	Близнецы_sum_price_rub	Рак_orders	Рак_sum_price_rub	Лев_orders	Лев_sum_price_rub	Дева_orders	Дева_sum_price_rub	Весы_orders	Весы_sum_price_rub	Скорпион_orders	Скорпион_sum_price_rub	Стрелец_orders	Стрелец_sum_price_rub	Козерог_orders	Козерог_sum_price_rub	Водолей_orders	Водолей_sum_price_rub	Рыбы_orders	Рыбы_sum_price_rub	zodiac_orders	zodiac_sum_price_rub	campaign_orders	campaign_sum_price_rub	other_orders	other_sum_price_rub	request_id
2025-09	1	1264	1	1264	2	2528	0	0	0	0	0	0	1	1264	1	1264	0	0	2	2516	0	0	0	0	8	10100	9	11364	1	1264	dbf5f541-e9c6-4c6c-b4ce-7eb15d798be4
2025-10	0	0	0	0	0	0	1	1335	0	0	0	0	0	0	0	0	1	1264	1	1264	0	0	0	0	3	3863	5	6542	2	2679	642c7a41-4e19-4a53-ae65-3cf955bd885c
2025-11	1	1454	0	0	1	1454	2	2868	0	0	0	0	0	0	5	7270	0	0	0	0	0	0	0	0	9	13046	11	15950	2	2904	fb75041d-cebd-44fb-b150-5928a48dbbc5
2025-12	1	1399	1	1454	1	1398	0	0	2	2796	0	0	0	0	9	12750	0	0	1	1398	2	2685	2	2650	19	26530	21	29363	2	2833	faa5699a-4be2-40b5-9c37-9734e8ee837f
2026-01	0	0	3	3864	0	0	1	1233	0	0	0	0	4	5097	1	1362	1	1233	1	1233	2	2650	0	0	13	16672	16	20500	3	3828	ffb5182e-6ee8-42f3-a212-d8184da66969
2026-02	3	3699	6	7398	1	1325	5	6165	0	0	3	3807	4	4930	9	12257	5	6164	6	7399	4	4932	3	3699	49	61775	51	64554	2	2779	c68c2035-6567-4dfd-a8b2-c49502210264
2026-03	0	0	1	1233	0	0	0	0	0	0	1	1336	1	1233	1	1362	0	0	2	2466	0	0	1	1233	7	8863	9	11623	2	2760	726f81f4-4729-45f2-9c32-5845dc477d05
2026-04	6	8172	4	5422	1	1354	1	1362	4	5404	0	0	1	1196	1	1362	0	0	0	0	0	0	1	1354	19	25626	19	25626	0	0	2e746dfa-4819-499a-b885-3de22d60099f
2026-05	1	1362	3	4077	1	1362	0	0	2	2724	0	0	0	0	1	1362	0	0	1	1362	2	2724	0	0	11	14973	12	16316	1	1343	e18156fb-bab0-4e05-9b0b-d0f94fbfc072
2026-06	0	0	0	0	2	2724	0	0	0	0	1	1362	0	0	4	5448	3	4085	0	0	0	0	0	0	10	13619	10	13619	0	0	b96e241b-0777-48bc-9896-1ab3c69b6e79
2026-07	4	5448	1	1362	1	1362	3	4086	3	4042	0	0	0	0	2	2724	2	2724	3	4086	2	2724	1	1354	22	29912	24	32555	2	2643	ac718f5d-edfd-4433-9f1c-bcb947f31252
2026-08	2	2724	8	10870	0	0	2	2716	2	2724	3	4086	2	2724	2	2724	1	1362	3	4078	1	1362	0	0	26	35370	26	35370	0	0	9ed55fcd-e084-4c99-a255-b522c416655f
