month	sign	views	clicks	ctr_pct_recomputed	atbs	orders	attributed_sum_price_rub	spend_rub_leaf_rounded	cpc_rub_recomputed	cr_pct_recomputed	canceled	shks
2025-11_PARTIAL_EXCL_2025-11-02	Овен	3422	61	1.7826	9	1	1454	247.75	4.0615	1.6393	0	1
2025-11_PARTIAL_EXCL_2025-11-02	Телец	2467	30	1.2161	2	0	0	182.66	6.0887	0.0	0	0
2025-11_PARTIAL_EXCL_2025-11-02	Близнецы	0	1	0.0	4	1	1454	0.0	0.0	100.0	0	1
2025-11_PARTIAL_EXCL_2025-11-02	Рак	2675	66	2.4673	5	2	2868	214.36	3.2479	3.0303	0	2
2025-11_PARTIAL_EXCL_2025-11-02	Лев	0	2	0.0	3	0	0	0.0	0.0	0.0	0	0
2025-11_PARTIAL_EXCL_2025-11-02	Дева	2203	28	1.271	1	0	0	171.35	6.1196	0.0	0	0
2025-11_PARTIAL_EXCL_2025-11-02	Весы	1875	19	1.0133	2	0	0	149.05	7.8447	0.0	0	0
2025-11_PARTIAL_EXCL_2025-11-02	Скорпион	5200	169	3.25	17	5	7270	402.54	2.3819	2.9586	1	5
2025-11_PARTIAL_EXCL_2025-11-02	Стрелец	2379	38	1.5973	2	0	0	190.01	5.0003	0.0	0	0
2025-11_PARTIAL_EXCL_2025-11-02	Козерог	2694	41	1.5219	7	0	0	202.83	4.9471	0.0	0	0
2025-11_PARTIAL_EXCL_2025-11-02	Водолей	1179	17	1.4419	6	0	0	93.17	5.4806	0.0	0	0
2025-11_PARTIAL_EXCL_2025-11-02	Рыбы	1268	12	0.9464	1	0	0	112.14	9.345	0.0	0	0
